"gene","alt_allele_count","ref_allele_count","total_count","alt_allele_allelic_ratio","pvalue","padjust"
"ACSF3",740,564,1304,0.567484662576687,1.21493498684514e-06,3.41700465050195e-06
"ANKRD11",6562,6540,13102,0.5008395664784,0.85443496755575,0.915466036666875
"APRT",3824,2009,5833,0.655580318875364,9.33434513714484e-127,4.20045531171518e-125
"ARY1",77,121,198,0.388888888888889,0.00216374338612457,0.00405701884898357
"ARY2",186,446,632,0.294303797468354,1.39369374464931e-25,1.04527030848698e-24
"ARYL",2,9,11,0.181818181818182,0.0654296875,0.0949785786290323
"ATMIN",1699,1420,3119,0.544725873677461,6.32670915233106e-07,1.96346146106826e-06
"ATP2C2",49,4,53,0.924528301886792,7.05397962263987e-11,2.7602528958156e-10
"BANP",95,44,139,0.683453237410072,1.81679562270437e-05,4.54198905676092e-05
"BCO1",84,162,246,0.341463414634146,7.45221940201801e-07,2.2356658206054e-06
"CA5A",1711,1853,3564,0.480078563411897,0.0181721402439614,0.0286928530167812
"CBFA2T3",102,48,150,0.68,1.23055735598657e-05,3.16429034396547e-05
"CDH13",28,10,38,0.736842105263158,0.0050976432976313,0.008995841113467
"CDH15",9,18,27,0.333333333333333,0.122078120708466,0.17167235724628
"CDK10",2324,1126,3450,0.673623188405797,3.20952694213838e-94,9.62858082641515e-93
"CDT1",130,202,332,0.391566265060241,9.20145027468455e-05,0.000197173934457526
"CENPN",14,30,44,0.318181818181818,0.0226288412059148,0.0351137191126265
"CHMP1A",3540,2845,6385,0.554424432263117,3.50955476251053e-18,2.10573285750632e-17
"CHTF8",323,414,737,0.438263229308005,0.000903541133381869,0.00176779786966018
"CMIP",2062,1046,3108,0.663449163449163,2.10932600603903e-75,4.74598351358782e-74
"COG8",555,436,991,0.560040363269425,0.000175060110279654,0.00036640488198067
"COTL1",5423,4124,9547,0.568031842463601,2.16893622547739e-40,2.78863228989951e-39
"COX4I1",1963,2380,4343,0.451991710798987,2.66383247579925e-10,9.5897969128773e-10
"CPNE7",2338,3761,6099,0.38334153139859,9.54436339705583e-75,1.71798541147005e-73
"CRISPLD2",3,116,119,0.0252100840336134,8.45483245585996e-31,7.60934921027396e-30
"CTU2",462,475,937,0.493062966915688,0.695063126409413,0.781946017210589
"CYB5B",768,706,1474,0.521031207598372,0.112064830095246,0.160092614421781
"CYBA",252,424,676,0.372781065088757,3.79161848968102e-11,1.55111665486951e-10
"DBNDD1",86,76,162,0.530864197530864,0.479615168808253,0.591306372503326
