"gene","alt_allele_count","ref_allele_count","total_count","alt_allele_allelic_ratio","pvalue","padjust"
"ACSF3",721,476,1197,0.60233918128655,1.47531881578629e-12,7.37659407893145e-12
"ANKRD11",6769,6413,13182,0.513503262023972,0.00198709292875338,0.00397418585750676
"APRT",3422,1476,4898,0.698652511229073,1.07020368403462e-174,9.63183315631154e-173
"ARY1",51,58,109,0.467889908256881,0.565700113973634,0.644468484273761
"ARY2",57,116,173,0.329479768786127,8.56602328323458e-06,2.40919404840973e-05
"ARYL",1,1,2,0.5,1,1
"ATMIN",1472,1366,2838,0.518675123326286,0.0487066021220983,0.0827093243582802
"ATP2C2",85,1,86,0.988372093023256,2.24889729037855e-24,1.84000687394608e-23
"BANP",67,77,144,0.465277777777778,0.453371699430975,0.52991497336088
"BCO1",22,57,79,0.278481012658228,0.000102596351794233,0.000230841791537024
"CA5A",1069,1161,2230,0.479372197309417,0.0539512670668724,0.0867073935003307
"CBFA2T3",209,83,292,0.715753424657534,1.06403569049726e-13,5.63313012616199e-13
"CDH13",9,15,24,0.375,0.307456254959107,0.389733280934079
"CDH15",6,12,18,0.333333333333333,0.237884521484375,0.31954637214319
"CDK10",2114,1097,3211,0.658361881033946,4.2221774594458e-73,1.26665323783374e-71
"CDT1",154,138,292,0.527397260273973,0.380079443683147,0.468591094951825
"CENPN",11,29,40,0.275,0.00642657609569142,0.0120498301794214
"CHMP1A",2828,2364,5192,0.544684129429892,1.27800141894319e-10,5.47714893832794e-10
"CHTF8",90,157,247,0.364372469635628,2.40345432401513e-05,6.36208497533417e-05
"CMIP",1183,949,2132,0.554878048780488,4.39453968459964e-07,1.41253061290703e-06
"COG8",462,323,785,0.588535031847134,7.90367475096106e-07,2.45286457788447e-06
"COTL1",1979,1477,3456,0.572627314814815,1.37734265703382e-17,8.85434565236029e-17
"COX4I1",1844,2275,4119,0.447681476086429,2.00116511728616e-11,9.00524302778771e-11
"CPNE7",1097,1805,2902,0.378015161957271,1.00064630742517e-39,1.28654525240379e-38
"CRISPLD2",23,216,239,0.096234309623431,1.65579809965e-40,2.48369714947501e-39
"CTU2",445,449,894,0.497762863534676,0.920085726260477,0.951812820269459
"CYB5B",757,533,1290,0.586821705426357,4.8445487745692e-10,1.98186086232376e-09
"CYBA",89,304,393,0.2264631043257,1.36011503089879e-28,1.22410352780891e-27
"DBNDD1",42,25,67,0.626865671641791,0.0498001142947288,0.0830001904912147
"DPEP1",25,7,32,0.78125,0.00210240157321096,0.00411339438236926
"EMC8",862,623,1485,0.58047138047138,6.05140734272785e-10,2.36794200367612e-09
"FANCA",9,13,22,0.409090909090909,0.523467063903809,0.604000458350548
"FBXO31",50,67,117,0.427350427350427,0.138753168943026,0.189208866740489
"FOXC2",30,18,48,0.625,0.111402891061019,0.159146987230027
"GALNS",362,394,756,0.478835978835979,0.259534262634439,0.338522951262312
"GAN",251,152,403,0.622828784119107,9.32929289002734e-07,2.70850438742729e-06
"GAS8",167,160,327,0.510703363914373,0.740096818031019,0.783631924974021
"GINS2",48,232,280,0.171428571428571,4.20628128687565e-30,4.20628128687565e-29
"GSE1",396,311,707,0.56011315417256,0.00156417516664892,0.00319944920450916
"HAS3",40,24,64,0.625,0.0599411895669994,0.0946439835268412
"HSBP1",6058,7761,13819,0.438381937911571,1.27046409551734e-47,2.85854421491401e-46
"HSD17B2",30,6,36,0.833333333333333,6.96016941219569e-05,0.000164846117657266
"IRF8",203,210,413,0.491525423728814,0.767851711151047,0.80356574422784
"JPH3",1349,1105,2454,0.549714751426243,9.14514964557735e-07,2.70850438742729e-06
"KCNG4",0,7,7,0,0.015625,0.028125
"KIAA0513",412,357,769,0.535760728218466,0.0514293546461219,0.084157125784563
"KLHDC4",251,428,679,0.369661266568483,1.10454889309587e-11,5.23207370413833e-11
"KLHL36",1579,1396,2975,0.530756302521008,0.000844654762080589,0.00176788206016867
"LOC106888094",85,77,162,0.524691358024691,0.582475730113334,0.647195255681482
"LOC106888097",299,257,556,0.537769784172662,0.0819793430141878,0.122969014521282
"LOC106888173",608,41,649,0.936825885978428,1.5131059864691e-130,6.80897693911094e-129
"LOC106888185",82,38,120,0.683333333333333,7.29150242871357e-05,0.000168265440662621
"LOC106888312",39,26,65,0.6,0.136032394877893,0.188352546754005
"LOC106888384",0,15,15,0,6.10351562500001e-05,0.000152587890625
"MC1R",3,4,7,0.428571428571429,1,1
"MLYCD",435,459,894,0.486577181208054,0.441771218361159,0.52991497336088
"MPHOSPH6",758,650,1408,0.538352272727273,0.00433405767898261,0.00829925938528585
"MTHFSD",210,140,350,0.6,0.000216084068921091,0.000474330882997517
"MVD",377,541,918,0.410675381263617,6.90577490744305e-08,2.39046054488413e-07
"NIP7",2093,1833,3926,0.533112582781457,3.54989955406128e-05,9.12831313901472e-05
"PIEZO1",348,361,709,0.49083215796897,0.652258303262063,0.707268039681755
"PKD1L2",0,3,3,0,0.25,0.330882352941177
"PLCG2",23,42,65,0.353846153846154,0.0248119745715522,0.0437858374792098
"PPP1R3E",2,4,6,0.333333333333333,0.6875,0.736607142857143
"RNF166",384,198,582,0.65979381443299,1.03887562826827e-14,5.843675409009e-14
"RPL13",1580,1493,3073,0.514155548324113,0.120797341235047,0.169871261111785
"SDR42E1",28,15,43,0.651162790697674,0.0659940344557982,0.102404536224514
"SLC22A31",289,178,467,0.618843683083512,3.16602708166175e-07,1.05534236055392e-06
"SLC7A5",4508,3392,7900,0.570632911392405,3.26505660412819e-36,3.67318867964421e-35
"SNTB2",37,74,111,0.333333333333333,0.000570118104830915,0.0012216816532091
"SPATA2L",4834,3556,8390,0.576162097735399,2.42634219501812e-44,4.36741595103261e-43
"SPG7",2365,2418,4783,0.494459544219109,0.452121842546306,0.52991497336088
"SPIRE2",2651,3076,5727,0.462895058494849,2.07959716924342e-08,7.4865498092763e-08
"TANGO6",569,501,1070,0.531775700934579,0.0404855820450726,0.0700711996933949
"TCF25",232,274,506,0.458498023715415,0.0682473083673564,0.104106063611222
"TERF2",1070,704,1774,0.60315670800451,3.42032301253615e-18,2.36791593175579e-17
"TLDC1",534,618,1152,0.463541666666667,0.0144333476324746,0.0265102303453615
"TMED6",1,1,2,0.5,1,1
"TRAPPC2L",315,607,922,0.341648590021692,4.23641573461473e-22,3.17731180096105e-21
"USP10",101,86,187,0.540106951871658,0.305929643301142,0.389733280934079
"UTP4",673,410,1083,0.621421975992613,1.24013057481827e-15,7.44078344890963e-15
"VPS4A",4005,4156,8161,0.490748682759466,0.0968227599050192,0.142853252318881
"VPS9D1",1025,837,1862,0.550483351235231,1.44381171964988e-05,3.93766832631785e-05
"WFDC1",51,35,86,0.593023255813954,0.105225351256944,0.152746477631048
"ZC3H18",311,179,490,0.63469387755102,2.63052657075026e-09,9.86447464031349e-09
"ZCCHC14",473,605,1078,0.438775510204082,6.48239634611136e-05,0.000157679911121628
"ZDHHC7",123,115,238,0.516806722689076,0.650105616883972,0.707268039681755
"ZFPM1",191,207,398,0.479899497487437,0.452163487199261,0.52991497336088
"ZNF276",379,363,742,0.51078167115903,0.581891377453199,0.647195255681482
"ZNF469",7,3,10,0.7,0.34375,0.4296875
