"gene","alt_allele_count","ref_allele_count","total_count","alt_allele_allelic_ratio","pvalue","padjust"
"ACSF3",376,867,1243,0.30249396621078,4.48957951631679e-45,5.00267431818157e-44
"ANKRD11",3078,2783,5861,0.525166353864528,0.000122524745516671,0.000298654067196885
"ARY1",425,833,1258,0.337837837837838,5.30767606228614e-31,3.76362484416654e-30
"ARY2",614,558,1172,0.523890784982935,0.108109703876985,0.179416104306486
"ARYL",14,24,38,0.368421052631579,0.143306654295885,0.210904132737339
"ATMIN",1290,1378,2668,0.483508245877061,0.0920998750364412,0.156169353322661
"ATP2C2",7,3,10,0.7,0.34375,0.425595238095238
"BANP",55,44,99,0.555555555555556,0.314879891037622,0.402633303294009
"BCO1",2027,1638,3665,0.553069577080491,1.40887776466326e-10,4.89362467153334e-10
"CA5A",6375,6800,13175,0.483870967741935,0.000220544053872566,0.000521285945516974
"CDH13",152,433,585,0.25982905982906,3.20910912208735e-32,2.50310511522813e-31
"CDH15",19,4,23,0.826086956521739,0.00259947776794434,0.00563220183054606
"CDK10",1432,716,2148,0.666666666666667,1.0749073666884e-54,1.39737957669492e-53
"CDT1",19,84,103,0.184466019417476,6.20762978031478e-11,2.30569106125977e-10
"CENPN",68,88,156,0.435897435897436,0.127937675703646,0.191906513555469
"CHMP1A",3659,3130,6789,0.538960082486375,1.44299189032393e-10,4.89362467153334e-10
"CHTF8",268,471,739,0.362652232746955,7.58132407333959e-14,3.11233304063415e-13
"CIDEC",33,24,57,0.578947368421053,0.289243747109022,0.38239003855091
"CMIP",297,360,657,0.452054794520548,0.0155058700734071,0.0318278385717304
"COG8",905,830,1735,0.521613832853026,0.0756089455038603,0.131055505540025
"COTL1",1857,2152,4009,0.463207782489399,3.39556805126121e-06,9.45908242851337e-06
"CPNE7",0,4,4,0,0.125,0.191176470588235
"CRISPLD2",284,861,1145,0.248034934497817,6.06670301541263e-68,1.18300708800546e-66
"CYB5B",1879,1588,3467,0.541967118546294,8.3105997069313e-07,2.40083991533571e-06
"DPEP1",1399,1467,2866,0.488136775994417,0.210738451836093,0.288378934091495
"DUSP15",4,7,11,0.363636363636364,0.548828125,0.648615056818182
"EMC8",10,16,26,0.384615384615385,0.326939582824707,0.411311088069793
