"gene","alt_allele_count","ref_allele_count","total_count","alt_allele_allelic_ratio","pvalue","padjust"
"ACSF3",581,809,1390,0.417985611510791,1.04808688266473e-09,6.20118072243299e-09
"ANKRD11",403,393,796,0.506281407035176,0.749751928070404,0.849640376984127
"ARY1",19,4,23,0.826086956521739,0.00259947776794434,0.00683566376014992
"ARY2",42,13,55,0.763636363636364,0.000113610603206915,0.000424544885667947
"ARYL",0,2,2,0,0.5,0.657407407407407
"ATMIN",402,365,767,0.524119947848761,0.193607165902527,0.305469083979543
"BANP",22,9,31,0.709677419354839,0.0294493734836578,0.0633607732527184
"BCO1",69,248,317,0.217665615141956,7.58077860542128e-25,1.07647056196982e-23
"CA5A",1137,801,1938,0.586687306501548,2.37443274183111e-14,2.10730905837511e-13
"CDK10",1063,620,1683,0.631610219845514,2.29757907163088e-27,4.07820285214481e-26
"CDT1",9,27,36,0.25,0.00393317302223295,0.00997340302066213
"CENPN",33,19,52,0.634615384615385,0.0703942210670625,0.135080802588147
"CHMP1A",1710,1470,3180,0.537735849056604,2.23404270660603e-05,9.91356451056424e-05
"CHTF8",392,447,839,0.467222884386174,0.0622170300978684,0.122705809359685
"CMIP",277,244,521,0.531669865642994,0.160866956841471,0.265617533389406
"COG8",284,248,532,0.533834586466165,0.129076918092545,0.223523443526115
"COTL1",535,516,1051,0.509039010466223,0.578759773544316,0.747126253120844
"CPNE7",0,11,11,0,0.0009765625,0.00288899739583333
"CRISPLD2",1,11,12,0.0833333333333333,0.00634765625,0.0150227864583333
"CYB5B",1270,1077,2347,0.541116318704729,7.33151814302457e-05,0.000289187660085969
"DPEP1",187,11,198,0.944444444444444,1.82999651192253e-42,6.49648761732497e-41
"DUSP15",6,0,6,1,0.03125,0.0652573529411765
"EMC8",11,3,14,0.785714285714286,0.057373046875,0.116385323660714
"FANCA",18,15,33,0.545454545454545,0.728332480881364,0.847731248238964
"GAN",19,10,29,0.655172413793103,0.136045947670937,0.229982435348488
"GAS8",163,173,336,0.485119047619048,0.62349908201445,0.776639207421507
"GINS2",136,156,292,0.465753424657534,0.266153366672863,0.377937780675466
"HAS3",1,2,3,0.333333333333333,1,1
"HSBP1",3710,4268,7978,0.465028829280521,4.41780820618829e-10,2.85149438763062e-09
"HSD17B2",1,0,1,1,1,1
"JPH3",7,5,12,0.583333333333333,0.7744140625,0.859115600585938
"KCNG4",3,0,3,1,0.25,0.362244897959184
"KIAA0513",1,54,55,0.0181818181818182,3.10862446895043e-15,3.15303338993544e-14
"KLHDC4",69,69,138,0.5,1,1
"KLHL36",0,25,25,0,5.96046447753906e-08,3.02280698503767e-07
"LOC106888094",181,78,259,0.698841698841699,1.33869475911949e-10,1.05608142108316e-09
"LOC106888173",487,591,1078,0.451762523191095,0.00169382395350422,0.00467033079418865
"LOC106888185",681,488,1169,0.582549187339606,1.82400166300504e-08,9.96185523641214e-08
"LOC106888312",1,0,1,1,1,1
"LOC106888384",134,114,248,0.540322580645161,0.227553756289107,0.343751419075034
"MLYCD",370,358,728,0.508241758241758,0.683532030890539,0.822555494800479
"MPHOSPH6",1143,1125,2268,0.503968253968254,0.721125498952026,0.847731248238964
"MTHFSD",10,4,14,0.714285714285714,0.1795654296875,0.289753306995739
"MVD",10,255,265,0.0377358490566038,1.39111365782427e-62,9.87690697055235e-61
"NIP7",1070,1072,2142,0.49953314659197,0.982762287212671,1
"PABPN1L",2,0,2,1,0.5,0.657407407407407
"PIEZO1",2,0,2,1,0.5,0.657407407407407
"PKD1L2",0,1,1,0,1,1
"PLCG2",204,241,445,0.458426966292135,0.0877894388126669,0.159821798864086
"PPP1R3E",3,8,11,0.272727272727273,0.2265625,0.343751419075034
"RPL13",4073,3716,7789,0.522916934137887,5.47394084348639e-05,0.000228617529345608
"SDR42E1",281,207,488,0.575819672131147,0.000932300037158192,0.00287796967992311
"SLC22A31",63,67,130,0.484615384615385,0.792582522794096,0.865743986436628
"SLC7A5",0,97,97,0,1.26217744835362e-29,2.98715329443691e-28
"SNTB2",93,77,170,0.547058823529412,0.249886031845437,0.362244897959184
"SPATA2L",775,642,1417,0.546930134086097,0.000449863738554169,0.00152096787796886
"SPG7",578,635,1213,0.476504534212696,0.107819862423013,0.191380255800848
"SPIRE2",489,601,1090,0.448623853211009,0.000766126509038874,0.00247249918826182
"TANGO6",117,180,297,0.393939393939394,0.000306370093072825,0.00108761383040853
"TCF25",110,224,334,0.329341317365269,4.29143860870786e-10,2.85149438763062e-09
"TERF2",549,301,850,0.645882352941176,1.42991584204201e-17,1.69206707974971e-16
"TLDC1",16,20,36,0.444444444444444,0.617719317029696,0.776639207421507
"TMED6",1,11,12,0.0833333333333333,0.00634765625,0.0150227864583333
"TUBB3",7,0,7,1,0.015625,0.0357862903225807
"USP10",12,28,40,0.3,0.0165890033749747,0.0368068512382252
"UTP4",341,295,636,0.536163522012579,0.0742812346958403,0.138788622721175
"VPS4A",2853,2620,5473,0.521286314635483,0.00171026198097049,0.00467033079418865
"VPS9D1",176,156,332,0.530120481927711,0.297049111909586,0.413538959717267
"ZC3H18",4,6,10,0.4,0.75390625,0.849640376984127
"ZCCHC14",0,24,24,0,1.19209289550781e-07,5.64257303873699e-07
"ZNF276",231,242,473,0.488372093023256,0.64570546851033,0.790432556279886
