"gene","alt_allele_count","ref_allele_count","total_count","alt_allele_allelic_ratio","pvalue","padjust"
"ACSF3",418,751,1169,0.357570573139435,1.41632822330128e-22,6.72755906068109e-22
"ANKRD11",5307,4830,10137,0.523527670908553,2.26122555811301e-06,6.60973624679187e-06
"ARY1",106,207,313,0.338658146964856,1.19302211598122e-08,3.77790336727387e-08
"ARY2",174,232,406,0.428571428571429,0.0046119622989406,0.00876272836798714
"ARYL",3,16,19,0.157894736842105,0.004425048828125,0.00862317207532052
"ATMIN",1679,1491,3170,0.529652996845426,0.000893085626279824,0.00193581787320289
"ATP2C2",3,2,5,0.6,1,1
"BANP",9,9,18,0.5,1,1
"BCO1",44,124,168,0.261904761904762,5.16078014623839e-10,1.70530126571355e-09
"CA5A",2717,4075,6792,0.400029446407538,2.58640162362433e-61,2.18407248217166e-60
"CDH13",70,34,104,0.673076923076923,0.000534284189980163,0.00119428230701448
"CDH15",18,14,32,0.5625,0.596614895854146,0.743323476801887
"CDK10",2725,1060,3785,0.71994715984148,1.14053695960805e-166,8.6680808930212e-165
"CDT1",3,25,28,0.107142857142857,2.74404883384705e-05,6.95159037907919e-05
"CENPN",17,19,36,0.472222222222222,0.86793940042844,0.984528275112857
"CHMP1A",3331,2482,5813,0.573025976260107,7.83012548522404e-29,3.96726357918018e-28
"CHTF8",132,120,252,0.523809523809524,0.488426018286697,0.629158938809982
"CMIP",1314,1224,2538,0.517730496453901,0.0772705496881563,0.119848199516324
"COG8",601,522,1123,0.535173642030276,0.0198938022700899,0.0343620221028826
"COTL1",4850,3963,8813,0.550323385907183,3.52997438572439e-21,1.57810619597091e-20
"CPNE7",11765,9159,20924,0.562272987956414,1.08982476237084e-72,1.38044469900306e-71
"CRISPLD2",4,26,30,0.133333333333333,5.94761222600939e-05,0.000141255790367723
"CYB5B",1215,1001,2216,0.548285198555957,5.95231696552269e-06,1.61562889064187e-05
"DPEP1",105,17,122,0.860655737704918,1.14745621332214e-16,4.8448151229157e-16
"DUSP15",1,1,2,0.5,1,1
"EMC8",18,29,47,0.382978723404255,0.143865088440549,0.206297107952486
"FANCA",16,13,29,0.551724137931034,0.711071103811264,0.857800061740573
"GAN",296,135,431,0.68677494199536,6.25978296627272e-15,2.37871752718363e-14
"GAS8",181,159,340,0.532352941176471,0.254716961085834,0.339622614781112
"GINS2",124,120,244,0.508196721311475,0.847748658292908,0.976195424700924
"GSE1",0,6,6,0,0.03125,0.0516304347826087
"HAS3",25,21,46,0.543478260869565,0.658738077023657,0.807485384738677
"HSBP1",8174,10800,18974,0.43080004216296,3.21883138836499e-81,4.89262371031479e-80
"HSD17B2",2,2,4,0.5,1,1
"JPH3",72,62,134,0.537313432835821,0.436990549085973,0.572608305698861
"KCNG4",51,75,126,0.404761904761905,0.0400357593562839,0.0647386747037783
"KIAA0513",0,128,128,0,5.87747175411145e-39,3.72239877760392e-38
"KLHDC4",102,129,231,0.441558441558442,0.0869214013793973,0.132120530096684
"KLHL36",0,217,217,0,9.49556774575971e-66,1.03094735525391e-64
"LOC106888094",92,83,175,0.525714285714286,0.545472657847898,0.690932033274004
"LOC106888173",675,197,872,0.774082568807339,6.3325360574386e-62,6.01590925456667e-61
"LOC106888185",119,79,198,0.601010101010101,0.00544407625687717,0.0100914584273821
"LOC106888312",1,1,2,0.5,1,1
"LOC106888384",37,12,49,0.755102040816326,0.000469757318008137,0.00108186533844298
"MC1R",6,8,14,0.428571428571429,0.79052734375,0.938751220703124
"MLYCD",739,829,1568,0.471301020408163,0.0245714789942279,0.0414984978569182
