"gene","alt_allele_count","ref_allele_count","total_count","alt_allele_allelic_ratio","pvalue","padjust"
"ACSF3",284,354,638,0.445141065830721,0.0062560269585773,0.0108735706660986
"ANKRD11",211,185,396,0.532828282828283,0.208953027227062,0.282473536806954
"ARY1",15,55,70,0.214285714285714,1.65251984779799e-06,4.02113162964178e-06
"ARY2",8,530,538,0.0148698884758364,3.72822034242541e-145,9.07200283323516e-144
"ARYL",4,2,6,0.666666666666667,0.6875,0.7841796875
"ATMIN",1554,1784,3338,0.465548232474536,7.33710662251077e-05,0.000162305691952511
"ATP2C2",2,0,2,1,0.5,0.608333333333333
"BANP",4,4,8,0.5,1,1
"BCO1",731,1215,1946,0.375642343268243,3.573453728694e-28,1.86330087281901e-27
"CA5A",1713,847,2560,0.669140625,8.59742127146354e-67,8.96588218309769e-66
"CDH13",15,23,38,0.394736842105263,0.25587507954333,0.339616014666602
"CDH15",0,4,4,0,0.125,0.1825
"CDK10",2355,1751,4106,0.573550901120312,4.20989432253448e-21,1.70734603080565e-20
"CDT1",16,62,78,0.205128205128205,1.51297813775433e-07,4.24797707907946e-07
"CENPN",7376,614,7990,0.923153942428035,4.94065645841247e-324,3.6066792146411e-322
"CHMP1A",3965,3621,7586,0.522673345636699,8.19117145632383e-05,0.000175869269503423
"CHTF8",1161,1497,2658,0.436794582392777,7.70444483875017e-11,2.44532379664679e-10
"CIDEC",4,6,10,0.4,0.75390625,0.821420242537314
"CMIP",247,449,696,0.354885057471264,1.68598546789226e-14,6.15384695780674e-14
"COG8",622,550,1172,0.530716723549488,0.0380403696616466,0.0603684127239174
"COTL1",65,94,159,0.408805031446541,0.0260701876105617,0.0422916376793556
"CPNE7",5,12,17,0.294117647058824,0.143463134765625,0.205349192899816
"CRISPLD2",16,33,49,0.326530612244898,0.0212941141413872,0.0353288711891197
"CYB5B",1704,1315,3019,0.564425306392845,1.53672489608202e-12,5.34194844828512e-12
"DPEP1",204,42,246,0.829268292682927,1.01034436519934e-26,4.60969616622201e-26
"EMC8",26,26,52,0.5,1,1
"FANCA",324,331,655,0.494656488549618,0.81466580594741,0.874567703443543
"GAN",237,156,393,0.603053435114504,5.14929569815212e-05,0.000117468308114095
"GAS8",2123,1898,4021,0.527978114896792,0.000410357421667202,0.000832113660602936
"GINS2",1504,1531,3035,0.495551894563427,0.636971215580105,0.762277028481109
"HAS3",24,11,35,0.685714285714286,0.0409595915116371,0.0636180889436066
"HSBP1",2750,2370,5120,0.537109375,1.16423952949197e-07,3.39957942611656e-07
"HSD17B2",24,15,39,0.615384615384615,0.199590866919608,0.274908175191158
"KCNG4",113,46,159,0.710691823899371,1.08725040728791e-07,3.3070533221674e-07
"KIAA0513",0,11,11,0,0.0009765625,0.00182792467948718
"KLHDC4",128,112,240,0.533333333333333,0.33293303133493,0.434001987275891
"KLHL36",0,21,21,0,9.53674316406249e-07,2.40062845164332e-06
"LOC106888094",175,126,301,0.581395348837209,0.00557443767913436,0.00992521830675143
"LOC106888173",123,219,342,0.359649122807018,2.34453229158047e-07,6.33892064019904e-07
"LOC106888185",225,161,386,0.582901554404145,0.00131308992173092,0.00239638910715893
"LOC106888384",111,625,736,0.150815217391304,1.0165542886228e-87,1.48416926138929e-86
"MC1R",1,4,5,0.2,0.375,0.47198275862069
"MLYCD",305,329,634,0.481072555205047,0.361018248654367,0.462356704416996
"MPHOSPH6",1063,1152,2215,0.479909706546275,0.0614868079647285,0.0916027955392894
"MTHFSD",53,34,87,0.609195402298851,0.0530031130109623,0.0806089010375051
"MVD",7,207,214,0.0327102803738318,2.90276381493951e-52,2.11901758490585e-51
"NIP7",3287,5110,8397,0.391449327140645,1.17050289021532e-88,2.13616777464295e-87
"PABPN1L",5,3,8,0.625,0.7265625,0.803622159090909
"PIEZO1",8,4,12,0.666666666666667,0.3876953125,0.479690810381356
"PKD1L2",159,97,256,0.62109375,0.000128324785039724,0.000267648837368567
"PLCG2",203,553,756,0.268518518518519,2.80700493625967e-38,1.70759466955796e-37
"PPP1R3E",13,10,23,0.565217391304348,0.677639484405518,0.7841796875
"RPL13",2216,3601,5817,0.380952380952381,2.80530851987033e-74,3.41312536584223e-73
"SDR42E1",1109,1502,2611,0.424741478360781,1.52016917539011e-14,5.84064998965673e-14
