"gene","alt_allele_count","ref_allele_count","total_count","alt_allele_allelic_ratio","pvalue","padjust"
"ACSF3",610,664,1274,0.478806907378336,0.137544799211739,0.199309618231827
"ANKRD11",5391,5071,10462,0.515293442936341,0.00181474154087194,0.00406942042498556
"ARY1",68,170,238,0.285714285714286,2.93698189789944e-11,1.14387716023452e-10
"ARY2",494,888,1382,0.357452966714906,1.85390055181289e-26,9.14590938894359e-26
"ARYL",5,4,9,0.555555555555556,1,1
"ATMIN",2433,2179,4612,0.527536860364267,0.000194316304918229,0.000463851824643513
"ATP2C2",10,3,13,0.769230769230769,0.09228515625,0.13658203125
"BANP",28,5,33,0.848484848484849,6.61876983940602e-05,0.000163262989372015
"BCO1",87,215,302,0.288079470198675,1.16124278967078e-13,4.77399813531321e-13
"CA5A",2721,2579,5300,0.513396226415094,0.0527615119939628,0.0929607592274583
"CDH13",84,65,149,0.563758389261745,0.140055407406148,0.199309618231827
"CDH15",6,9,15,0.4,0.60723876953125,0.691317983774039
"CDK10",2246,1049,3295,0.681638846737481,1.3409074510115e-98,3.30757171249503e-97
"CDT1",10,27,37,0.27027027027027,0.00763207860291005,0.0163271256342783
"CENPN",22,26,48,0.458333333333333,0.665465812076621,0.746128334752575
"CHMP1A",4073,3054,7127,0.571488704924933,1.36297501911463e-33,7.75847318572941e-33
"CHTF8",198,252,450,0.44,0.0123884843440012,0.0247769686880025
"CMIP",1494,1393,2887,0.517492206442674,0.062707191964544,0.100876787073397
"COG8",578,580,1158,0.499136442141624,0.976558142467568,1
"COTL1",5251,4052,9303,0.564441577985596,1.62860873882017e-35,1.0956095152063e-34
"CPNE7",1045,1864,2909,0.359229975936748,1.23408438655037e-52,1.14152805755909e-51
"CRISPLD2",13,38,51,0.254901960784314,0.000621043456227711,0.00143616299252658
"CYB5B",1161,949,2110,0.550236966824645,4.2834349512135e-06,1.21913148611461e-05
"DPEP1",24,11,35,0.685714285714286,0.0409595915116371,0.0757752442965286
"DUSP15",1,2,3,0.333333333333333,1,1
"EMC8",35,23,58,0.603448275862069,0.148005800760207,0.202822764004728
"FANCA",25,12,37,0.675675675675676,0.0470310274395161,0.0848852690371754
"GAN",255,163,418,0.610047846889952,7.89763410738764e-06,2.16453675535809e-05
"GAS8",251,282,533,0.470919324577861,0.193743644363748,0.260673266962134
"GINS2",103,103,206,0.5,1,1
"GSE1",0,1,1,0,1,1
"HAS3",12,4,16,0.75,0.076812744140625,0.118419647216797
"HSBP1",10009,11827,21836,0.458371496611101,8.70621687949664e-35,5.36883374235626e-34
"HSD17B2",6,0,6,1,0.03125,0.0592948717948718
"JPH3",63,43,106,0.594339622641509,0.0644635919894938,0.101495868238778
"KCNG4",0,8,8,0,0.0078125,0.0163271256342783
"KIAA0513",0,92,92,0,4.03896783473156e-28,2.13488299835811e-27
"KLHDC4",132,116,248,0.532258064516129,0.340858909683121,0.427517954517813
"KLHL36",0,202,202,0,3.11150763893051e-61,3.83752608801429e-60
"LOC106888094",131,47,178,0.735955056179775,2.2880685663222e-10,8.06271780513536e-10
"LOC106888173",501,100,601,0.833610648918469,4.00934046650433e-65,5.93382389042641e-64
"LOC106888185",143,82,225,0.635555555555556,5.75069735196639e-05,0.000146741932429487
"LOC106888384",17,26,43,0.395348837209302,0.222052820156024,0.29342694092046
"MC1R",1,4,5,0.2,0.375,0.4625
"MLYCD",615,695,1310,0.469465648854962,0.0290203382435427,0.056513290263741
"MPHOSPH6",1440,1499,2939,0.489962572303505,0.284678974661827,0.36321110560302
"MTHFSD",21,15,36,0.583333333333333,0.405032246140763,0.491350593678958
"MVD",28,691,719,0.0389429763560501,1.41693877879741e-166,1.04853469631008e-164
"NIP7",2157,2150,4307,0.500812630601347,0.927156485136933,1
"PIEZO1",7,6,13,0.538461538461538,1,1
"PKD1L2",0,5,5,0,0.0625,0.100876787073397
"PLCG2",184,79,263,0.699619771863118,8.06115582588452e-11,2.98262765557727e-10
"PPP1R3E",2,5,7,0.285714285714286,0.453125,0.532242063492064
"RPL13",2254,1922,4176,0.539750957854406,2.9804078469342e-07,1.0025008212415e-06
"SDR42E1",193,110,303,0.636963696369637,2.14789129947131e-06,6.62266484003654e-06
"SLC22A31",136,162,298,0.456375838926175,0.147433941792918,0.202822764004728
"SLC7A5",0,390,390,0,7.93106824161157e-118,2.93449524939628e-116
"SNTB2",39,57,96,0.40625,0.0821930685569433,0.124128307616608
"SPATA2L",3181,2209,5390,0.590166975881262,3.85149555300133e-40,2.85010670922098e-39
"SPG7",3023,3432,6455,0.468319132455461,3.77725770907229e-07,1.215291610745e-06
"SPIRE2",2009,1891,3900,0.515128205128205,0.0609855915376304,0.100876787073397
"TANGO6",359,919,1278,0.280907668231612,5.94658068661303e-57,6.28638529727663e-56
"TCF25",330,563,893,0.369540873460246,5.82835579191082e-15,2.53704899177295e-14
"TERF2",1211,1005,2216,0.546480144404332,1.31401107113923e-05,3.47274354515368e-05
"TLDC1",23,17,40,0.575,0.429590507843387,0.512737057748559
"TMED6",0,5,5,0,0.0625,0.100876787073397
"TUBB3",290,2,292,0.993150684931507,1.0752312798821e-83,1.98917786778188e-82
"USP10",26,73,99,0.262626262626263,2.48412613951197e-06,7.35301337295544e-06
"UTP4",675,580,1255,0.537848605577689,0.0079429259842435,0.0163271256342783
"VPS4A",4842,4725,9567,0.506114769520226,0.235636372837566,0.305913887543507
"VPS9D1",818,512,1330,0.615037593984962,4.46251884912744e-17,2.06391496772144e-16
"ZC3H18",22,28,50,0.44,0.479887661698328,0.554870108838692
"ZCCHC14",0,132,132,0,3.67341984631967e-40,2.85010670922098e-39
"ZNF276",480,472,952,0.504201680672269,0.820538488166128,0.906266389914828
