"gene","alt_allele_count","ref_allele_count","total_count","alt_allele_allelic_ratio","pvalue","padjust"
"ACSF3",269,464,733,0.366984993178718,5.69296778717092e-13,2.73262453784204e-12
"ANKRD11",662,658,1320,0.501515151515151,0.934195762794866,0.974812969872904
"ARY1",474,559,1033,0.458857696030978,0.00892870476866019,0.0164837626498342
"ARY2",216,167,383,0.563968668407311,0.0140737182047522,0.0247148222132234
"ARYL",63,52,115,0.547826086956522,0.351125369755432,0.443526782848966
"ATMIN",450,560,1010,0.445544554455446,0.00059730526741434,0.00153592783049402
"ATP2C2",4,0,4,1,0.125,0.18
"BANP",27,9,36,0.75,0.00393317302223295,0.00765374209731818
"BCO1",9999,3944,13943,0.717134045757728,4.94065645841247e-324,1.77863632502849e-322
"CA5A",2911,3513,6424,0.453144458281445,6.19737378698869e-14,3.18722080473704e-13
"CDH13",16,8,24,0.666666666666667,0.151589632034302,0.20989333666288
"CDK10",514,244,758,0.678100263852243,5.2427224204439e-23,4.19417793635512e-22
"CDT1",8,19,27,0.296296296296296,0.0522389858961105,0.0895525472504752
"CENPN",32,23,55,0.581818181818182,0.280609717698355,0.364637710807053
"CHMP1A",1484,903,2387,0.621700879765396,8.19235976244637e-33,9.83083171493565e-32
"CHTF8",48,96,144,0.333333333333333,7.79911389684868e-05,0.000215975461758887
"CIDEC",113,163,276,0.409420289855072,0.00311265843454233,0.00640318306534422
"CMIP",197,296,493,0.399594320486815,9.52491635806247e-06,2.85747490741874e-05
"COG8",243,230,473,0.513742071881607,0.581158931256727,0.664181635721974
"COTL1",652,550,1202,0.54242928452579,0.00356021406647831,0.00712042813295661
"CPNE7",10,0,10,1,0.001953125,0.00413602941176471
"CRISPLD2",5,32,37,0.135135135135135,7.4275303632021e-06,2.32513993978501e-05
"CYB5B",932,698,1630,0.571779141104295,7.43684798869874e-09,2.81817397466478e-08
"DPEP1",455,2577,3032,0.150065963060686,0,0
"DUSP15",1,0,1,1,1,1
"EMC8",6,10,16,0.375,0.454498291015625,0.554641982256356
"FANCA",7,118,125,0.056,3.98143732417019e-27,4.09519267628934e-26
"GAN",67,23,90,0.744444444444444,3.79504917816782e-06,1.2420160946731e-05
"GAS8",49,38,87,0.563218390804598,0.283607108405485,0.364637710807053
"GINS2",20,40,60,0.333333333333333,0.0134892937311919,0.0242807287161454
"GSE1",0,2,2,0,0.5,0.590906672882253
"HAS3",2,1,3,0.666666666666667,1,1
"HSBP1",1417,1393,2810,0.504270462633452,0.664379513990959,0.747426953239829
"HSD17B2",7,16,23,0.304347826086957,0.0931396484375001,0.13970947265625
"KIAA0513",0,10,10,0,0.001953125,0.00413602941176471
"KLHDC4",66,75,141,0.468085106382979,0.500629264525242,0.590906672882253
"KLHL36",0,10,10,0,0.001953125,0.00413602941176471
"LOC106888094",783,320,1103,0.70988213961922,2.5810684362052e-45,4.64592318516936e-44
"LOC106888173",66,47,113,0.584070796460177,0.0899543329449648,0.137802382383776
"LOC106888185",499,249,748,0.667112299465241,3.89515540891831e-20,2.80451189442118e-19
"LOC106888312",100,109,209,0.478468899521531,0.580114861476172,0.664181635721974
"LOC106888384",2409,2533,4942,0.487454471873735,0.080166444850624,0.128266311760998
"MLYCD",388,341,729,0.532235939643347,0.0883671721845216,0.137802382383776
"MPHOSPH6",664,654,1318,0.503793626707132,0.804219519758526,0.864235901830058
"MTHFSD",11,14,25,0.44,0.690037965774536,0.764349746704101
"MVD",58,918,976,0.0594262295081967,6.17335131383618e-200,1.48160431532068e-198
"NIP7",1514,1434,2948,0.513568521031208,0.145656211769635,0.205632298968897
"PIEZO1",9,8,17,0.529411764705882,1,1
"PKD1L2",0,12,12,0,0.00048828125,0.00130208333333333
"PLCG2",526,761,1287,0.408702408702409,6.13352612774931e-11,2.76008675748719e-10
"PPP1R3E",3,11,14,0.214285714285714,0.057373046875,0.0960664970930233
"RPL13",4110,3865,7975,0.515360501567398,0.0062863284860601,0.0119109381841139
"SDR42E1",234,371,605,0.386776859504132,2.82209704470162e-08,9.67576129611983e-08
"SLC22A31",5,164,169,0.029585798816568,2.98237481803151e-42,4.29461973796538e-41
"SLC7A5",0,30,30,0,1.86264514923096e-09,7.45058059692385e-09
"SNTB2",124,96,220,0.563636363636364,0.068464031334715,0.112032051274988
"SPATA2L",733,422,1155,0.634632034632035,4.4265442157241e-20,2.89737439574668e-19
"SPG7",721,856,1577,0.4571972098922,0.00073495104936452,0.00182470605359467
"SPIRE2",4,0,4,1,0.125,0.18
"TANGO6",139,324,463,0.300215982721382,4.3560598232821e-18,2.41258697904855e-17
"TCF25",123,230,353,0.348441926345609,1.31369335869434e-08,4.72929609129963e-08
"TERF2",622,305,927,0.670981661272923,1.03631396565911e-25,9.32682569093196e-25
"TLDC1",26,29,55,0.472727272727273,0.787706189670044,0.859315843276412
"TMED6",0,3,3,0,0.25,0.333333333333333
"USP10",26,57,83,0.313253012048193,0.000877551780002863,0.00210612427200687
"UTP4",840,518,1358,0.618556701030928,2.10358872434673e-18,1.26215323460804e-17
"VPS4A",2320,2109,4429,0.523820275457214,0.00159938082130861,0.00371469093981356
"VPS9D1",94,90,184,0.510869565217391,0.825040350753391,0.873572136091826
"WFDC1",0,3,3,0,0.25,0.333333333333333
"ZC3H18",10,15,25,0.4,0.42435622215271,0.526787034396468
"ZCCHC14",0,34,34,0,1.16415321826935e-10,4.93053127737607e-10
"ZNF276",129,208,337,0.382789317507418,1.97937564574552e-05,5.70060185974711e-05
