"gene","alt_allele_count","ref_allele_count","total_count","alt_allele_allelic_ratio","pvalue","padjust"
"ACSF3",303,368,671,0.451564828614009,0.0134260462690737,0.0268520925381473
"ANKRD11",5034,4794,9828,0.512210012210012,0.0159122776133426,0.0309870669312462
"ARY1",41,101,142,0.288732394366197,5.0560375511591e-07,1.7816513275513e-06
"ARY2",43,78,121,0.355371900826446,0.00187309493003221,0.00433153202569949
"ARYL",2,5,7,0.285714285714286,0.453125,0.598772321428572
"ATMIN",1496,1320,2816,0.53125,0.000971179490001083,0.00239557607533601
"ATP2C2",7,4,11,0.636363636363636,0.548828125,0.676888020833334
"BANP",24,12,36,0.666666666666667,0.0652453352231534,0.109730791057122
"BCO1",29,108,137,0.211678832116788,6.65819713624873e-12,3.07941617551504e-11
"CA5A",1366,1934,3300,0.413939393939394,4.39825637094299e-23,2.71225809541484e-22
"CDH13",14,11,25,0.56,0.690037965774536,0.785581684112549
"CDH15",0,5,5,0,0.0625,0.107558139534884
"CDK10",2152,852,3004,0.716378162450067,2.70987580931167e-128,1.00265404944532e-126
"CDT1",5,25,30,0.166666666666667,0.000324914231896401,0.000858701898583345
"CENPN",11,25,36,0.305555555555556,0.0288167196558789,0.0533109313633759
"CHMP1A",2816,1869,4685,0.601067235859125,9.85693296103774e-44,9.11766298895991e-43
"CHTF8",94,91,185,0.508108108108108,0.883149692741434,0.961074665630384
"CMIP",1117,906,2023,0.552150271873455,2.96847868852505e-06,9.15280928961889e-06
"COG8",527,503,1030,0.511650485436893,0.473605383956647,0.61485611250512
"COTL1",2615,2649,5264,0.496770516717325,0.649230458958816,0.774887967144393
"CPNE7",1225,1426,2651,0.462089777442475,0.000101853111001977,0.000301485208565851
"CRISPLD2",6,21,27,0.222222222222222,0.00592461228370666,0.0128947443821851
"CYB5B",840,737,1577,0.532656943563729,0.010190745096228,0.0209476426978021
"DPEP1",9,0,9,1,0.00390625,0.0087594696969697
"DUSP15",3,0,3,1,0.25,0.362745098039216
"EMC8",23,22,45,0.511111111111111,1,1
"FANCA",13,19,32,0.40625,0.377085587475449,0.50735151769424
"GAN",253,151,404,0.626237623762376,4.40288198991705e-07,1.62906633626931e-06
"GAS8",140,159,299,0.468227424749164,0.297880229936205,0.415908245571305
"GINS2",111,103,214,0.518691588785047,0.632390291316435,0.767161992744528
"HAS3",13,7,20,0.65,0.263175964355469,0.374519641582782
"HSBP1",6072,7750,13822,0.439299667197222,2.84527559676999e-46,3.50917323601633e-45
"HSD17B2",13,3,16,0.8125,0.021270751953125,0.0403598883213141
"JPH3",77,71,148,0.52027027027027,0.681217086893931,0.785581684112549
"KCNG4",0,2,2,0,0.5,0.627118644067797
"KIAA0513",1,60,61,0.0163934426229508,5.37764277552809e-17,2.65297043592719e-16
"KLHDC4",7,166,173,0.0404624277456647,1.41846113198394e-40,1.16629026407568e-39
"KLHL36",16,142,158,0.10126582278481,2.02329580700129e-26,1.36112627016451e-25
"LOC106888094",101,26,127,0.795275590551181,1.24366044441197e-11,5.41358075802856e-11
"LOC106888173",269,20,289,0.930795847750865,7.52142618971192e-57,1.11317107607736e-55
"LOC106888185",36,13,49,0.73469387755102,0.00140268850369552,0.00334835320236994
"LOC106888312",0,1,1,0,1,1
"LOC106888384",0,3,3,0,0.25,0.362745098039216
