"gene","alt_allele_count","ref_allele_count","total_count","alt_allele_allelic_ratio","pvalue","padjust"
"ACSF3",276,477,753,0.366533864541833,2.27498260214992e-13,8.41743562795471e-13
"ANKRD11",3949,3532,7481,0.52787060553402,1.50299221381598e-06,4.11931199342158e-06
"ARY1",135,285,420,0.321428571428571,1.99851851306212e-13,7.78370368245248e-13
"ARY2",230,595,825,0.278787878787879,4.92474421954472e-38,7.28862144492618e-37
"ARYL",5,15,20,0.25,0.0413894653320313,0.0712283821993096
"ATMIN",1451,1276,2727,0.532086541987532,0.000859016414024857,0.00186962395993645
"ATP2C2",8,4,12,0.666666666666667,0.3876953125,0.478157552083333
"BANP",15,20,35,0.428571428571429,0.499559833202511,0.587301587301587
"BCO1",93,232,325,0.286153846153846,7.48425901115539e-15,3.69223444550333e-14
"CA5A",3917,4390,8307,0.471530034910317,2.21847092088541e-07,6.31410954405846e-07
"CDH13",63,62,125,0.504,1,1
"CDH15",10,26,36,0.277777777777778,0.0113309841835872,0.0214998161432167
"CDK10",1742,825,2567,0.678613167121153,1.19537699477185e-74,2.9485965871039e-73
"CDT1",11,28,39,0.282051282051282,0.00947530427947642,0.0184519083337172
"CENPN",10,103,113,0.0884955752212389,1.32141199819133e-20,8.14870732217985e-20
"CHMP1A",3139,2450,5589,0.56163893361961,3.13092109110711e-20,1.78221662109174e-19
"CHTF8",207,183,390,0.530769230769231,0.244124950970863,0.33454159947859
"CMIP",1274,1321,2595,0.490944123314066,0.366527198700604,0.459712079726181
"COG8",530,464,994,0.533199195171026,0.0391851450300314,0.069040493624341
"COTL1",2979,2896,5875,0.507063829787234,0.284700234742441,0.369610831069134
"CPNE7",121,173,294,0.41156462585034,0.0028724551440729,0.00607319087603984
"CRISPLD2",13,33,46,0.282608695652174,0.00453386158218906,0.00906772316437813
"CYB5B",977,832,1809,0.540077390823659,0.000705855815181667,0.0015828281916195
"DPEP1",13,0,13,1,0.000244140625,0.000622979525862069
"DUSP15",1,0,1,1,1,1
"EMC8",23,15,38,0.605263157894737,0.25587507954333,0.338120640825115
"FANCA",38,23,61,0.622950819672131,0.0721774385009227,0.111273551022256
"GAN",228,156,384,0.59375,0.000280298580015221,0.000691403164037545
"GAS8",172,212,384,0.447916666666667,0.0464267197985386,0.0780813014793603
"GINS2",99,126,225,0.44,0.0828075500597859,0.125056300090289
"HAS3",6,16,22,0.272727272727273,0.0524787902832032,0.0862984551323785
"HSBP1",4758,6076,10834,0.439172973970833,8.83837013443827e-37,1.09006564991405e-35
"HSD17B2",8,2,10,0.8,0.109375,0.158700980392157
"JPH3",60,48,108,0.555555555555556,0.289798215405062,0.369742550689217
"KCNG4",35,24,59,0.593220338983051,0.192526457761464,0.2688105259311
"KIAA0513",0,94,94,0,1.00974195868289e-28,8.30232277139265e-28
"KLHDC4",23,176,199,0.115577889447236,2.20272578056237e-30,2.32859582516593e-29
"KLHL36",17,95,112,0.151785714285714,2.50772976813802e-14,1.0916000167189e-13
"LOC106888094",129,102,231,0.558441558441558,0.0869214013793973,0.128643674041508
"LOC106888173",1264,815,2079,0.607984607984608,5.98147662537987e-23,4.4262927027811e-22
"LOC106888185",127,56,183,0.693989071038251,1.61659378341e-07,4.98449749884751e-07
"LOC106888384",17,36,53,0.320754716981132,0.0126603358024142,0.0234216212344663
"MC1R",3,0,3,1,0.25,0.336363636363636
"MLYCD",642,637,1279,0.501954652071931,0.910950355645603,0.976961250982241
"MPHOSPH6",1003,909,1912,0.524581589958159,0.0334045193818793,0.0602910837624163
"MTHFSD",14,16,30,0.466666666666667,0.855535551905632,0.944919863298758
"MVD",25,435,460,0.0543478260869565,8.76409505829452e-98,3.24271517156897e-96
"NIP7",1371,1187,2558,0.535965598123534,0.000294948545456593,0.000704070721412513
"PIEZO1",13,22,35,0.371428571428571,0.175465248990804,0.249700546640759
"PKD1L2",5,6,11,0.454545454545455,1,1
"PLCG2",225,90,315,0.714285714285714,1.72053618602326e-14,7.95747986035756e-14
"PPP1R3E",0,9,9,0,0.00390625,0.0080295138888889
"RPL13",1880,1546,3426,0.548744892002335,1.24426919949344e-08,4.00330090271804e-08
"SDR42E1",235,112,347,0.677233429394813,3.63271682909547e-11,1.28010021596698e-10
"SLC22A31",138,173,311,0.443729903536977,0.0536847982656207,0.0863625015577376
"SLC7A5",0,370,370,0,8.31632781251579e-112,6.15408258126168e-110
"SNTB2",30,24,54,0.555555555555556,0.496617435317934,0.587301587301587
