"gene","alt_allele_count","ref_allele_count","total_count","alt_allele_allelic_ratio","pvalue","padjust"
"ACSF3",543,862,1405,0.386476868327402,1.59331462194805e-17,5.97492983230518e-17
"ANKRD11",5344,4859,10203,0.523767519357052,1.647407321661e-06,4.57613144905833e-06
"ARY1",95,164,259,0.366795366795367,2.14901975360911e-05,5.03676504752135e-05
"ARY2",611,1117,1728,0.353587962962963,1.97075644457664e-34,1.34369757584771e-33
"ARYL",5,4,9,0.555555555555556,1,1
"ATMIN",2136,1898,4034,0.529499256321269,0.000189610317950206,0.000407000770209772
"ATP2C2",7,3,10,0.7,0.34375,0.477430555555556
"BANP",20,21,41,0.48780487804878,1,1
"BCO1",131,317,448,0.292410714285714,7.23196909026298e-19,2.85472464089328e-18
"CA5A",3988,3772,7760,0.513917525773196,0.014655104025266,0.024980290952158
"CDH13",64,70,134,0.477611940298507,0.665950163901232,0.773964000915947
"CDH15",4,22,26,0.153846153846154,0.000533521175384521,0.00111150244871775
"CDK10",2421,1096,3517,0.688370770543076,4.03921984352647e-113,6.05882976528971e-112
"CDT1",5,29,34,0.147058823529412,3.85581515729428e-05,8.76321626657791e-05
"CENPN",64,46,110,0.581818181818182,0.104613058111267,0.166935731028617
"CHMP1A",4310,3398,7708,0.559159314997405,2.79874150057017e-25,1.23473889731037e-24
"CHTF8",159,293,452,0.351769911504425,2.95321675215659e-10,1.05472026862735e-09
"CMIP",1965,1603,3568,0.55072869955157,1.46091729980070e-09,4.98039988568419e-09
"COG8",630,651,1281,0.491803278688525,0.576316164081117,0.697156650098125
"COTL1",5413,4376,9789,0.552967616712637,1.05864450901366e-25,5.29322254506828e-25
"CPNE7",861,1362,2223,0.387314439946019,1.74584087500686e-26,9.35271897325102e-26
"CRISPLD2",12,14,26,0.461538461538462,0.845018982887268,0.932006231125663
"CYB5B",1283,1361,2644,0.485249621785174,0.134254084224497,0.205490945241577
"DPEP1",22,0,22,1,4.76837158203125e-07,1.37549180250901e-06
"DUSP15",2,0,2,1,0.5,0.646551724137931
"EMC8",19,37,56,0.339285714285714,0.0222413894728602,0.037068982454767
"FANCA",23,18,41,0.560975609756098,0.532709255236115,0.656630977542549
"GAN",269,205,474,0.567510548523207,0.00376197115464017,0.00742494306836875
"GAS8",347,387,734,0.47275204359673,0.149954722307614,0.224932083461421
"GINS2",119,110,229,0.519650655021834,0.597141911163263,0.710883227575313
"GSE1",0,8,8,0,0.0078125,0.0142911585365854
"HAS3",28,24,52,0.538461538461538,0.677808639142461,0.773964000915947
"HSBP1",8046,10465,18511,0.434660472151694,7.38252361265985e-71,9.22815451582481e-70
"HSD17B2",29,0,29,1,3.72529029846191e-09,1.21476857558541e-08
"JPH3",47,49,96,0.489583333333333,0.918778035364538,0.984405037890577
"KCNG4",16,40,56,0.285714285714286,0.00184155478849255,0.00373288132802544
"KIAA0513",0,95,95,0,5.0487097934145e-29,3.15544362088406e-28
"KLHDC4",136,116,252,0.53968253968254,0.231284307731197,0.327289114713958
"KLHL36",0,154,154,0,8.75811540203013e-47,8.21073318940325e-46
"LOC106888094",188,111,299,0.62876254180602,9.95384417420931e-06,2.48846104355233e-05
"LOC106888173",1444,345,1789,0.80715483510341,1.63074844752338e-159,1.22306133564254e-157
"LOC106888185",110,103,213,0.516431924882629,0.681088320806033,0.773964000915947
"LOC106888384",43,50,93,0.462365591397849,0.534059861734607,0.656630977542549
"MC1R",5,2,7,0.714285714285714,0.453125,0.606863839285715
"MLYCD",861,889,1750,0.492,0.518664445275542,0.656630977542549
"MPHOSPH6",1493,1264,2757,0.541530649256438,1.39519689786819e-05,3.37547636581015e-05
"MTHFSD",20,12,32,0.625,0.215327149722725,0.310568004407776
"MVD",21,569,590,0.0355932203389831,1.07832764688372e-139,4.04372867581395e-138
"NIP7",2375,2208,4583,0.518219506873227,0.0141948132306691,0.0247583951697718
"PABPN1L",1,0,1,1,1,1
"PIEZO1",19,16,35,0.542857142857143,0.735878800856881,0.823744926332329
"PKD1L2",2,5,7,0.285714285714286,0.453125,0.606863839285715
"PLCG2",295,93,388,0.760309278350515,1.38034578679002e-25,6.47037087557823e-25
"PPP1R3E",6,5,11,0.545454545454545,1,1
"RPL13",2504,2179,4683,0.534699978646167,2.17544211288442e-06,5.82707708808327e-06
"SDR42E1",246,134,380,0.647368421052632,9.76945561748955e-09,3.05295488046548e-08
"SLC22A31",314,265,579,0.542314335060449,0.0459699699062167,0.0749510378905707
"SLC7A5",0,444,444,0,4.40262728585516e-134,1.10065682146379e-132
"SNTB2",41,71,112,0.366071428571429,0.00589017298041325,0.011327255731564
"SPATA2L",3922,2537,6459,0.607214739123703,5.8351217013783e-67,6.25191610861961e-66
"SPG7",3863,4084,7947,0.486095381905121,0.0135872247723611,0.0242629013792162
"SPIRE2",2839,2639,5478,0.518254837531946,0.00716764816227394,0.0134393403042636
"TANGO6",581,1004,1585,0.366561514195584,1.50807908441821e-26,8.7004562562589e-26
"TCF25",351,761,1112,0.315647482014388,2.31735930299119e-35,1.73801947724339e-34
"TERF2",1359,1135,2494,0.544907778668805,7.88821325053774e-06,2.04005515100114e-05
"TLDC1",25,26,51,0.490196078431373,1,1
"TMED6",0,2,2,0,0.5,0.646551724137931
"TUBB3",415,1,416,0.997596153846154,4.92819466702935e-123,9.24036500068003e-122
"USP10",38,51,89,0.426966292134831,0.203116818736496,0.298701204024259
"UTP4",657,485,1142,0.575306479859895,3.9926913139056e-07,1.19780739417168e-06
"VPS4A",5075,5459,10534,0.481773305486994,0.00018993369276456,0.000407000770209772
"VPS9D1",1023,642,1665,0.614414414414414,8.48383351137329e-21,3.53493062973887e-20
"ZC3H18",31,29,60,0.516666666666667,0.89742182699143,0.975458507599381
"ZCCHC14",0,127,127,0,1.17549435082229e-38,9.79578625685243e-38
"ZNF276",528,579,1107,0.476964769647696,0.132858368390869,0.205490945241577
