"gene","alt_allele_count","ref_allele_count","total_count","alt_allele_allelic_ratio","pvalue","padjust"
"ACSF3",368,433,801,0.459425717852684,0.0236789626869561,0.0413005163144583
"ANKRD11",5146,4683,9829,0.52355275206023,3.14930586178476e-06,9.84158081807736e-06
"ARY1",56,117,173,0.323699421965318,4.08009799228439e-06,1.22402939768532e-05
"ARY2",231,437,668,0.345808383233533,1.29434708796668e-15,6.4717354398334e-15
"ARYL",2,4,6,0.333333333333333,0.6875,0.758272058823529
"ATMIN",1342,1134,2476,0.542003231017771,3.15051152238617e-05,8.63143593051603e-05
"ATP2C2",9,1,10,0.9,0.021484375,0.0383649553571429
"BANP",11,11,22,0.5,1,1
"BCO1",62,174,236,0.26271186440678,1.73311972697284e-13,7.22133219572017e-13
"CA5A",1561,1388,2949,0.529331976941336,0.0015342663569455,0.00319638824363646
"CDH13",18,37,55,0.327272727272727,0.0144538335338278,0.0265187292562559
"CDH15",3,5,8,0.375,0.7265625,0.789741847826087
"CDK10",1772,1018,2790,0.635125448028674,1.15676153423491e-46,1.44595191779363e-45
"CDT1",2,14,16,0.125,0.004180908203125,0.00804020808293269
"CENPN",14,41,55,0.254545454545455,0.00035528111863148,0.000807457087798819
"CHMP1A",2894,2115,5009,0.577760031942503,3.24250953639095e-28,2.70209128032579e-27
"CHTF8",288,315,603,0.477611940298507,0.289682098249202,0.387967095869468
"CMIP",1331,948,2279,0.584028082492321,1.05318971172895e-15,5.64208774140508e-15
"COG8",509,433,942,0.540339702760085,0.0144969053267532,0.0265187292562559
"COTL1",6151,5181,11332,0.542799152841511,8.37603348687371e-20,5.23502092929607e-19
"CPNE7",1657,1961,3618,0.457987838584854,4.64905728074276e-07,1.51599693937264e-06
"CRISPLD2",11,7,18,0.611111111111111,0.480682373046875,0.581470612556704
"CYB5B",609,671,1280,0.47578125,0.0881545947157532,0.143730317471337
"DPEP1",44,13,57,0.771929824561403,4.71043760939538e-05,0.000117760940234884
"DUSP15",1,0,1,1,1,1
"EMC8",29,23,52,0.557692307692308,0.488455669379893,0.581494844499872
"FANCA",32,22,54,0.592592592592593,0.220328494176611,0.317781481985497
"GAN",336,205,541,0.621072088724584,1.95735350309968e-08,6.990548225356e-08
"GAS8",262,306,568,0.461267605633803,0.0711000892662813,0.121193333976616
"GINS2",99,88,187,0.529411764705882,0.464706904602904,0.571360948282259
"GSE1",0,3,3,0,0.25,0.347222222222222
"HAS3",21,19,40,0.525,0.87462931238042,0.937102834693308
"HSBP1",6898,8890,15788,0.436914111983785,1.07930683755601e-56,2.02370032041751e-55
"HSD17B2",11,0,11,1,0.0009765625,0.00209263392857143
"JPH3",21,31,52,0.403846153846154,0.211608568761516,0.316657573121654
"KCNG4",10,4,14,0.714285714285714,0.1795654296875,0.274845045440051
"KIAA0513",0,55,55,0,5.55111512312579e-17,3.20256641718796e-16
"KLHDC4",117,74,191,0.612565445026178,0.00228746148517922,0.00463674625374166
"KLHL36",0,148,148,0,5.60519385729934e-45,6.00556484710644e-44
"LOC106888094",79,65,144,0.548611111111111,0.278614546344221,0.379928926833029
"LOC106888173",832,201,1033,0.805421103581801,1.08002110635428e-91,4.05007914882854e-90
"LOC106888185",74,41,115,0.643478260869565,0.00268570100596285,0.00530072566966351
"LOC106888312",0,2,2,0,0.5,0.5859375
"LOC106888384",1,39,40,0.025,7.45785655453804e-11,2.79669620795177e-10
"MC1R",0,1,1,0,1,1
"MLYCD",468,579,1047,0.446991404011461,0.000667964396692047,0.00147345087505599
"MPHOSPH6",970,893,1863,0.520665593129361,0.0782462112699399,0.130410352116567
"MTHFSD",12,20,32,0.375,0.215327149722725,0.316657573121654
"MVD",13,551,564,0.0230496453900709,2.76872813531739e-144,2.07654610148804e-142
"NIP7",1936,1668,3604,0.537180910099889,8.60844472659553e-06,2.48320520959486e-05
"PIEZO1",3,4,7,0.428571428571429,1,1
"PKD1L2",1,2,3,0.333333333333333,1,1
"PLCG2",131,73,204,0.642156862745098,5.92330472772123e-05,0.000143305759541643
"PPP1R3E",1,3,4,0.25,0.625,0.704170340922341
"RPL13",1861,1615,3476,0.535385500575374,3.22240274739265e-05,8.63143593051603e-05
"SDR42E1",157,92,249,0.630522088353414,4.55570462386242e-05,0.000117760940234884
"SLC22A31",159,147,306,0.519607843137255,0.529529897463298,0.610996035534574
"SLC7A5",0,248,248,0,4.4217183002083e-75,1.10542957505207e-73
"SNTB2",43,56,99,0.434343434343434,0.227626157110047,0.322112486476482
"SPATA2L",2904,2208,5112,0.568075117370892,2.12913418949509e-22,1.45168240192847e-21
"SPG7",3038,2962,6000,0.506333333333333,0.332922029213045,0.430502623982385
"SPIRE2",1866,1766,3632,0.513766519823789,0.10042862104971,0.160258437845282
