"gene","alt_allele_count","ref_allele_count","total_count","alt_allele_allelic_ratio","pvalue","padjust"
"ACSF3",450,411,861,0.522648083623693,0.195278391846953,0.251545047124888
"ANKRD11",4810,4391,9201,0.522769264210412,1.31001818153794e-05,3.55576363560298e-05
"ARY1",109,196,305,0.357377049180328,7.17511278476844e-07,2.09734066016308e-06
"ARY2",479,932,1411,0.339475549255847,6.54661130871784e-34,4.52311326784142e-33
"ARYL",10,14,24,0.416666666666667,0.541256189346313,0.613962244631639
"ATMIN",2178,1794,3972,0.54833836858006,1.18940614173579e-09,5.02193704288446e-09
"ATP2C2",6,1,7,0.857142857142857,0.125,0.172727272727273
"BANP",55,24,79,0.69620253164557,0.000639397767364352,0.00138840658056259
"BCO1",194,332,526,0.368821292775665,1.88825784427767e-09,7.39184217070853e-09
"CA5A",6040,6378,12418,0.486390723143823,0.00249192268642878,0.00526072567134964
"CDH13",265,219,484,0.547520661157025,0.0406994711788977,0.064440829366588
"CDH15",12,13,25,0.48,1,1
"CDK10",2260,803,3063,0.737838720208945,8.86325178396554e-159,2.2453571186046e-157
"CDT1",23,29,52,0.442307692307692,0.488455669379893,0.571117398044182
"CENPN",29,15,44,0.659090909090909,0.0487667659044747,0.0741254841748015
"CHMP1A",4117,3080,7197,0.572043907183549,2.07080946589703e-34,1.57381519408174e-33
"CHTF8",148,321,469,0.315565031982942,9.40461498486137e-16,5.49808260653434e-15
"CMIP",1637,1660,3297,0.496511980588414,0.701618355406288,0.751028098744759
"COG8",766,761,1527,0.501637197118533,0.918473416467079,0.956218899335589
"COTL1",3746,3299,7045,0.531724627395316,1.0643402305588e-07,3.23559430089876e-07
"CPNE7",260,449,709,0.366713681241185,1.22881207711531e-12,5.83685736629772e-12
"CRISPLD2",33,74,107,0.308411214953271,9.18202620626865e-05,0.00021807312239888
"CYB5B",1366,1077,2443,0.559148587801883,5.4312046622156e-09,1.8762343378563e-08
"DPEP1",42,0,42,1,4.54747350886465e-13,2.46862847624081e-12
"DUSP15",8,1,9,0.888888888888889,0.0390625,0.0631648936170213
"EMC8",29,21,50,0.58,0.322236320357547,0.394999360438284
"FANCA",37,37,74,0.5,1,1
"GAN",183,153,336,0.544642857142857,0.113496764535004,0.159736187123339
"GAS8",335,301,636,0.526729559748428,0.190650554212234,0.251545047124888
"GINS2",286,17,303,0.943894389438944,3.55010275646087e-64,5.39615618982052e-63
"GSE1",18,1,19,0.947368421052632,7.62939453125001e-05,0.000187043220766129
"HAS3",27,31,58,0.46551724137931,0.694004094076131,0.751028098744759
"HSBP1",5795,7708,13503,0.429163889506036,4.97198680328054e-61,6.29784995082202e-60
"HSD17B2",25,0,25,1,5.96046447753906e-08,1.96954478388247e-07
"JPH3",63,45,108,0.583333333333333,0.101432735041105,0.148247843521615
"KCNG4",64,44,108,0.592592592592593,0.0670104147522951,0.09985865727793
"KIAA0513",153,109,262,0.583969465648855,0.00777436142062568,0.0141369047619048
"KLHDC4",184,82,266,0.691729323308271,3.62808517422517e-10,1.6219674896536e-09
"KLHL36",87,152,239,0.364016736401674,3.13081790997728e-05,7.93140537194245e-05
"LOC106888094",228,119,347,0.657060518731988,5.07101177888407e-09,1.83522331045328e-08
"LOC106888173",2897,1042,3939,0.735465854277735,1.73101569758856e-199,1.3155719301673e-197
"LOC106888185",244,138,382,0.638743455497382,6.45030088743085e-08,2.04259528101977e-07
"LOC106888312",2,0,2,1,0.5,0.575757575757576
"LOC106888384",106,75,181,0.585635359116022,0.0254832924348297,0.0421028309792838
"MC1R",9,3,12,0.75,0.14599609375,0.198137555803572
"MLYCD",857,889,1746,0.490836197021764,0.458163590321547,0.544069263506837
"MPHOSPH6",1299,1110,2409,0.539227895392279,0.000127015730287303,0.000292521075813182
"MTHFSD",13,19,32,0.40625,0.377085587475449,0.454896899176732
"MVD",229,201,430,0.532558139534884,0.192837562267979,0.251545047124888
