"gene","Tissue","alt_allele_count","ref_allele_count","total_count","inv_allele_ratio","ref_allele_ratio","pvalue","padjust"
"ACSF3","Nucleus taeniae of the amygdala and arcopallium",1283,902,2185,0.587,0.413,3.64552206548508e-16,1.82276103274254e-15
"ANKRD11","Nucleus taeniae of the amygdala and arcopallium",11293,11479,22772,0.496,0.504,0.220218360229969,0.275272950287461
"APRT","Nucleus taeniae of the amygdala and arcopallium",4769,2679,7448,0.64,0.36,3.66212576887022e-131,1.09863773066107e-129
"ARY1","Nucleus taeniae of the amygdala and arcopallium",151,216,367,0.411,0.589,0.0008123100372005,0.00149199802751112
"ARY2","Nucleus taeniae of the amygdala and arcopallium",246,352,598,0.411,0.589,1.67499086508963e-05,4.07430210427207e-05
"ARYL","Nucleus taeniae of the amygdala and arcopallium",7,9,16,0.438,0.562,0.803619384765625,0.847621101891899
"ATMIN","Nucleus taeniae of the amygdala and arcopallium",2901,2565,5466,0.531,0.469,5.82849003392139e-06,1.45712250848035e-05
"ATP2C2","Nucleus taeniae of the amygdala and arcopallium",120,72,192,0.625,0.375,0.00065503034980235,0.00122818190587941
"BANP","Nucleus taeniae of the amygdala and arcopallium",125,103,228,0.548,0.452,0.164154891868287,0.21105628954494
"BCO1","Nucleus taeniae of the amygdala and arcopallium",63,192,255,0.247,0.753,2.4301190660653e-16,1.28653362321104e-15
"CA5A","Nucleus taeniae of the amygdala and arcopallium",3512,4591,8103,0.433,0.567,3.85652934684644e-33,3.4708764121618e-32
"CBFA2T3","Nucleus taeniae of the amygdala and arcopallium",427,175,602,0.709,0.291,2.84534984453305e-25,1.70720990671983e-24
"CDH13","Nucleus taeniae of the amygdala and arcopallium",71,48,119,0.597,0.403,0.0432682625746088,0.0618118036780125
"CDH15","Nucleus taeniae of the amygdala and arcopallium",22,26,48,0.458,0.542,0.665465812076621,0.712999084367809
"CDK10","Nucleus taeniae of the amygdala and arcopallium",3803,1803,5606,0.678,0.322,1.70319332017191e-160,7.6643699407736e-159
"CDT1","Nucleus taeniae of the amygdala and arcopallium",200,312,512,0.391,0.609,8.4667627518193e-07,2.24120190489334e-06
"CENPN","Nucleus taeniae of the amygdala and arcopallium",24,54,78,0.308,0.692,0.000901003520521941,0.00159000621268578
"CHMP1A","Nucleus taeniae of the amygdala and arcopallium",5757,4302,10059,0.572,0.428,8.7130716770494e-48,8.7130716770494e-47
"CHTF8","Nucleus taeniae of the amygdala and arcopallium",175,235,410,0.427,0.573,0.0035197827607463,0.00546173187012357
"CMIP","Nucleus taeniae of the amygdala and arcopallium",3085,2269,5354,0.576,0.424,6.41344584143832e-29,4.12292946949606e-28
"COG8","Nucleus taeniae of the amygdala and arcopallium",859,737,1596,0.538,0.462,0.00244486053157558,0.00386030610248776
"COTL1","Nucleus taeniae of the amygdala and arcopallium",6667,5843,12510,0.533,0.467,1.82808567474719e-13,7.47853230578397e-13
"COX4I1","Nucleus taeniae of the amygdala and arcopallium",3504,4003,7507,0.467,0.533,8.93626413875725e-09,3.09332220187751e-08
"CPNE7","Nucleus taeniae of the amygdala and arcopallium",18200,19842,38042,0.478,0.522,3.93595513424422e-17,2.21397476301237e-16
"CRISPLD2","Nucleus taeniae of the amygdala and arcopallium",35,199,234,0.15,0.85,4.87842915845968e-29,3.37737403277978e-28
"CTU2","Nucleus taeniae of the amygdala and arcopallium",857,794,1651,0.519,0.481,0.127016221993786,0.170618805663294
"CYB5B","Nucleus taeniae of the amygdala and arcopallium",1745,1326,3071,0.568,0.432,4.20849155429008e-14,1.80363923755289e-13
"CYBA","Nucleus taeniae of the amygdala and arcopallium",207,834,1041,0.199,0.801,1.12459064196825e-89,2.02426315554286e-88
"DBNDD1","Nucleus taeniae of the amygdala and arcopallium",106,94,200,0.53,0.47,0.436753489551329,0.491347675745245
"DPEP1","Nucleus taeniae of the amygdala and arcopallium",92,22,114,0.807,0.193,2.28318634993697e-11,8.56194881226366e-11
"DUSP15","Nucleus taeniae of the amygdala and arcopallium",2,3,5,0.4,0.6,1,1
"EMC8","Nucleus taeniae of the amygdala and arcopallium",1370,1206,2576,0.532,0.468,0.00131576464011918,0.0021929410668653
"FANCA","Nucleus taeniae of the amygdala and arcopallium",36,33,69,0.522,0.478,0.809949052918925,0.847621101891899
"FBXO31","Nucleus taeniae of the amygdala and arcopallium",171,187,358,0.478,0.522,0.427949519030053,0.487537426743098
"FOXC2","Nucleus taeniae of the amygdala and arcopallium",120,76,196,0.612,0.388,0.00205176774116751,0.0032974838697335
"GALNS","Nucleus taeniae of the amygdala and arcopallium",922,900,1822,0.506,0.494,0.622747425846214,0.675268293086256
"GAN","Nucleus taeniae of the amygdala and arcopallium",414,268,682,0.607,0.393,2.50516421627512e-08,8.0523135523129e-08
"GAS8","Nucleus taeniae of the amygdala and arcopallium",369,326,695,0.531,0.469,0.111060462685272,0.151446085479916
"GINS2","Nucleus taeniae of the amygdala and arcopallium",75,387,462,0.162,0.838,1.0239286053083e-51,1.15191968097184e-50
"GSE1","Nucleus taeniae of the amygdala and arcopallium",562,449,1011,0.556,0.444,0.000422273643919643,0.000808609105378039
