"gene","Tissue","alt_allele_count","ref_allele_count","total_count","inv_allele_ratio","ref_allele_ratio","pvalue","padjust"
"ACSF3","Adrenal glands",1767,1793,3560,0.496,0.504,0.675221349175056,0.705913228683013
"ANKRD11","Adrenal glands",5348,5152,10500,0.509,0.491,0.0570347078701324,0.0783163152843609
"APRT","Adrenal glands",6044,3677,9721,0.622,0.378,1.61933366578634e-128,2.48297828753906e-127
"ARY1","Adrenal glands",140,214,354,0.395,0.605,9.90353264394443e-05,0.000185943878212834
"ARY2","Adrenal glands",2123,1351,3474,0.611,0.389,2.06664989435038e-39,1.11842229576609e-38
"ARYL","Adrenal glands",17,13,30,0.567,0.433,0.584664711728693,0.618266131942986
"ATMIN","Adrenal glands",2129,2310,4439,0.48,0.52,0.00689289606688377,0.011529935239151
"ATP2C2","Adrenal glands",71,83,154,0.461,0.539,0.375456888173179,0.411214687046815
"BANP","Adrenal glands",330,206,536,0.616,0.384,9.51668808965707e-08,2.08460786725821e-07
"BCO1","Adrenal glands",1643,2055,3698,0.444,0.556,1.32885805044393e-11,3.3959705733567e-11
"CA5A","Adrenal glands",8502,10402,18904,0.45,0.55,1.84348982937718e-43,1.21143617359072e-42
"CBFA2T3","Adrenal glands",529,274,803,0.659,0.341,1.56566880900221e-19,6.00173043450848e-19
"CDH13","Adrenal glands",287,495,782,0.367,0.633,9.63221174011917e-14,2.76926087528426e-13
"CDH15","Adrenal glands",20,13,33,0.606,0.394,0.296206368599087,0.332329096477024
"CDK10","Adrenal glands",2845,1399,4244,0.67,0.33,3.57710511706155e-111,4.70133815385233e-110
"CDT1","Adrenal glands",647,751,1398,0.463,0.537,0.00585410616719317,0.00997366235892169
"CENPN","Adrenal glands",111,88,199,0.558,0.442,0.118647825969552,0.147508107962145
"CHMP1A","Adrenal glands",7639,6055,13694,0.558,0.442,8.77530580244899e-42,5.04580083640817e-41
"CHTF8","Adrenal glands",428,676,1104,0.388,0.612,8.34023210485617e-14,2.47516565692506e-13
"CIDEC","Adrenal glands",60,89,149,0.403,0.597,0.0214833507777223,0.0334994622296687
"CMIP","Adrenal glands",1947,547,2494,0.781,0.219,5.57182708282663e-183,1.7086936387335e-181
"COG8","Adrenal glands",1877,1327,3204,0.586,0.414,2.41272227425397e-22,1.05700213919698e-21
"COTL1","Adrenal glands",3260,3864,7124,0.458,0.542,8.77814192614934e-13,2.44723956729012e-12
"COX4I1","Adrenal glands",4009,3897,7906,0.507,0.493,0.211891585347246,0.253169166908398
"CPNE7","Adrenal glands",10,18,28,0.357,0.643,0.184933342039585,0.223866677205814
