"gene","Tissue","alt_allele_count","ref_allele_count","total_count","inv_allele_ratio","ref_allele_ratio","pvalue","padjust"
"ACSF3","Gonads",1886,1694,3580,0.527,0.473,0.00140853407370273,0.00215975224634419
"ANKRD11","Gonads",1157,1159,2316,0.5,0.5,0.98342231419832,1
"APRT","Gonads",4416,4838,9254,0.477,0.523,1.20258127018039e-05,2.12764378570376e-05
"ARY1","Gonads",177,245,422,0.419,0.581,0.00108397395083644,0.00169026446571106
"ARY2","Gonads",87,1488,1575,0.055,0.945,0,0
"ARYL","Gonads",26,32,58,0.448,0.552,0.51184230843817,0.574262102150142
"ATMIN","Gonads",3409,4382,7791,0.438,0.562,2.85259608922815e-28,9.7199570447774e-28
"ATP2C2","Gonads",76,26,102,0.745,0.255,7.43904829605366e-07,1.42581759007695e-06
"BANP","Gonads",187,152,339,0.552,0.448,0.0646424050838238,0.0825986287182193
"BCO1","Gonads",1935,2567,4502,0.43,0.57,4.52667282655094e-21,1.22486441189025e-20
"CA5A","Gonads",4716,3760,8476,0.556,0.444,2.9320860449567e-25,9.30179021158678e-25
"CBFA2T3","Gonads",21,16,37,0.568,0.432,0.511375781585229,0.574262102150142
"CDH13","Gonads",100,101,201,0.498,0.502,1,1
"CDH15","Gonads",34,30,64,0.531,0.469,0.707980754134766,0.7662850515341
"CDK10","Gonads",6896,4491,11387,0.606,0.394,3.21021062434669e-113,2.27184136492228e-112
"CDT1","Gonads",2016,2577,4593,0.439,0.561,1.30432818931787e-16,3.24319441668227e-16
"CENPN","Gonads",17808,4260,22068,0.807,0.193,4.94065645841247e-324,1.13635098543487e-322
"CHMP1A","Gonads",13718,11855,25573,0.536,0.464,2.32828285020797e-31,8.23853931612052e-31
"CHTF8","Gonads",3916,5500,9416,0.416,0.584,4.19601001108126e-60,1.93016460509738e-59
"CIDEC","Gonads",124,228,352,0.352,0.648,3.22032961327491e-08,6.89000754468119e-08
"CMIP","Gonads",1159,1280,2439,0.475,0.525,0.0150890598773969,0.0210332349806138
"COG8","Gonads",1728,1178,2906,0.595,0.405,1.70697355699073e-24,4.90754897634835e-24
"COTL1","Gonads",542,407,949,0.571,0.429,1.32026555764816e-05,2.29178172271001e-05
"COX4I1","Gonads",6122,6346,12468,0.491,0.509,0.0458066648516562,0.0598630565573686
"CPNE7","Gonads",195,282,477,0.409,0.591,7.8883547834915e-05,0.000127320814049336
"CRISPLD2","Gonads",86,813,899,0.096,0.904,3.451693384938e-149,3.52839768238107e-148
"CTU2","Gonads",1125,960,2085,0.54,0.46,0.000326471613718619,0.000517851525208843
"CYB5B","Gonads",7244,4907,12151,0.596,0.404,2.7947545943645e-100,1.83655301915381e-99
"CYBA","Gonads",1519,3258,4777,0.318,0.682,9.76954230355973e-143,8.17088992661359e-142
"DBNDD1","Gonads",443,358,801,0.553,0.447,0.00297397933329841,0.00441300159134603
"DPEP1","Gonads",1287,324,1611,0.799,0.201,1.11783675122747e-135,8.57008175941062e-135
"EMC8","Gonads",2443,1915,4358,0.561,0.439,1.32076832778131e-15,3.19764963568106e-15
