"gene","Tissue","alt_allele_count","ref_allele_count","total_count","inv_allele_ratio","ref_allele_ratio","pvalue","padjust"
"ACSF3","Hypothalamus",1193,995,2188,0.545,0.455,2.50611264718216e-05,5.5012228840584e-05
"ANKRD11","Hypothalamus",7725,7417,15142,0.51,0.49,0.0125980190085539,0.0207368410128789
"APRT","Hypothalamus",4624,2808,7432,0.622,0.378,2.22375567148962e-99,6.67126701446887e-98
"ARY1","Hypothalamus",128,230,358,0.358,0.642,7.73501214309855e-08,2.40052100992714e-07
"ARY2","Hypothalamus",816,1384,2200,0.371,0.629,5.2930050221991e-34,3.40264608569942e-33
"ARYL","Hypothalamus",8,6,14,0.571,0.429,0.79052734375,0.837028952205882
"ATMIN","Hypothalamus",3050,2341,5391,0.566,0.434,4.61380979517837e-22,2.30690489758919e-21
"ATP2C2","Hypothalamus",59,44,103,0.573,0.427,0.167444334412059,0.218405653580946
"BANP","Hypothalamus",172,110,282,0.61,0.39,0.000266547380546335,0.000521505744547177
"BCO1","Hypothalamus",150,340,490,0.306,0.694,5.21290867252289e-18,2.03983382837852e-17
"CA5A","Hypothalamus",5356,6476,11832,0.453,0.547,7.42887839925531e-25,4.17874409958111e-24
"CBFA2T3","Hypothalamus",300,164,464,0.647,0.353,2.76025601119918e-10,9.55473234645871e-10
"CDH13","Hypothalamus",156,125,281,0.555,0.445,0.0733218737647505,0.106434978045606
"CDH15","Hypothalamus",24,20,44,0.545,0.455,0.651587827208916,0.706541017455451
"CDK10","Hypothalamus",3354,1545,4899,0.685,0.315,1.30265533764931e-150,5.86194901942191e-149
"CDT1","Hypothalamus",333,416,749,0.445,0.555,0.00270969176165431,0.00478180899115466
"CENPN","Hypothalamus",31,55,86,0.36,0.64,0.0126725139523149,0.0207368410128789
"CHMP1A","Hypothalamus",6111,4823,10934,0.559,0.441,6.87655693831161e-35,4.76069326498496e-34
"CHTF8","Hypothalamus",257,348,605,0.425,0.575,0.000247034969286001,0.000494069938572002
"CMIP","Hypothalamus",3214,2237,5451,0.59,0.41,4.22540065349399e-40,3.80286058814459e-39
"COG8","Hypothalamus",1050,872,1922,0.546,0.454,5.34425070415721e-05,0.000114519657946226
"COTL1","Hypothalamus",6028,4954,10982,0.549,0.451,1.21909681602162e-24,6.45404196717331e-24
"COX4I1","Hypothalamus",3493,3861,7354,0.475,0.525,1.86514930641578e-05,4.1965859394355e-05
"CPNE7","Hypothalamus",1268,2249,3517,0.361,0.639,3.91606819814757e-62,4.40557672291601e-61
"CRISPLD2","Hypothalamus",27,150,177,0.153,0.847,7.14423134223496e-22,3.38410958316393e-21
"CTU2","Hypothalamus",905,872,1777,0.509,0.491,0.44779417553284,0.516685587153277
"CYB5B","Hypothalamus",1600,1461,3061,0.523,0.477,0.0126082296646669,0.0207368410128789
"CYBA","Hypothalamus",321,1058,1379,0.233,0.767,5.098257571448e-92,9.17686362860639e-91
"DBNDD1","Hypothalamus",156,134,290,0.538,0.462,0.217446776076568,0.27180847009571
"DPEP1","Hypothalamus",24,6,30,0.8,0.2,0.00143090635538102,0.00257563143968583
"DUSP15","Hypothalamus",0,4,4,0,1,0.125,0.167910447761194
"EMC8","Hypothalamus",1058,1043,2101,0.504,0.496,0.760045270588405,0.814334218487577
"FANCA","Hypothalamus",41,32,73,0.562,0.438,0.34918183817059,0.419018205804708
"FBXO31","Hypothalamus",163,173,336,0.485,0.515,0.62349908201445,0.684328260747567
"FOXC2","Hypothalamus",22,23,45,0.489,0.511,1,1
"GALNS","Hypothalamus",1136,1134,2270,0.5,0.5,0.983255225508446,1
"GAN","Hypothalamus",344,220,564,0.61,0.39,1.9999254226099e-07,5.99977626782971e-07
"GAS8","Hypothalamus",511,564,1075,0.475,0.525,0.112700419031348,0.153682389588202
"GINS2","Hypothalamus",105,420,525,0.2,0.8,1.30851765807076e-45,1.30851765807076e-44
"GSE1","Hypothalamus",561,483,1044,0.537,0.463,0.0171264470736452,0.0275246470826441
"HAS3","Hypothalamus",43,33,76,0.566,0.434,0.301872490487009,0.367142218159876
"HSBP1","Hypothalamus",10905,13870,24775,0.44,0.56,2.75416527109771e-79,3.54106963426848e-78
"HSD17B2","Hypothalamus",124,1,125,0.992,0.008,5.92449152814433e-36,4.44336864610825e-35
"IRF8","Hypothalamus",466,529,995,0.468,0.532,0.0492981497525063,0.0739472246287594
"JPH3","Hypothalamus",1186,957,2143,0.553,0.447,8.23680285448963e-07,2.24640077849717e-06
"KCNG4","Hypothalamus",28,23,51,0.549,0.451,0.575849347731847,0.639832608590942
"KIAA0513","Hypothalamus",1155,922,2077,0.556,0.444,3.47417101360205e-07,1.00863029427156e-06
"KLHDC4","Hypothalamus",527,883,1410,0.374,0.626,2.00788368843136e-21,9.03547659794113e-21
"KLHL36","Hypothalamus",2495,2335,4830,0.517,0.483,0.0221377434345515,0.0349543317387654
"LOC106888094","Hypothalamus",298,163,461,0.646,0.354,3.27472914200342e-10,1.09157638066781e-09
"LOC106888097","Hypothalamus",610,433,1043,0.585,0.415,4.70004287472174e-08,1.51072806687485e-07
"LOC106888173","Hypothalamus",4611,857,5468,0.843,0.157,4.94065645841247e-324,4.44659081257122e-322
"LOC106888185","Hypothalamus",170,68,238,0.714,0.286,2.93698189789944e-11,1.0573134832438e-10
"LOC106888312","Hypothalamus",8,16,24,0.333,0.667,0.151589632034302,0.200633336515988
"LOC106888384","Hypothalamus",83,140,223,0.372,0.628,0.000164052314955096,0.000335561553317242
"MC1R","Hypothalamus",4,4,8,0.5,0.5,1,1
"MLYCD","Hypothalamus",1005,1004,2009,0.5,0.5,1,1
"MPHOSPH6","Hypothalamus",1543,1303,2846,0.542,0.458,7.3762155371686e-06,1.79421459012209e-05
"MTHFSD","Hypothalamus",315,236,551,0.572,0.428,0.000874734879011136,0.00160665590022454
"MVD","Hypothalamus",845,842,1687,0.501,0.499,0.961165339292493,1
"NIP7","Hypothalamus",3055,2709,5764,0.53,0.47,5.48078116818327e-06,1.37019529204582e-05
"PIEZO1","Hypothalamus",871,696,1567,0.556,0.444,1.08317100027329e-05,2.56540500064727e-05
"PKD1L2","Hypothalamus",3,8,11,0.273,0.727,0.2265625,0.279323630136986
"PLCG2","Hypothalamus",96,124,220,0.436,0.564,0.068464031334715,0.10101250524794
"PPP1R3E","Hypothalamus",4,8,12,0.333,0.667,0.3876953125,0.459112870065789
