"gene","Tissue","alt_allele_count","ref_allele_count","total_count","inv_allele_ratio","ref_allele_ratio","pvalue","padjust"
"ACSF3","Lateral septum",1296,897,2193,0.591,0.409,1.56547559564061e-17,8.10363837743377e-17
"ANKRD11","Lateral septum",10331,10098,20429,0.506,0.494,0.104550417753012,0.146038678766112
"APRT","Lateral septum",5371,2886,8257,0.65,0.35,4.51847726320936e-167,1.98812999581212e-165
"ARY1","Lateral septum",125,212,337,0.371,0.629,2.4823461834082e-06,6.42489600411533e-06
"ARY2","Lateral septum",419,813,1232,0.34,0.66,1.39777540994101e-29,9.46186431344682e-29
"ARYL","Lateral septum",4,11,15,0.267,0.733,0.11846923828125,0.162895202636719
"ATMIN","Lateral septum",3067,2471,5538,0.554,0.446,1.21416216746437e-15,5.08791765413639e-15
"ATP2C2","Lateral septum",57,28,85,0.671,0.329,0.00219490890778059,0.00394187722213656
"BANP","Lateral septum",160,99,259,0.618,0.382,0.000181113813511576,0.000370651525326015
"BCO1","Lateral septum",126,286,412,0.306,0.694,2.11231378453152e-15,8.44925513812608e-15
"CA5A","Lateral septum",3585,4300,7885,0.455,0.545,8.54112246042542e-16,3.75809388258719e-15
"CBFA2T3","Lateral septum",159,63,222,0.716,0.284,9.30573321469433e-11,3.2756180915724e-10
"CDH13","Lateral septum",76,65,141,0.539,0.461,0.399786720173223,0.4754220456114
"CDH15","Lateral septum",10,13,23,0.435,0.565,0.677639484405518,0.727222861313239
"CDK10","Lateral septum",3741,1871,5612,0.667,0.333,5.31546927822261e-140,1.55920432161197e-138
"CDT1","Lateral septum",220,358,578,0.381,0.619,1.03527856150627e-08,2.93885527137265e-08
"CENPN","Lateral septum",45,67,112,0.402,0.598,0.0467350681939599,0.0663336451785237
"CHMP1A","Lateral septum",5997,4652,10649,0.563,0.437,7.12327828495407e-39,6.26848489075958e-38
"CHTF8","Lateral septum",493,543,1036,0.476,0.524,0.127879523004505,0.170506030672674
"CMIP","Lateral septum",3407,1988,5395,0.632,0.368,5.31466355400889e-84,7.79483987921304e-83
"COG8","Lateral septum",962,838,1800,0.534,0.466,0.00373003953533826,0.00643614664921111
"COTL1","Lateral septum",11112,8257,19369,0.574,0.426,8.66867280149057e-94,1.90710801632792e-92
"COX4I1","Lateral septum",3423,3767,7190,0.476,0.524,5.21392408850608e-05,0.000120743505207509
"CPNE7","Lateral septum",2923,3831,6754,0.433,0.567,2.12150858166261e-28,1.33351967990221e-27
"CRISPLD2","Lateral septum",25,179,204,0.123,0.877,6.91141652017895e-30,5.06837211479789e-29
"CTU2","Lateral septum",802,855,1657,0.484,0.516,0.201431000807212,0.253227543871923
"CYB5B","Lateral septum",1429,1298,2727,0.524,0.476,0.0127803981451506,0.0193909489098837
"CYBA","Lateral septum",311,867,1178,0.264,0.736,3.97057826544536e-61,4.36763609198989e-60
"DBNDD1","Lateral septum",136,114,250,0.544,0.456,0.184015107647147,0.236677303159765
"DPEP1","Lateral septum",47,5,52,0.904,0.096,1.28482291472664e-09,4.03801487485516e-09
