"gene","Tissue","alt_allele_count","ref_allele_count","total_count","inv_allele_ratio","ref_allele_ratio","pvalue","padjust"
"ACSF3","Liver",944,1076,2020,0.467,0.533,0.00354988962405816,0.00658208701127451
"ANKRD11","Liver",789,735,1524,0.518,0.482,0.174559312606225,0.221939697456486
"APRT","Liver",866,1023,1889,0.458,0.542,0.000329188237965165,0.000697565551878565
"ARY1","Liver",1002,1111,2113,0.474,0.526,0.0187778806239768,0.0273972356644907
"ARY2","Liver",313,336,649,0.482,0.518,0.38783673013252,0.460232919757257
"ARYL","Liver",103,87,190,0.542,0.458,0.276463012315803,0.341739001334813
"ATMIN","Liver",625,886,1511,0.414,0.586,2.01405986352369e-11,6.18108027081409e-11
"ATP2C2","Liver",34,26,60,0.567,0.433,0.366294006703292,0.440542791845851
"BANP","Liver",76,43,119,0.639,0.361,0.00318318444821765,0.00602773225300789
"BCO1","Liver",18741,8616,27357,0.685,0.315,4.94065645841247e-324,2.17388884170148e-322
"CA5A","Liver",7207,7596,14803,0.487,0.513,0.00142676107622263,0.00276047251703944
"CBFA2T3","Liver",22,23,45,0.489,0.511,1,1
"CDH13","Liver",4,7,11,0.364,0.636,0.548828125,0.6105712890625
"CDK10","Liver",829,372,1201,0.69,0.31,1.67731317809425e-40,1.49280872850388e-39
"CDT1","Liver",72,222,294,0.245,0.755,5.94704649607488e-19,2.41325965084602e-18
"CENPN","Liver",58,25,83,0.699,0.301,0.000378342763160778,0.000783081533053704
"CHMP1A","Liver",2537,1762,4299,0.59,0.41,2.51893760468715e-32,1.72450343705505e-31
"CHTF8","Liver",122,262,384,0.318,0.682,7.33323845853789e-13,2.51022393388413e-12
"CIDEC","Liver",3078,5610,8688,0.354,0.646,1.02832436040442e-164,2.28802170189983e-163
"CMIP","Liver",971,379,1350,0.719,0.281,3.66437698389269e-60,4.65899359380642e-59
"COG8","Liver",464,343,807,0.575,0.425,2.32027830754402e-05,5.16261923428544e-05
"COTL1","Liver",767,674,1441,0.532,0.468,0.0153398084585628,0.0227540492135348
"COX4I1","Liver",5271,5347,10618,0.496,0.504,0.466709093384564,0.539442978067873
