"gene","Tissue","alt_allele_count","ref_allele_count","total_count","inv_allele_ratio","ref_allele_ratio","pvalue","padjust"
"ACSF3","Caudal nidopallium",1363,912,2275,0.599,0.401,2.9239530051297e-21,1.6264488591034e-20
"ANKRD11","Caudal nidopallium",12199,11951,24150,0.505,0.495,0.11196395127272,0.148728233780181
"APRT","Caudal nidopallium",5243,2512,7755,0.676,0.324,1.52273039349185e-215,6.77615025103873e-214
"ARY1","Caudal nidopallium",87,157,244,0.357,0.643,8.74669702513345e-06,1.8103628726439e-05
"ARY2","Caudal nidopallium",124,209,333,0.372,0.628,3.71034420476445e-06,8.46719574933426e-06
"ARYL","Caudal nidopallium",6,7,13,0.462,0.538,1,1
"ATMIN","Caudal nidopallium",3379,2822,6201,0.545,0.455,1.60284858940168e-12,5.70614097826997e-12
"ATP2C2","Caudal nidopallium",117,57,174,0.672,0.328,6.32306063775948e-06,1.3725668213673e-05
"BANP","Caudal nidopallium",146,118,264,0.553,0.447,0.0963804449739095,0.129967569737545
"BCO1","Caudal nidopallium",60,146,206,0.291,0.709,1.86252467129249e-09,5.92016770517971e-09
"CA5A","Caudal nidopallium",2688,3572,6260,0.429,0.571,5.18274650635047e-29,3.84387032554327e-28
"CBFA2T3","Caudal nidopallium",439,183,622,0.706,0.294,3.19523168229867e-25,2.03125442660415e-24
"CDH13","Caudal nidopallium",63,50,113,0.558,0.442,0.258862000165316,0.32448898612272
"CDH15","Caudal nidopallium",12,18,30,0.4,0.6,0.361594608053565,0.440848220777634
"CDK10","Caudal nidopallium",3773,1855,5628,0.67,0.33,6.70966169683918e-147,1.99053297006229e-145
"CDT1","Caudal nidopallium",280,395,675,0.415,0.585,1.09326758489795e-05,2.21138216036177e-05
"CENPN","Caudal nidopallium",22,49,71,0.31,0.69,0.00182040493561128,0.00300029702350749
"CHMP1A","Caudal nidopallium",5854,4424,10278,0.57,0.43,2.93527182780334e-45,2.61239192674498e-44
"CHTF8","Caudal nidopallium",131,234,365,0.359,0.641,7.72507800765044e-08,1.90981095189136e-07
"CMIP","Caudal nidopallium",2162,1945,4107,0.526,0.474,0.000748451794711418,0.00128100403325608
"COG8","Caudal nidopallium",969,809,1778,0.545,0.455,0.000161216498569335,0.000298922257763976
"COTL1","Caudal nidopallium",4463,3841,8304,0.537,0.463,9.24243125295024e-12,3.16375531350989e-11
"COX4I1","Caudal nidopallium",3659,3989,7648,0.478,0.522,0.000168178268290707,0.000305466650568836
"CPNE7","Caudal nidopallium",3111,4642,7753,0.401,0.599,4.61261061944767e-68,8.21044690261686e-67
"CRISPLD2","Caudal nidopallium",27,227,254,0.106,0.894,1.46277912468135e-40,1.18352129178764e-39
"CTU2","Caudal nidopallium",885,907,1792,0.494,0.506,0.619851402153514,0.681071293724231
"CYB5B","Caudal nidopallium",1591,1185,2776,0.573,0.427,1.35744633238855e-14,5.49148743557186e-14
"CYBA","Caudal nidopallium",250,702,952,0.263,0.737,2.67469864578742e-50,2.97560224343851e-49
"DBNDD1","Caudal nidopallium",83,68,151,0.55,0.45,0.25450029334259,0.323578944392722
"DPEP1","Caudal nidopallium",18,6,24,0.75,0.25,0.0226558446884155,0.0336061696211497
"EMC8","Caudal nidopallium",1643,1350,2993,0.549,0.451,9.218273467648e-08,2.21736848275857e-07
"FANCA","Caudal nidopallium",33,21,54,0.611,0.389,0.133674235364106,0.172420390542107
"FBXO31","Caudal nidopallium",143,161,304,0.47,0.53,0.329559012101966,0.407371556626042
"FOXC2","Caudal nidopallium",37,43,80,0.462,0.537,0.576430626188395,0.648734521615559
"GALNS","Caudal nidopallium",781,757,1538,0.508,0.492,0.557570233633067,0.636201933247987
"GAN","Caudal nidopallium",400,257,657,0.609,0.391,2.67969721721414e-08,7.0438604475508e-08
"GAS8","Caudal nidopallium",347,357,704,0.493,0.507,0.734485699099933,0.787581050842097
"GINS2","Caudal nidopallium",95,415,510,0.186,0.814,1.07481771377955e-48,1.06287529473756e-47
"GSE1","Caudal nidopallium",665,533,1198,0.555,0.445,0.000151667706826154,0.000287200551223994
"HAS3","Caudal nidopallium",53,34,87,0.609,0.391,0.0530031130109623,0.074877413618661
"HSBP1","Caudal nidopallium",12526,15017,27543,0.455,0.545,5.96829172149871e-51,7.58825661733408e-50
"HSD17B2","Caudal nidopallium",73,5,78,0.936,0.064,1.49664587408412e-16,6.34292775207079e-16
"IRF8","Caudal nidopallium",327,350,677,0.483,0.517,0.397832402994344,0.47637771766374
"JPH3","Caudal nidopallium",2638,2230,4868,0.542,0.458,5.325405831825e-09,1.57987039677475e-08
"KCNG4","Caudal nidopallium",9,10,19,0.474,0.526,1,1
"KIAA0513","Caudal nidopallium",1095,785,1880,0.582,0.418,9.16909169222072e-13,3.40020483586518e-12
"KLHDC4","Caudal nidopallium",529,911,1440,0.367,0.633,5.53909166510392e-24,3.28652772129499e-23
"KLHL36","Caudal nidopallium",3266,2831,6097,0.536,0.464,2.69091297996323e-08,7.0438604475508e-08
"LOC106888094","Caudal nidopallium",183,125,308,0.594,0.406,0.00112845859130573,0.00189495876653226
"LOC106888097","Caudal nidopallium",465,357,822,0.566,0.434,0.000186247376362066,0.000331520329924478
"LOC106888173","Caudal nidopallium",1291,117,1408,0.917,0.083,1.3376355246479e-250,1.19049561693663e-248
"LOC106888185","Caudal nidopallium",120,58,178,0.674,0.326,3.89940581147927e-06,8.67617793054138e-06
"LOC106888312","Caudal nidopallium",28,22,50,0.56,0.44,0.479887661698328,0.561973709094095
"LOC106888384","Caudal nidopallium",24,29,53,0.453,0.547,0.583132154261177,0.648734521615559
"MC1R","Caudal nidopallium",7,7,14,0.5,0.5,1,1
"MLYCD","Caudal nidopallium",852,888,1740,0.49,0.51,0.401441896907646,0.47637771766374
"MPHOSPH6","Caudal nidopallium",1460,1347,2807,0.52,0.48,0.0345000627493597,0.0499438900421852
"MTHFSD","Caudal nidopallium",341,210,551,0.619,0.381,2.643363817545e-08,7.0438604475508e-08
"MVD","Caudal nidopallium",794,1120,1914,0.415,0.585,9.59194848367969e-14,3.71166702194562e-13
"NIP7","Caudal nidopallium",3791,3396,7187,0.527,0.473,3.34125301346526e-06,7.82556626837916e-06
"PIEZO1","Caudal nidopallium",571,593,1164,0.491,0.509,0.538228877595614,0.62210870267545
"PKD1L2","Caudal nidopallium",1,10,11,0.091,0.909,0.01171875,0.017677436440678
"PLCG2","Caudal nidopallium",39,69,108,0.361,0.639,0.00502351833348272,0.00784373915228004
"PPP1R3E","Caudal nidopallium",4,11,15,0.267,0.733,0.11846923828125,0.155055326573989
"RNF166","Caudal nidopallium",804,663,1467,0.548,0.452,0.000254398966726939,0.000443951138013678
"RPL13","Caudal nidopallium",3419,3184,6603,0.518,0.482,0.0039773617113043,0.00632116414832291
"SDR42E1","Caudal nidopallium",116,43,159,0.73,0.27,6.1585937089594e-09,1.76811238741093e-08
"SLC22A31","Caudal nidopallium",505,318,823,0.614,0.386,7.46510208445255e-11,2.46071883524547e-10
"SLC7A5","Caudal nidopallium",8493,6611,15104,0.562,0.438,5.19415336706977e-53,7.70466082782016e-52
"SNTB2","Caudal nidopallium",136,140,276,0.493,0.507,0.856739838936579,0.907736257920899
"SPATA2L","Caudal nidopallium",8066,5990,14056,0.574,0.426,7.89445071804656e-69,1.75651528476536e-67
"SPG7","Caudal nidopallium",4665,4920,9585,0.487,0.513,0.00947193510661846,0.01453452111188
"SPIRE2","Caudal nidopallium",5257,6239,11496,0.457,0.543,5.43760697512074e-20,2.84674718109262e-19
"TANGO6","Caudal nidopallium",1022,1168,2190,0.467,0.533,0.00193863311747263,0.00313706086281934
"TCF25","Caudal nidopallium",432,574,1006,0.429,0.571,8.48945455504355e-06,1.7989558461878e-05
"TERF2","Caudal nidopallium",1900,1397,3297,0.576,0.424,1.9614789602906e-18,9.69842374810353e-18
"TLDC1","Caudal nidopallium",1100,1019,2119,0.519,0.481,0.0822042915125521,0.112556645301802
"TRAPPC2L","Caudal nidopallium",660,1128,1788,0.369,0.631,1.14670665643865e-28,7.85053018638767e-28
"USP10","Caudal nidopallium",251,211,462,0.543,0.457,0.0694938549559591,0.0966398920481306
"UTP4","Caudal nidopallium",1200,818,2018,0.595,0.405,1.79252604808096e-17,8.39656938311608e-17
"VPS4A","Caudal nidopallium",8256,7986,16242,0.508,0.492,0.0347923728383762,0.0499438900421852
"VPS9D1","Caudal nidopallium",2249,1728,3977,0.566,0.434,1.48993616162109e-16,6.34292775207079e-16
"WFDC1","Caudal nidopallium",141,63,204,0.691,0.309,4.86117668196375e-08,1.23612778484221e-07
"ZC3H18","Caudal nidopallium",540,361,901,0.599,0.401,2.69707034193454e-09,8.27721587697151e-09
"ZCCHC14","Caudal nidopallium",900,1081,1981,0.454,0.546,5.19229728909738e-05,0.000100459664941232
"ZDHHC7","Caudal nidopallium",241,237,478,0.504,0.496,0.890878035873395,0.928159839673925
"ZFPM1","Caudal nidopallium",407,537,944,0.431,0.569,2.6131616696138e-05,5.16825307990285e-05
"ZNF276","Caudal nidopallium",747,741,1488,0.502,0.498,0.896873552943343,0.928159839673925
"ZNF469","Caudal nidopallium",9,12,21,0.429,0.571,0.663623809814453,0.720274622847395
