"gene","Tissue","alt_allele_count","ref_allele_count","total_count","inv_allele_ratio","ref_allele_ratio","pvalue","padjust"
"ACSF3","Pre-optic area",1231,981,2212,0.557,0.443,1.1599663917185e-07,2.93213726795509e-07
"ANKRD11","Pre-optic area",8623,8776,17399,0.496,0.504,0.249179763771674,0.323933692903176
"APRT","Pre-optic area",4792,2875,7667,0.625,0.375,3.00581620503442e-107,6.83823186645331e-106
"ARY1","Pre-optic area",104,199,303,0.343,0.657,5.22396177031298e-08,1.39817800323083e-07
"ARY2","Pre-optic area",779,1440,2219,0.351,0.649,2.9817506457903e-45,2.71339308766917e-44
"ARYL","Pre-optic area",5,9,14,0.357,0.643,0.4239501953125,0.521344159100507
"ATMIN","Pre-optic area",3374,2657,6031,0.559,0.441,2.69398061866993e-20,1.29027492788928e-19
"ATP2C2","Pre-optic area",72,36,108,0.667,0.333,0.000684230221933005,0.00127071326930415
"BANP","Pre-optic area",167,103,270,0.619,0.381,0.000117830271808092,0.000238278994100808
"BCO1","Pre-optic area",160,302,462,0.346,0.654,3.80693656361429e-11,1.23725438317464e-10
"CA5A","Pre-optic area",4849,5881,10730,0.452,0.548,2.26426908271251e-23,1.28780304079274e-22
"CBFA2T3","Pre-optic area",412,187,599,0.688,0.312,1.97848063483819e-20,1.00023187650153e-19
"CDH13","Pre-optic area",152,205,357,0.426,0.574,0.00584438322839058,0.00916963575488866
"CDH15","Pre-optic area",11,10,21,0.524,0.476,1,1
"CDK10","Pre-optic area",3318,1530,4848,0.684,0.316,1.06758273908979e-148,4.85750146285852e-147
"CDT1","Pre-optic area",272,397,669,0.407,0.593,1.5289758501207e-06,3.76045411786443e-06
"CENPN","Pre-optic area",21,62,83,0.253,0.747,7.50533232462067e-06,1.75124420907816e-05
"CHMP1A","Pre-optic area",6452,5052,11504,0.561,0.439,5.60655276266309e-39,4.63814819456674e-38
"CHTF8","Pre-optic area",363,409,772,0.47,0.53,0.105260358401581,0.149667072102247
"CMIP","Pre-optic area",3125,2069,5194,0.602,0.398,7.52472700412801e-49,7.60833508195166e-48
"COG8","Pre-optic area",1076,939,2015,0.534,0.466,0.00243956233696297,0.0042692340896852
"COTL1","Pre-optic area",6954,5676,12630,0.551,0.449,5.7294535493452e-30,3.72414480707438e-29
"COX4I1","Pre-optic area",3298,3572,6870,0.48,0.52,0.000987389432501961,0.00179704876715357
"CPNE7","Pre-optic area",1643,2959,4602,0.357,0.643,7.42808653197656e-85,1.12659312401644e-83
"CRISPLD2","Pre-optic area",29,200,229,0.127,0.873,1.30912019169664e-32,9.16384134187645e-32
"CTU2","Pre-optic area",813,847,1660,0.49,0.51,0.417975164621158,0.5210375339798
"CYB5B","Pre-optic area",1638,1459,3097,0.529,0.471,0.00137753233468259,0.0024579498520807
"CYBA","Pre-optic area",439,1313,1752,0.251,0.749,5.79688434855865e-101,1.05503295143767e-99
"DBNDD1","Pre-optic area",131,112,243,0.539,0.461,0.248159748220079,0.323933692903176
"DPEP1","Pre-optic area",64,6,70,0.914,0.086,2.44272646814785e-13,8.54954263851748e-13
"DUSP15","Pre-optic area",3,5,8,0.375,0.625,0.7265625,0.82646484375
"EMC8","Pre-optic area",1171,1126,2297,0.51,0.49,0.358588973273194,0.459599951660009
"FANCA","Pre-optic area",37,21,58,0.638,0.362,0.0479403240716672,0.069247134770186
"FBXO31","Pre-optic area",182,197,379,0.48,0.52,0.472107191120229,0.572823391892545
"FOXC2","Pre-optic area",258,179,437,0.59,0.41,0.000183619689956765,0.000363247647523166
"FOXF1","Pre-optic area",2,3,5,0.4,0.6,1,1
"GALNS","Pre-optic area",1002,1074,2076,0.483,0.517,0.119146419290871,0.166804987007219
"GAN","Pre-optic area",382,239,621,0.615,0.385,1.04785984066083e-08,2.8895528939435e-08
"GAS8","Pre-optic area",462,471,933,0.495,0.505,0.793409011637409,0.880490488524442
"GINS2","Pre-optic area",130,427,557,0.233,0.767,6.62360775988701e-38,5.02290255124765e-37
"GSE1","Pre-optic area",770,624,1394,0.552,0.448,0.00010153203842277,0.000209986715828911
"HAS3","Pre-optic area",31,32,63,0.492,0.508,1,1
"HSBP1","Pre-optic area",13329,16112,29441,0.453,0.547,3.31861903155927e-59,4.31420474102705e-58
"HSD17B2","Pre-optic area",32,1,33,0.97,0.03,7.91624188423158e-09,2.25118128582835e-08
"IRF8","Pre-optic area",409,419,828,0.494,0.506,0.754475796908049,0.847620957020153
"JPH3","Pre-optic area",1367,1079,2446,0.559,0.441,6.26570743185729e-09,1.83928831064198e-08
