"gene","Tissue","alt_allele_count","ref_allele_count","total_count","inv_allele_ratio","ref_allele_ratio","pvalue","padjust"
"ACSF3","Pituitary gland",1636,1433,3069,0.533,0.467,0.000264779892869255,0.000523926170996612
"ANKRD11","Pituitary gland",4535,4603,9138,0.496,0.504,0.483374338246915,0.576330941755937
"APRT","Pituitary gland",7707,3596,11303,0.682,0.318,4.94065645841247e-324,4.59481050632359e-322
"ARY1","Pituitary gland",68,70,138,0.493,0.507,0.932202487504974,0.96327590375514
"ARY2","Pituitary gland",165,147,312,0.529,0.471,0.335840966783163,0.416442798811122
"ARYL","Pituitary gland",8,6,14,0.571,0.429,0.79052734375,0.826056662570224
"ATMIN","Pituitary gland",2482,2628,5110,0.486,0.514,0.0425070514009055,0.0670026403438002
"ATP2C2","Pituitary gland",156,192,348,0.448,0.552,0.0604726030768822,0.0907089046153232
"BANP","Pituitary gland",347,230,577,0.601,0.399,1.26648171101388e-06,2.94456997810727e-06
"BCO1","Pituitary gland",414,988,1402,0.295,0.705,2.20171879216136e-54,1.86145316064551e-53
"CA5A","Pituitary gland",7700,6707,14407,0.534,0.466,1.36360767462026e-16,5.07262054958735e-16
"CBFA2T3","Pituitary gland",294,196,490,0.6,0.4,1.10378671029883e-05,2.33300372858617e-05
"CDH13","Pituitary gland",23,84,107,0.215,0.785,2.40202826734327e-09,6.98089465196636e-09
"CDH15","Pituitary gland",2,3,5,0.4,0.6,1,1
"CDK10","Pituitary gland",2792,1568,4360,0.64,0.36,1.34931551885613e-77,1.56857929067026e-76
"CDT1","Pituitary gland",641,657,1298,0.494,0.506,0.677173364716522,0.740907328454548
"CENPN","Pituitary gland",79,85,164,0.482,0.518,0.696340969289295,0.753019885394238
"CHMP1A","Pituitary gland",10535,8343,18878,0.558,0.442,2.26278531218579e-57,2.10439034033278e-56
"CHTF8","Pituitary gland",821,1230,2051,0.4,0.6,1.58423405934914e-19,6.40581597910741e-19
"CIDEC","Pituitary gland",3,38,41,0.073,0.927,1.04791979538277e-08,2.8663688520764e-08
"CMIP","Pituitary gland",2562,1291,3853,0.665,0.335,9.29626037733775e-95,1.72910443018482e-93
"COG8","Pituitary gland",1939,1746,3685,0.526,0.474,0.0015587206889681,0.00295838824640885
"COTL1","Pituitary gland",2620,2586,5206,0.503,0.497,0.647413688141281,0.716779440442132
"COX4I1","Pituitary gland",3821,3922,7743,0.493,0.507,0.255772221596879,0.339811665835854
"CPNE7","Pituitary gland",9,315,324,0.028,0.972,5.83817914973832e-81,9.04917768209439e-80
"CRISPLD2","Pituitary gland",25,132,157,0.159,0.841,9.09456093949587e-19,3.52414236405465e-18
"CTU2","Pituitary gland",1277,1678,2955,0.432,0.568,1.71313521777042e-13,5.69005625902318e-13
"CYB5B","Pituitary gland",4379,2782,7161,0.612,0.388,5.39441181710523e-80,7.16686141415409e-79
"CYBA","Pituitary gland",1385,3709,5094,0.272,0.728,4.29339313192568e-241,1.99642780634544e-239
"DBNDD1","Pituitary gland",59,51,110,0.536,0.464,0.504684807587991,0.594122621590926
"DPEP1","Pituitary gland",570,36,606,0.941,0.059,1.10402363400387e-124,2.56685494905899e-123
"DUSP15","Pituitary gland",7,17,24,0.292,0.708,0.0639146566390992,0.0943502074196226
"EMC8","Pituitary gland",1001,899,1900,0.527,0.473,0.0204741533985259,0.0346199321102347
"FANCA","Pituitary gland",143,153,296,0.483,0.517,0.600969607967495,0.681587482207037
"FBXO31","Pituitary gland",514,470,984,0.522,0.478,0.17040865271685,0.240121283373743
"FOXC2","Pituitary gland",180,112,292,0.616,0.384,8.24119819069441e-05,0.000170318095941018
"FOXF1","Pituitary gland",23,20,43,0.535,0.465,0.760791642561346,0.804018440434149
"FOXL1","Pituitary gland",2,3,5,0.4,0.6,1,1
"GALNS","Pituitary gland",1678,1798,3476,0.483,0.517,0.0435342151386826,0.0674780334649581
"GAN","Pituitary gland",90,72,162,0.556,0.444,0.181489873928786,0.251918780229509
"GAS8","Pituitary gland",745,764,1509,0.494,0.506,0.643113618661217,0.716779440442132
"GINS2","Pituitary gland",436,960,1396,0.312,0.688,1.41470269809377e-45,1.01205654555939e-44
"GSE1","Pituitary gland",1399,1136,2535,0.552,0.448,1.90702871585478e-07,4.79334244795931e-07
"HAS3","Pituitary gland",5,8,13,0.385,0.615,0.5810546875,0.667136863425925
"HSBP1","Pituitary gland",11732,13682,25414,0.462,0.538,2.10462630580504e-34,1.30486830959913e-33
"HSD17B2","Pituitary gland",28,0,28,1,0,7.45058059692383e-09,2.0997090773149e-08
"IRF8","Pituitary gland",242,371,613,0.395,0.605,2.12286178172175e-07,5.19542488684533e-07
"JPH3","Pituitary gland",303,255,558,0.543,0.457,0.0465304279888624,0.0709398328354787
"KCNG4","Pituitary gland",14,6,20,0.7,0.3,0.115318298339844,0.167571902275085
"KIAA0513","Pituitary gland",2470,2091,4561,0.542,0.458,2.1411413973934e-08,5.68931857021675e-08
"KLHDC4","Pituitary gland",872,1329,2201,0.396,0.604,1.76145945235266e-22,8.19078645343985e-22
"KLHL36","Pituitary gland",2534,1814,4348,0.583,0.417,8.3913497569379e-28,4.59056192585426e-27
"LOC106888094","Pituitary gland",339,131,470,0.721,0.279,2.66186262013349e-22,1.17882487463055e-21
"LOC106888097","Pituitary gland",1897,1097,2994,0.634,0.366,7.38020705844314e-49,5.71966047029343e-48
"LOC106888173","Pituitary gland",4307,4778,9085,0.474,0.526,8.13669219741949e-07,1.94028813938465e-06
"LOC106888185","Pituitary gland",1907,1136,3043,0.627,0.373,9.60182774518701e-45,6.37835700215994e-44
"LOC106888312","Pituitary gland",38,21,59,0.644,0.356,0.0363431799570539,0.0592967672983512
