"gene","Tissue","alt_allele_count","ref_allele_count","total_count","inv_allele_ratio","ref_allele_ratio","pvalue","padjust"
"ACSF3","Raphe",1103,943,2046,0.539,0.461,0.000436810630931434,0.000764418604130009
"ANKRD11","Raphe",7789,7216,15005,0.519,0.481,3.01020800635921e-06,6.37044019950438e-06
"APRT","Raphe",3693,2493,6186,0.597,0.403,8.55161587311329e-53,1.11171006350473e-51
"ARY1","Raphe",185,290,475,0.389,0.611,1.66452180109008e-06,3.78678709747993e-06
"ARY2","Raphe",340,874,1214,0.28,0.72,1.3416199953369e-54,2.03479032626097e-53
"ARYL","Raphe",16,13,29,0.552,0.448,0.711071103811264,0.779608077672591
"ATMIN","Raphe",2468,1965,4433,0.557,0.443,4.43127803638585e-14,1.68019292212964e-13
"ATP2C2","Raphe",66,50,116,0.569,0.431,0.163423172477549,0.209457868950098
"BANP","Raphe",166,107,273,0.608,0.392,0.000427250147468147,0.000762348302345125
"BCO1","Raphe",140,390,530,0.264,0.736,2.71401643950519e-28,1.76411068567838e-27
"CA5A","Raphe",7364,8590,15954,0.462,0.538,2.92328003562814e-22,1.56481460730683e-21
"CBFA2T3","Raphe",452,230,682,0.663,0.337,1.36018667729244e-17,5.89414226826724e-17
"CDH13","Raphe",129,118,247,0.522,0.478,0.524674921906405,0.604372378398517
"CDH15","Raphe",47,44,91,0.516,0.484,0.834081039304942,0.882574122985462
"CDK10","Raphe",3337,1421,4758,0.701,0.299,1.78724033865775e-174,8.13194354089276e-173
"CDT1","Raphe",302,340,642,0.47,0.53,0.144155982208846,0.187402776871499
"CENPN","Raphe",49,107,156,0.314,0.686,3.94059621208797e-06,8.14986943863649e-06
"CHMP1A","Raphe",5485,4316,9801,0.56,0.44,3.38762717184433e-32,2.37133902029103e-31
"CHTF8","Raphe",307,305,612,0.502,0.498,0.967760600596829,0.989508029823724
"CIDEC","Raphe",5,2,7,0.714,0.286,0.453125,0.535511363636364
"CMIP","Raphe",2620,2166,4786,0.547,0.453,5.64537294816726e-11,1.83474620815436e-10
"COG8","Raphe",1062,821,1883,0.564,0.436,3.05837803524709e-08,7.95178289164243e-08
"COTL1","Raphe",5939,4989,10928,0.543,0.457,1.04877562867439e-19,5.30214345607606e-19
"COX4I1","Raphe",3855,4233,8088,0.477,0.523,2.7563978766597e-05,5.22567097450069e-05
"CPNE7","Raphe",161,387,548,0.294,0.706,1.7739804923314e-22,1.00895140501348e-21
"CRISPLD2","Raphe",21,155,176,0.119,0.881,1.94912731703801e-26,1.18247057233639e-25
"CTU2","Raphe",814,741,1555,0.523,0.477,0.067837047603889,0.0935328989689984
"CYB5B","Raphe",1658,1329,2987,0.555,0.445,1.88592609540196e-09,5.36310233379933e-09
"CYBA","Raphe",297,785,1082,0.274,0.726,2.39100613783203e-51,2.71976948178393e-50
"DBNDD1","Raphe",189,167,356,0.531,0.469,0.265683036924473,0.326718329190906
"DPEP1","Raphe",36,1,37,0.973,0.027,5.52972778677941e-10,1.67735076198975e-09
"DUSP15","Raphe",1,5,6,0.167,0.833,0.21875,0.276475694444445
"EMC8","Raphe",1001,838,1839,0.544,0.456,0.000156860316919002,0.000291312017135289
"FANCA","Raphe",70,36,106,0.66,0.34,0.00124023971439765,0.00205203298200339
"FBXO31","Raphe",170,216,386,0.44,0.56,0.0218740057642009,0.033175575409038
"FOXC2","Raphe",35,41,76,0.461,0.539,0.566573442398687,0.636995780943496
"GALNS","Raphe",1481,1496,2977,0.497,0.503,0.797500983896146,0.853795170994697
