"gene","Tissue","alt_allele_count","ref_allele_count","total_count","inv_allele_ratio","ref_allele_ratio","pvalue","padjust"
"ACSF3","Ventral tegmental area and substantia nigra",1028,914,1942,0.529,0.471,0.0103227678961382,0.0158282441074119
"ANKRD11","Ventral tegmental area and substantia nigra",8730,8074,16804,0.52,0.48,4.33903922448574e-07,1.07889623960186e-06
"APRT","Ventral tegmental area and substantia nigra",3846,2534,6380,0.603,0.397,5.87015563875888e-61,1.08010863753163e-59
"ARY1","Ventral tegmental area and substantia nigra",174,270,444,0.392,0.608,6.03580088342383e-06,1.42382995198716e-05
"ARY2","Ventral tegmental area and substantia nigra",529,1107,1636,0.323,0.677,3.89718578043824e-47,4.48176364750398e-46
"ARYL","Ventral tegmental area and substantia nigra",11,9,20,0.55,0.45,0.823802947998047,0.851571586694611
"ATMIN","Ventral tegmental area and substantia nigra",2670,1934,4604,0.58,0.42,1.88194450758424e-27,1.08211809186094e-26
"ATP2C2","Ventral tegmental area and substantia nigra",72,54,126,0.571,0.429,0.129576139286386,0.156855326504573
"BANP","Ventral tegmental area and substantia nigra",190,112,302,0.629,0.371,8.42119951702689e-06,1.93687588891619e-05
"BCO1","Ventral tegmental area and substantia nigra",163,425,588,0.277,0.723,6.46430240147123e-28,3.96477213956902e-27
"CA5A","Ventral tegmental area and substantia nigra",7868,9057,16925,0.465,0.535,6.51529571414387e-20,2.72457820773289e-19
"CBFA2T3","Ventral tegmental area and substantia nigra",493,237,730,0.675,0.325,1.46583109040404e-21,6.42173620557961e-21
"CDH13","Ventral tegmental area and substantia nigra",144,138,282,0.511,0.489,0.765958835095637,0.819397823590682
"CDH15","Ventral tegmental area and substantia nigra",24,27,51,0.471,0.529,0.779767930553075,0.824582179435436
"CDK10","Ventral tegmental area and substantia nigra",3437,1337,4774,0.72,0.28,1.01064429589267e-209,4.64896376110627e-208
"CDT1","Ventral tegmental area and substantia nigra",322,410,732,0.44,0.56,0.00128616459343201,0.00241483964481113
"CENPN","Ventral tegmental area and substantia nigra",28,53,81,0.346,0.654,0.0072755020363085,0.0115404515058687
"CHMP1A","Ventral tegmental area and substantia nigra",5897,4536,10433,0.565,0.435,1.47494914052102e-40,1.23359382661758e-39
"CHTF8","Ventral tegmental area and substantia nigra",242,293,535,0.452,0.548,0.0305466742901406,0.0425802126468626
"CIDEC","Ventral tegmental area and substantia nigra",4,0,4,1,0,0.125,0.155405405405405
"CMIP","Ventral tegmental area and substantia nigra",3079,2693,5772,0.533,0.467,3.99170226644644e-07,1.02010169031409e-06
"COG8","Ventral tegmental area and substantia nigra",1011,895,1906,0.53,0.47,0.00841844234926095,0.0131270626463052
"COTL1","Ventral tegmental area and substantia nigra",5484,4867,10351,0.53,0.47,1.39203702991293e-09,4.00210646099966e-09
"COX4I1","Ventral tegmental area and substantia nigra",3952,4469,8421,0.469,0.531,1.85827138064257e-08,4.88459905768905e-08
"CPNE7","Ventral tegmental area and substantia nigra",367,719,1086,0.338,0.662,6.14908014423482e-27,3.3277374898212e-26
"CRISPLD2","Ventral tegmental area and substantia nigra",81,383,464,0.175,0.825,5.31291835755071e-48,6.98269269849522e-47
"CTU2","Ventral tegmental area and substantia nigra",853,884,1737,0.491,0.509,0.471648710568102,0.529166846003237
"CYB5B","Ventral tegmental area and substantia nigra",1658,1428,3086,0.537,0.463,3.72245093285963e-05,8.1539401386449e-05
"CYBA","Ventral tegmental area and substantia nigra",354,829,1183,0.299,0.701,2.1810349958858e-44,2.00655219621494e-43
"DBNDD1","Ventral tegmental area and substantia nigra",198,156,354,0.559,0.441,0.0291792426863883,0.0412998511868881
"DPEP1","Ventral tegmental area and substantia nigra",44,0,44,1,0,1.13686837721616e-13,3.84815464918214e-13
"DUSP15","Ventral tegmental area and substantia nigra",5,13,18,0.278,0.722,0.09625244140625,0.122989230685764
"EMC8","Ventral tegmental area and substantia nigra",1017,929,1946,0.523,0.477,0.0485605399690547,0.0656995540757799
"FANCA","Ventral tegmental area and substantia nigra",44,39,83,0.53,0.47,0.660883647761215,0.723824947547998
"FBXO31","Ventral tegmental area and substantia nigra",190,241,431,0.441,0.559,0.0159236527327729,0.0236286459905663
"FOXC2","Ventral tegmental area and substantia nigra",168,119,287,0.585,0.415,0.00452282595167494,0.00785094316139801
"FOXF1","Ventral tegmental area and substantia nigra",2,3,5,0.4,0.6,1,1
"GALNS","Ventral tegmental area and substantia nigra",1439,1563,3002,0.479,0.521,0.0247574663687364,0.0355888579050586
"GAN","Ventral tegmental area and substantia nigra",365,219,584,0.625,0.375,1.63150945112801e-09,4.41467263246404e-09
"GAS8","Ventral tegmental area and substantia nigra",504,538,1042,0.484,0.516,0.306635320613664,0.357094297423507
"GINS2","Ventral tegmental area and substantia nigra",147,494,641,0.229,0.771,9.24581047754806e-45,9.45127293260469e-44
"GSE1","Ventral tegmental area and substantia nigra",685,569,1254,0.546,0.454,0.00115581363273199,0.00221530946273631
"HAS3","Ventral tegmental area and substantia nigra",34,34,68,0.5,0.5,1,1
"HSBP1","Ventral tegmental area and substantia nigra",9045,11256,20301,0.446,0.554,2.31020258400483e-54,3.5423106288074e-53
