"gene","Tissue","alt_allele_count","ref_allele_count","total_count","inv_allele_ratio","ref_allele_ratio","pvalue","padjust"
"ACSF3","Nucleus taeniae of the amygdala and arcopallium",735,798,1533,0.479,0.521,0.113275881037156,0.171069697892848
"ANKRD11","Nucleus taeniae of the amygdala and arcopallium",10053,9560,19613,0.513,0.487,0.000442593821198688,0.000935769793391511
"ARY1","Nucleus taeniae of the amygdala and arcopallium",151,266,417,0.362,0.638,1.9407467008442e-08,4.95225020215417e-08
"ARY2","Nucleus taeniae of the amygdala and arcopallium",241,387,628,0.384,0.616,6.18930436916631e-09,1.69632786414188e-08
"ARYL","Nucleus taeniae of the amygdala and arcopallium",4,17,21,0.19,0.81,0.00719738006591798,0.0140159506546824
"ATMIN","Nucleus taeniae of the amygdala and arcopallium",3048,2556,5604,0.544,0.456,5.27248385411035e-11,1.77347184183712e-10
"ATP2C2","Nucleus taeniae of the amygdala and arcopallium",14,4,18,0.778,0.222,0.0308837890625,0.0531488462936046
"BANP","Nucleus taeniae of the amygdala and arcopallium",26,24,50,0.52,0.48,0.887724827340787,0.995327836715427
"BCO1","Nucleus taeniae of the amygdala and arcopallium",80,201,281,0.285,0.715,3.51543376298509e-13,1.30071049230448e-12
"CA5A","Nucleus taeniae of the amygdala and arcopallium",3950,4992,8942,0.442,0.558,3.02596315493431e-28,1.59943766760814e-27
"CDH13","Nucleus taeniae of the amygdala and arcopallium",78,57,135,0.578,0.422,0.0848126443397463,0.133534801726409
"CDH15","Nucleus taeniae of the amygdala and arcopallium",20,29,49,0.408,0.592,0.252869730167604,0.346525185785235
"CDK10","Nucleus taeniae of the amygdala and arcopallium",3937,1778,5715,0.689,0.311,1.08371196107043e-183,8.01946851192122e-182
"CDT1","Nucleus taeniae of the amygdala and arcopallium",10,41,51,0.196,0.804,1.47377158850049e-05,3.51803540480762e-05
"CENPN","Nucleus taeniae of the amygdala and arcopallium",29,53,82,0.354,0.646,0.0106374878781477,0.0201839513585367
"CHMP1A","Nucleus taeniae of the amygdala and arcopallium",5370,4266,9636,0.557,0.443,2.35223992289462e-29,1.33896734072463e-28
"CHTF8","Nucleus taeniae of the amygdala and arcopallium",164,190,354,0.463,0.537,0.183856606771045,0.261642094251103
"CMIP","Nucleus taeniae of the amygdala and arcopallium",2413,2173,4586,0.526,0.474,0.000415602406237285,0.000904546413575267
"COG8","Nucleus taeniae of the amygdala and arcopallium",846,846,1692,0.5,0.5,1,1
"COTL1","Nucleus taeniae of the amygdala and arcopallium",7806,6897,14703,0.531,0.469,6.85415007480487e-14,2.66951108176611e-13
"CPNE7","Nucleus taeniae of the amygdala and arcopallium",17958,15244,33202,0.541,0.459,3.42962817043243e-50,2.81991649568889e-49
"CRISPLD2","Nucleus taeniae of the amygdala and arcopallium",14,32,46,0.304,0.696,0.0113515914367781,0.0210004441580395
"CYB5B","Nucleus taeniae of the amygdala and arcopallium",1627,1539,3166,0.514,0.486,0.122044217585659,0.180625442026776
"DPEP1","Nucleus taeniae of the amygdala and arcopallium",112,19,131,0.855,0.145,3.10753460070148e-17,1.35269153207006e-16
"DUSP15","Nucleus taeniae of the amygdala and arcopallium",3,1,4,0.75,0.25,0.625,0.758196721311476
"EMC8","Nucleus taeniae of the amygdala and arcopallium",40,51,91,0.44,0.56,0.294469784568533,0.389120786751276
"FANCA","Nucleus taeniae of the amygdala and arcopallium",29,29,58,0.5,0.5,1,1
"GAN","Nucleus taeniae of the amygdala and arcopallium",471,319,790,0.596,0.404,7.11111736303144e-08,1.75407561621442e-07
"GAS8","Nucleus taeniae of the amygdala and arcopallium",282,280,562,0.502,0.498,0.966358239685005,1
"GINS2","Nucleus taeniae of the amygdala and arcopallium",204,136,340,0.6,0.4,0.000267799903080877,0.000600520994787421
"GSE1","Nucleus taeniae of the amygdala and arcopallium",4,4,8,0.5,0.5,1,1
"HAS3","Nucleus taeniae of the amygdala and arcopallium",41,21,62,0.661,0.339,0.0151340809974472,0.0273151705807583
"HSBP1","Nucleus taeniae of the amygdala and arcopallium",13078,16381,29459,0.444,0.556,1.19706991356204e-82,1.47638622672652e-81
"HSD17B2","Nucleus taeniae of the amygdala and arcopallium",8,2,10,0.8,0.2,0.109375,0.168619791666667
"JPH3","Nucleus taeniae of the amygdala and arcopallium",125,112,237,0.527,0.473,0.435759109807374,0.555968519409409
"KCNG4","Nucleus taeniae of the amygdala and arcopallium",70,72,142,0.493,0.507,0.933160792384808,1
"KIAA0513","Nucleus taeniae of the amygdala and arcopallium",22,157,179,0.123,0.877,2.56363864525084e-26,1.26472839832375e-25
"KLHDC4","Nucleus taeniae of the amygdala and arcopallium",155,191,346,0.448,0.552,0.0597321015137603,0.0982261224892947
"KLHL36","Nucleus taeniae of the amygdala and arcopallium",32,250,282,0.113,0.887,4.60541704169036e-43,3.09818964622806e-42
"LOC106888094","Nucleus taeniae of the amygdala and arcopallium",129,134,263,0.49,0.51,0.805235806479568,0.931053901242001
"LOC106888173","Nucleus taeniae of the amygdala and arcopallium",957,259,1216,0.787,0.213,2.15347680751974e-94,3.18714567512921e-93
"LOC106888185","Nucleus taeniae of the amygdala and arcopallium",160,70,230,0.696,0.304,2.78568409083028e-09,8.24562490885763e-09
"LOC106888384","Nucleus taeniae of the amygdala and arcopallium",23,21,44,0.523,0.477,0.880395821280674,0.995327836715427
"MC1R","Nucleus taeniae of the amygdala and arcopallium",14,8,22,0.636,0.364,0.28627872467041,0.385175011374734
"MLYCD","Nucleus taeniae of the amygdala and arcopallium",1197,1140,2337,0.512,0.488,0.246694953925827,0.344442011141721
"MPHOSPH6","Nucleus taeniae of the amygdala and arcopallium",1908,1890,3798,0.502,0.498,0.782668330276665,0.919324705404337
"MTHFSD","Nucleus taeniae of the amygdala and arcopallium",23,17,40,0.575,0.425,0.429590507843387,0.555968519409409
"MVD","Nucleus taeniae of the amygdala and arcopallium",110,886,996,0.11,0.89,2.65882358532606e-151,9.83764726570643e-150
"NIP7","Nucleus taeniae of the amygdala and arcopallium",3434,2939,6373,0.539,0.461,5.97492720084084e-10,1.84226922025926e-09
"PIEZO1","Nucleus taeniae of the amygdala and arcopallium",19,16,35,0.543,0.457,0.735878800856881,0.878306955861438
"PKD1L2","Nucleus taeniae of the amygdala and arcopallium",4,12,16,0.25,0.75,0.076812744140625,0.123568327530571
"PLCG2","Nucleus taeniae of the amygdala and arcopallium",149,66,215,0.693,0.307,1.49877385713418e-08,3.96104519385463e-08
"PPP1R3E","Nucleus taeniae of the amygdala and arcopallium",4,13,17,0.235,0.765,0.049041748046875,0.0824793035333807
"RPL13","Nucleus taeniae of the amygdala and arcopallium",3432,2961,6393,0.537,0.463,4.08309181836605e-09,1.16211074830418e-08
"SDR42E1","Nucleus taeniae of the amygdala and arcopallium",201,73,274,0.734,0.266,5.31803810822478e-15,2.18630455560352e-14
"SLC22A31","Nucleus taeniae of the amygdala and arcopallium",447,381,828,0.54,0.46,0.0238311380441604,0.0419881956016159
"SLC7A5","Nucleus taeniae of the amygdala and arcopallium",73,481,554,0.132,0.868,1.17761796164617e-74,1.0892966145227e-73
"SNTB2","Nucleus taeniae of the amygdala and arcopallium",125,116,241,0.519,0.481,0.606417914550325,0.747915427945401
"SPATA2L","Nucleus taeniae of the amygdala and arcopallium",7745,5168,12913,0.6,0.4,1.60381599564509e-114,2.96705959194341e-113
"SPG7","Nucleus taeniae of the amygdala and arcopallium",5925,6088,12013,0.493,0.507,0.139391008093835,0.202253619587134
"SPIRE2","Nucleus taeniae of the amygdala and arcopallium",5867,5500,11367,0.516,0.484,0.000596616715727905,0.00122637880455181
"TANGO6","Nucleus taeniae of the amygdala and arcopallium",616,1207,1823,0.338,0.662,3.46138870627323e-44,2.56142764264219e-43
"TCF25","Nucleus taeniae of the amygdala and arcopallium",470,841,1311,0.359,0.641,7.9819380401618e-25,3.69164634357483e-24
"TERF2","Nucleus taeniae of the amygdala and arcopallium",1625,1243,2868,0.567,0.433,1.04326780635248e-12,3.67627703190875e-12
"TLDC1","Nucleus taeniae of the amygdala and arcopallium",44,42,86,0.512,0.488,0.914211637082451,1
"TMED6","Nucleus taeniae of the amygdala and arcopallium",2,2,4,0.5,0.5,1,1
"TUBB3","Nucleus taeniae of the amygdala and arcopallium",432,1,433,0.998,0.002,3.91319601574118e-128,9.65255017216157e-127
"USP10","Nucleus taeniae of the amygdala and arcopallium",69,124,193,0.358,0.642,9.17701346358379e-05,0.000212218436345375
"UTP4","Nucleus taeniae of the amygdala and arcopallium",1000,741,1741,0.574,0.426,5.85044853427598e-10,1.84226922025926e-09
"VPS4A","Nucleus taeniae of the amygdala and arcopallium",7805,8196,16001,0.488,0.512,0.00204745513835422,0.00409491027670844
"VPS9D1","Nucleus taeniae of the amygdala and arcopallium",2461,1312,3773,0.652,0.348,3.66380520460659e-79,3.87316550201268e-78
"ZC3H18","Nucleus taeniae of the amygdala and arcopallium",41,41,82,0.5,0.5,1,1
"ZCCHC14","Nucleus taeniae of the amygdala and arcopallium",7,169,176,0.04,0.96,2.00255406797229e-41,1.23490834191625e-40
"ZNF276","Nucleus taeniae of the amygdala and arcopallium",713,689,1402,0.509,0.491,0.539057087219212,0.676105499224096
