"gene","Tissue","alt_allele_count","ref_allele_count","total_count","inv_allele_ratio","ref_allele_ratio","pvalue","padjust"
"ACSF3","Adrenal glands",1010,1571,2581,0.391,0.609,1.82419122829491e-28,8.26251321051222e-28
"ANKRD11","Adrenal glands",5482,5131,10613,0.517,0.483,0.000679550991457152,0.00121687038005118
"ARY1","Adrenal glands",205,400,605,0.339,0.661,1.77233971310455e-15,5.0544502929278e-15
"ARY2","Adrenal glands",2197,1423,3620,0.607,0.393,4.67773490251039e-38,2.77065836533308e-37
"ARYL","Adrenal glands",15,15,30,0.5,0.5,1,1
"ATMIN","Adrenal glands",2329,2739,5068,0.46,0.54,9.01831137421578e-09,1.87678371841788e-08
"ATP2C2","Adrenal glands",14,4,18,0.778,0.222,0.0308837890625,0.0457317645733173
"BANP","Adrenal glands",154,105,259,0.595,0.405,0.0027875316608605,0.00456680718906933
"BCO1","Adrenal glands",1367,2091,3458,0.395,0.605,5.50669044116813e-35,3.02867974264247e-34
"CA5A","Adrenal glands",12316,10829,23145,0.532,0.468,1.49997135225139e-22,5.77488970616786e-22
"CDH13","Adrenal glands",447,726,1173,0.381,0.619,3.48601412772326e-16,1.11842953264455e-15
"CDH15","Adrenal glands",13,9,22,0.591,0.409,0.523467063903809,0.62979631125927
"CDK10","Adrenal glands",3104,1677,4781,0.649,0.351,6.42681320987968e-96,9.8972923432147e-95
"CDT1","Adrenal glands",50,155,205,0.244,0.756,1.06231557635952e-13,2.82063101309253e-13
"CENPN","Adrenal glands",120,147,267,0.449,0.551,0.111399216687509,0.150486661139267
"CHMP1A","Adrenal glands",8610,6926,15536,0.554,0.446,1.26351870902352e-41,8.1075783829009e-41
"CHTF8","Adrenal glands",540,825,1365,0.396,0.604,1.21353967403937e-14,3.33723410360827e-14
"CIDEC","Adrenal glands",15,13,28,0.536,0.464,0.850554019212723,0.897159718895612
"CMIP","Adrenal glands",549,606,1155,0.475,0.525,0.0993576679055285,0.136616793370102
"COG8","Adrenal glands",2145,1722,3867,0.555,0.445,1.09980243681863e-11,2.64639961359483e-11
"COTL1","Adrenal glands",3115,3839,6954,0.448,0.552,4.03592749835867e-18,1.35115833640703e-17
"CPNE7","Adrenal glands",14,17,31,0.452,0.548,0.720100131817163,0.79583286833476
"CRISPLD2","Adrenal glands",623,1558,2181,0.286,0.714,7.48612604562967e-92,8.23473865019264e-91
"CYB5B","Adrenal glands",5040,5063,10103,0.499,0.501,0.826748232477305,0.884161304177118
"DPEP1","Adrenal glands",1314,680,1994,0.659,0.341,2.23366807088772e-46,1.91102712731505e-45
"DUSP15","Adrenal glands",17,6,23,0.739,0.261,0.0346896648406983,0.0503981923157315
"EMC8","Adrenal glands",32,36,68,0.471,0.529,0.716300760154337,0.79583286833476
"FANCA","Adrenal glands",67,120,187,0.358,0.642,0.000130196379884669,0.000250628031277988
"GAN","Adrenal glands",175,134,309,0.566,0.434,0.0227207161774904,0.0343038263856228
"GAS8","Adrenal glands",543,477,1020,0.532,0.468,0.0417752618457118,0.0595684289281445
"GINS2","Adrenal glands",258,252,510,0.506,0.494,0.824804959957225,0.884161304177118
"GSE1","Adrenal glands",4,7,11,0.364,0.636,0.548828125,0.640299479166667
"HAS3","Adrenal glands",3,3,6,0.5,0.5,1,1
"HSBP1","Adrenal glands",10827,10774,21601,0.501,0.499,0.723484425758873,0.79583286833476
"HSD17B2","Adrenal glands",68,4,72,0.944,0.056,4.62081460199164e-16,1.42321089741343e-15
"JPH3","Adrenal glands",27,23,50,0.54,0.46,0.671811033765366,0.772081337312436
"KCNG4","Adrenal glands",19,25,44,0.432,0.568,0.451380832396126,0.560585872491963
"KIAA0513","Adrenal glands",72,662,734,0.098,0.902,2.36578161584579e-120,6.07217281400419e-119
"KLHDC4","Adrenal glands",210,385,595,0.353,0.647,6.73309621552947e-13,1.67241422127668e-12
"KLHL36","Adrenal glands",28,148,176,0.159,0.841,6.51469044734626e-21,2.38871983069363e-20
"LOC106888094","Adrenal glands",2020,914,2934,0.688,0.312,9.01140193084833e-95,1.1564632477922e-93
"LOC106888173","Adrenal glands",1669,1323,2992,0.558,0.442,2.71790573066601e-10,6.34178003822069e-10
"LOC106888185","Adrenal glands",3025,1745,4770,0.634,0.366,1.75711702189682e-77,1.69122513357569e-76
"LOC106888312","Adrenal glands",1,9,10,0.1,0.9,0.021484375,0.0330859375
"LOC106888384","Adrenal glands",4680,5294,9974,0.469,0.531,8.25901096721875e-10,1.81698241278813e-09
"MC1R","Adrenal glands",2,3,5,0.4,0.6,1,1
"MLYCD","Adrenal glands",1603,1520,3123,0.513,0.487,0.142273974264931,0.188880965834477
"MPHOSPH6","Adrenal glands",2739,3017,5756,0.476,0.524,0.000260494149582958,0.000477572607568755
"MTHFSD","Adrenal glands",41,34,75,0.547,0.453,0.488682970903146,0.5972791866594
"MVD","Adrenal glands",1614,11462,13076,0.123,0.877,4.94065645841247e-324,3.8043054729776e-322
"NIP7","Adrenal glands",3764,3769,7533,0.5,0.5,0.963241518710397,1
"PIEZO1","Adrenal glands",115,160,275,0.418,0.582,0.00785593387979337,0.012345038953961
"PKD1L2","Adrenal glands",15,24,39,0.385,0.615,0.199590866919608,0.25614161254683
"PLCG2","Adrenal glands",1788,1064,2852,0.627,0.373,3.39303117307212e-42,2.37512182115048e-41
"PPP1R3E","Adrenal glands",47,63,110,0.427,0.573,0.152337806060253,0.198813746892194
"RPL13","Adrenal glands",7917,6787,14704,0.538,0.462,1.21838389505687e-20,4.26434363269904e-20
"SDR42E1","Adrenal glands",721,337,1058,0.681,0.319,1.06275060720317e-32,5.45545311697629e-32
"SLC22A31","Adrenal glands",692,2576,3268,0.212,0.788,4.23597240194444e-253,1.63084937474861e-251
"SLC7A5","Adrenal glands",22,458,480,0.046,0.954,3.56660786339816e-107,6.86572013704145e-106
"SNTB2","Adrenal glands",617,741,1358,0.454,0.546,0.000838254415216069,0.00146694522662812
"SPATA2L","Adrenal glands",2870,2639,5509,0.521,0.479,0.00194051500756388,0.00324825338222649
"SPG7","Adrenal glands",8199,8624,16823,0.487,0.513,0.00107870730779042,0.00184578805999695
"SPIRE2","Adrenal glands",878,710,1588,0.553,0.447,2.73592595089348e-05,5.40169995432815e-05
"TANGO6","Adrenal glands",1159,1535,2694,0.43,0.57,4.60637012836702e-13,1.18230166628087e-12
"TCF25","Adrenal glands",738,1267,2005,0.368,0.632,1.88456735333238e-32,9.06948038791209e-32
"TERF2","Adrenal glands",2349,2010,4359,0.539,0.461,3.02436814326165e-07,6.12832492187229e-07
"TLDC1","Adrenal glands",212,178,390,0.544,0.456,0.0945912746709177,0.132427784539285
"TMED6","Adrenal glands",4,9,13,0.308,0.692,0.266845703125,0.336838018698771
"TUBB3","Adrenal glands",154,2,156,0.987,0.013,2.68151598321657e-43,2.06476730707676e-42
"USP10","Adrenal glands",205,403,608,0.337,0.663,7.56993327963583e-16,2.24186485589215e-15
"UTP4","Adrenal glands",2435,2015,4450,0.547,0.453,3.26562703615375e-10,7.3956847583482e-10
"VPS4A","Adrenal glands",13942,12169,26111,0.534,0.466,5.31108053491639e-28,2.27196222882535e-27
"VPS9D1","Adrenal glands",1140,1013,2153,0.529,0.471,0.00660434447888748,0.0105944692682153
"WFDC1","Adrenal glands",31,69,100,0.31,0.69,0.000183143224882353,0.000343951910144906
"ZC3H18","Adrenal glands",69,61,130,0.531,0.469,0.539419552281719,0.639004700395267
"ZCCHC14","Adrenal glands",5,104,109,0.046,0.954,3.77813381138914e-25,1.53113843935244e-24
"ZNF276","Adrenal glands",889,1150,2039,0.436,0.564,8.14067139833729e-09,1.74119916019992e-08
