"gene","Tissue","alt_allele_count","ref_allele_count","total_count","inv_allele_ratio","ref_allele_ratio","pvalue","padjust"
"ACSF3","Blood",729,952,1681,0.434,0.566,5.88423874243543e-08,1.50149540324215e-07
"ANKRD11","Blood",6584,6037,12621,0.522,0.478,1.16893076720942e-06,2.88336255911656e-06
"ARY1","Blood",156,285,441,0.354,0.646,8.34615148432363e-10,2.4704608393598e-09
"ARY2","Blood",763,1432,2195,0.348,0.652,7.82959054833384e-47,7.2423712572088e-46
"ARYL","Blood",7,10,17,0.412,0.588,0.629058837890625,0.734574461163865
"ATMIN","Blood",2919,2369,5288,0.552,0.448,4.14585831743843e-14,1.27830631454352e-13
"ATP2C2","Blood",11,5,16,0.688,0.312,0.210113525390625,0.282698197798296
"BANP","Blood",33,28,61,0.541,0.459,0.608920715404831,0.730499967431452
"BCO1","Blood",180,407,587,0.307,0.693,3.43718249380454e-21,1.41306391411965e-20
"CA5A","Blood",5707,6714,12421,0.459,0.541,1.69502139764127e-19,6.60166228555022e-19
"CDH13","Blood",191,164,355,0.538,0.462,0.167516116568745,0.233890426907304
"CDH15","Blood",11,20,31,0.355,0.645,0.149612784385681,0.212910500856546
"CDK10","Blood",3421,1607,5028,0.68,0.32,1.94551376010134e-147,4.79893394158331e-146
"CDT1","Blood",12,48,60,0.2,0.8,3.18362873793359e-06,7.36214145647144e-06
"CENPN","Blood",49,52,101,0.485,0.515,0.842382098507745,0.916709930729016
"CHMP1A","Blood",5763,4565,10328,0.558,0.442,4.31546545268503e-32,2.45649571922071e-31
"CHTF8","Blood",244,343,587,0.416,0.584,5.03914973282855e-05,0.000106542022922661
"CMIP","Blood",2352,1953,4305,0.546,0.454,1.27803935943668e-09,3.63749663839671e-09
"COG8","Blood",976,916,1892,0.516,0.484,0.17495234514234,0.239749510009873
"COTL1","Blood",6707,5366,12073,0.556,0.444,2.81995679899729e-34,1.73897335938166e-33
"CPNE7","Blood",1495,2086,3581,0.417,0.583,4.99889041583077e-23,2.17598759277339e-22
"CRISPLD2","Blood",18,29,47,0.383,0.617,0.143865088440549,0.20874542244315
"CYB5B","Blood",1823,1699,3522,0.518,0.482,0.038196713026924,0.0628123725331638
"DPEP1","Blood",33,6,39,0.846,0.154,1.42992612381932e-05,3.20650100492817e-05
"DUSP15","Blood",4,1,5,0.8,0.2,0.375,0.495535714285714
"EMC8","Blood",32,32,64,0.5,0.5,1,1
"FANCA","Blood",38,33,71,0.535,0.465,0.635307642087667,0.734574461163865
"GAN","Blood",371,232,603,0.615,0.385,1.66137016855329e-08,4.39076401689085e-08
"GAS8","Blood",443,463,906,0.489,0.511,0.527911265724374,0.651090561060062
"GINS2","Blood",187,139,326,0.574,0.426,0.00913499178106457,0.015363395268154
"GSE1","Blood",3,3,6,0.5,0.5,1,1
"HAS3","Blood",42,26,68,0.618,0.382,0.0681186742841,0.102873099939253
"HSBP1","Blood",10770,13984,24754,0.435,0.565,5.9713369467707e-93,8.83757868122064e-92
"HSD17B2","Blood",52,1,53,0.981,0.019,1.19904086659517e-14,3.85778365774099e-14
"JPH3","Blood",67,71,138,0.486,0.514,0.798544534300496,0.888064826265393
"KCNG4","Blood",21,47,68,0.309,0.691,0.00218624317768616,0.00376237198020409
"KIAA0513","Blood",32,130,162,0.198,0.802,3.2587659219206e-15,1.14832703915297e-14
"KLHDC4","Blood",200,206,406,0.493,0.507,0.804058694051099,0.888064826265393
"KLHL36","Blood",22,203,225,0.098,0.902,7.16107006092307e-38,4.8174471318937e-37
"LOC106888094","Blood",204,144,348,0.586,0.414,0.00152637762745155,0.00268933201027178
"LOC106888173","Blood",2439,724,3163,0.771,0.229,2.99750864099174e-215,2.21815639433389e-213
"LOC106888185","Blood",174,106,280,0.621,0.379,5.76300545390496e-05,0.000118461778774713
"LOC106888384","Blood",44,86,130,0.338,0.662,0.000289548773763263,0.000549400237396961
"MC1R","Blood",7,7,14,0.5,0.5,1,1
"MLYCD","Blood",1071,1112,2183,0.491,0.509,0.391937902425472,0.508831662797981
"MPHOSPH6","Blood",1991,1780,3771,0.528,0.472,0.000624985818837401,0.00115622376484919
"MTHFSD","Blood",25,22,47,0.532,0.468,0.770866994573028,0.877602424590831
"MVD","Blood",81,701,782,0.104,0.896,4.68534201747628e-124,8.66788273233112e-123
"NIP7","Blood",3044,2752,5796,0.525,0.475,0.000131792790889984,0.000263585581779968
"PIEZO1","Blood",31,29,60,0.517,0.483,0.89742182699143,0.962452394164722
"PKD1L2","Blood",2,19,21,0.095,0.905,0.00022125244140625,0.000430860017475329
"PLCG2","Blood",373,120,493,0.757,0.243,3.20764375073032e-31,1.69546883967174e-30
"PPP1R3E","Blood",6,10,16,0.375,0.625,0.454498291015625,0.570048703985699
"RPL13","Blood",3332,2874,6206,0.537,0.463,6.48874169016672e-09,1.77839587063829e-08
"SDR42E1","Blood",354,163,517,0.685,0.315,2.8211864320179e-17,1.04383897984662e-16
"SLC22A31","Blood",367,322,689,0.533,0.467,0.0936141414938276,0.138548929410865
"SLC7A5","Blood",101,612,713,0.142,0.858,5.01992977419659e-90,6.19124672150913e-89
"SNTB2","Blood",67,92,159,0.421,0.579,0.0566559968337714,0.0892030588446614
"SPATA2L","Blood",5181,3547,8728,0.594,0.406,8.3144697070717e-69,8.78958226176151e-68
"SPG7","Blood",5323,5526,10849,0.491,0.509,0.0524535551852014,0.0843818061674979
"SPIRE2","Blood",3717,3360,7077,0.525,0.475,2.30957985074937e-05,5.02673261633686e-05
"TANGO6","Blood",896,1454,2350,0.381,0.619,7.86736071623729e-31,3.88123128667706e-30
"TCF25","Blood",526,910,1436,0.366,0.634,2.75830023654822e-24,1.27571385940355e-23
"TERF2","Blood",1787,1348,3135,0.57,0.43,4.67793413572683e-15,1.57348693656266e-14
"TLDC1","Blood",43,45,88,0.489,0.511,0.915186504842878,0.967482876548185
"TMED6","Blood",2,5,7,0.286,0.714,0.453125,0.570048703985699
"TUBB3","Blood",515,1,516,0.998,0.002,4.81995269753819e-153,1.78338249808913e-151
"USP10","Blood",61,128,189,0.323,0.677,1.23675100674696e-06,2.95224433868629e-06
"UTP4","Blood",870,739,1609,0.541,0.459,0.00118487336150933,0.00213855192077293
"VPS4A","Blood",7368,7599,14967,0.492,0.508,0.0601029239806506,0.0926586744701697
"VPS9D1","Blood",1664,962,2626,0.634,0.366,4.28691780319129e-43,3.52479908262395e-42
"ZC3H18","Blood",40,39,79,0.506,0.494,1,1
"ZCCHC14","Blood",4,150,154,0.026,0.974,2.02680008857859e-39,1.49983206554815e-38
"ZNF276","Blood",788,767,1555,0.507,0.493,0.612040513253379,0.730499967431452
