"gene","Tissue","alt_allele_count","ref_allele_count","total_count","inv_allele_ratio","ref_allele_ratio","pvalue","padjust"
"ACSF3","Gonads",588,759,1347,0.437,0.563,3.52036688639257e-06,6.46673204128424e-06
"ANKRD11","Gonads",840,798,1638,0.513,0.487,0.311040078433281,0.403806417615136
"ARY1","Gonads",121,202,323,0.375,0.625,7.69782983149542e-06,1.35628430364443e-05
"ARY2","Gonads",37,1169,1206,0.031,0.969,7.97298060708287e-293,1.96666854974711e-291
"ARYL","Gonads",15,16,31,0.484,0.516,1,1
"ATMIN","Gonads",3288,3598,6886,0.477,0.523,0.000195871374834194,0.000329420039493872
"ATP2C2","Gonads",4,2,6,0.667,0.333,0.6875,0.759328358208955
"BANP","Gonads",26,21,47,0.553,0.447,0.560064629580213,0.679422665392389
"BCO1","Gonads",1634,2413,4047,0.404,0.596,1.35303409669373e-34,5.00622615776679e-34
"CA5A","Gonads",4442,2691,7133,0.623,0.377,2.48579067606377e-96,2.04387233365243e-95
"CDH13","Gonads",55,88,143,0.385,0.615,0.00723666858384416,0.0109288464327442
"CDH15","Gonads",4,10,14,0.286,0.714,0.1795654296875,0.241597123579546
"CDK10","Gonads",5159,3628,8787,0.587,0.413,3.4878502620224e-60,1.84357799564041e-59
"CDT1","Gonads",55,219,274,0.201,0.799,2.44241547000735e-24,7.85820629480626e-24
"CENPN","Gonads",13626,2641,16267,0.838,0.162,4.94065645841247e-324,3.65608577922522e-322
"CHMP1A","Gonads",9013,7342,16355,0.551,0.449,4.90206785269788e-39,1.90922642684023e-38
"CHTF8","Gonads",2386,3142,5528,0.432,0.568,2.68967553732015e-24,8.29316624007047e-24
"CIDEC","Gonads",13,17,30,0.433,0.567,0.584664711728693,0.686749026474973
"CMIP","Gonads",673,1079,1752,0.384,0.616,2.49506631491804e-22,7.38539629215741e-22
"COG8","Gonads",1506,1190,2696,0.559,0.441,1.25213833702555e-09,2.64737819828259e-09
"COTL1","Gonads",340,314,654,0.52,0.48,0.328286257462586,0.416876197959469
"CPNE7","Gonads",91,114,205,0.444,0.556,0.124196174660669,0.170194757868325
"CRISPLD2","Gonads",67,124,191,0.351,0.649,4.5004501516191e-05,7.74496072604216e-05
"CYB5B","Gonads",5000,3871,8871,0.564,0.436,3.89351720491653e-33,1.30963760529011e-32
"DPEP1","Gonads",694,208,902,0.769,0.231,9.12445134019431e-62,5.19391845518753e-61
"EMC8","Gonads",51,49,100,0.51,0.49,0.920410762612822,0.95930135821618
"FANCA","Gonads",789,985,1774,0.445,0.555,3.58291910395478e-06,6.46673204128424e-06
"GAN","Gonads",459,311,770,0.596,0.404,1.07695059480685e-07,2.0972195793607e-07
"GAS8","Gonads",6195,5789,11984,0.517,0.483,0.000215666590960413,0.000354651727357123
"GINS2","Gonads",3071,2362,5433,0.565,0.435,6.65497177390251e-22,1.89410735103379e-21
"HAS3","Gonads",89,34,123,0.724,0.276,7.43200227229496e-07,1.41017479012776e-06
"HSBP1","Gonads",7096,6956,14052,0.505,0.495,0.240959710013913,0.318411045375528
"HSD17B2","Gonads",63,56,119,0.529,0.471,0.582493791157226,0.686749026474973
"KCNG4","Gonads",398,189,587,0.678,0.322,4.02889511187217e-18,1.06477942242336e-17
"KIAA0513","Gonads",5,67,72,0.069,0.931,6.3877308356783e-15,1.57564027280065e-14
"KLHDC4","Gonads",268,680,948,0.283,0.717,5.85889017547526e-42,2.40865484991761e-41
"KLHL36","Gonads",7,46,53,0.132,0.868,4.00319617455125e-08,8.00639234910249e-08
"LOC106888094","Gonads",459,363,822,0.558,0.442,0.000910306991341145,0.00143324930551584
"LOC106888173","Gonads",409,1287,1696,0.241,0.759,1.44037421091914e-105,1.3323461451002e-104
"LOC106888185","Gonads",839,515,1354,0.62,0.38,1.14556260562407e-18,3.13969010430299e-18
"LOC106888312","Gonads",2,10,12,0.167,0.833,0.03857421875,0.0548940805288462
"LOC106888384","Gonads",431,1211,1642,0.262,0.738,1.11011003428529e-85,8.21481425371112e-85
"MC1R","Gonads",3,4,7,0.429,0.571,1,1
"MLYCD","Gonads",835,766,1601,0.522,0.478,0.0891994002460131,0.124542558834056
"MPHOSPH6","Gonads",2068,2243,4311,0.48,0.52,0.00803973907831539,0.0118988138359068
"MTHFSD","Gonads",120,105,225,0.533,0.467,0.35067196506997,0.432495423586296
"MVD","Gonads",61,610,671,0.091,0.909,7.21639465319085e-115,1.06802640867225e-113
"NIP7","Gonads",5406,8028,13434,0.402,0.598,6.17192092767941e-114,7.6120358108046e-113
"PABPN1L","Gonads",12,9,21,0.571,0.429,0.663623809814453,0.75551018348107
"PIEZO1","Gonads",31,36,67,0.463,0.537,0.625406828941649,0.723126645963782
"PKD1L2","Gonads",417,258,675,0.618,0.382,1.00264440740247e-09,2.18222606317007e-09
"PLCG2","Gonads",474,1255,1729,0.274,0.726,2.44757572912197e-81,1.64655094504569e-80
"PPP1R3E","Gonads",26,25,51,0.51,0.49,1,1
"RPL13","Gonads",5803,6680,12483,0.465,0.535,4.37508710233743e-15,1.11640153645852e-14
"SDR42E1","Gonads",2762,3251,6013,0.459,0.541,3.04217661249678e-10,6.82185058559884e-10
"SLC22A31","Gonads",754,2602,3356,0.225,0.775,7.96363786319815e-236,1.47327300469166e-234
"SLC7A5","Gonads",17,221,238,0.071,0.929,1.93612479025647e-46,8.95457715493616e-46
"SNTB2","Gonads",294,319,613,0.48,0.52,0.332374265940658,0.416876197959469
