"gene","Tissue","alt_allele_count","ref_allele_count","total_count","inv_allele_ratio","ref_allele_ratio","pvalue","padjust"
"ACSF3","Lateral septum",803,887,1690,0.475,0.525,0.0434561374671621,0.0699076994036955
"ANKRD11","Lateral septum",8466,8058,16524,0.512,0.488,0.00154373963248942,0.00278626177571261
"ARY1","Lateral septum",131,233,364,0.36,0.64,9.95521158759167e-08,2.94674262992714e-07
"ARY2","Lateral septum",427,900,1327,0.322,0.678,3.3162031052285e-39,3.50570042552727e-38
"ARYL","Lateral septum",7,8,15,0.467,0.533,1,1
"ATMIN","Lateral septum",2873,2495,5368,0.535,0.465,2.63801289192067e-07,7.50819053854346e-07
"ATP2C2","Lateral septum",9,3,12,0.75,0.25,0.14599609375,0.220483896683674
"BANP","Lateral septum",20,26,46,0.435,0.565,0.461391182136767,0.632276805150384
"BCO1","Lateral septum",154,359,513,0.3,0.7,6.76714099832417e-20,3.33845622583992e-19
"CA5A","Lateral septum",4037,4363,8400,0.481,0.519,0.000390461628671997,0.000780923257343995
"CDH13","Lateral septum",87,97,184,0.473,0.527,0.507126776154887,0.682316026099302
"CDH15","Lateral septum",9,11,20,0.45,0.55,0.823802947998047,0.937867971567008
"CDK10","Lateral septum",3580,1761,5341,0.67,0.33,2.55280207566621e-139,9.44536767996499e-138
"CDT1","Lateral septum",12,38,50,0.24,0.76,0.000305864001603596,0.000628720447740724
"CENPN","Lateral septum",34,104,138,0.246,0.754,1.91522683190678e-09,6.74889455052865e-09
"CHMP1A","Lateral septum",5240,4223,9463,0.554,0.446,1.40056751982729e-25,7.97246126670917e-25
"CHTF8","Lateral septum",506,515,1021,0.496,0.504,0.802318366975952,0.927680611815945
"CMIP","Lateral septum",2261,1711,3972,0.569,0.431,2.66711819308283e-18,1.09648192382294e-17
"COG8","Lateral septum",928,912,1840,0.504,0.496,0.726582325107776,0.881427738655335
"COTL1","Lateral septum",10532,8761,19293,0.546,0.454,3.04005266674627e-37,2.24963897339224e-36
"CPNE7","Lateral septum",3494,3925,7419,0.471,0.529,5.92681616689981e-07,1.62438665315032e-06
"CRISPLD2","Lateral septum",25,46,71,0.352,0.648,0.0169946525734364,0.0292466114054486
"CYB5B","Lateral septum",1466,1346,2812,0.521,0.479,0.0248096621714339,0.040798111126358
"DPEP1","Lateral septum",46,14,60,0.767,0.233,4.22370456226797e-05,0.000100577627120537
"DUSP15","Lateral septum",2,1,3,0.667,0.333,1,1
"EMC8","Lateral septum",46,47,93,0.495,0.505,1,1
"FANCA","Lateral septum",44,28,72,0.611,0.389,0.0763691546718314,0.120240796717352
"GAN","Lateral septum",453,290,743,0.61,0.39,2.42420625646782e-09,7.79962012950517e-09
"GAS8","Lateral septum",531,611,1142,0.465,0.535,0.0193617820380076,0.0325629970639218
"GINS2","Lateral septum",232,156,388,0.598,0.402,0.000134136453862028,0.00028360278816543
"GSE1","Lateral septum",4,3,7,0.571,0.429,1,1
"HAS3","Lateral septum",33,29,62,0.532,0.468,0.703536671355276,0.86769522800484
"HSBP1","Lateral septum",13963,17214,31177,0.448,0.552,8.59530204579929e-76,1.06008725231525e-74
"HSD17B2","Lateral septum",14,1,15,0.933,0.067,0.0009765625,0.001806640625
"JPH3","Lateral septum",60,71,131,0.458,0.542,0.382354321356135,0.533853203402906
