"gene","Tissue","alt_allele_count","ref_allele_count","total_count","inv_allele_ratio","ref_allele_ratio","pvalue","padjust"
"ACSF3","Liver",791,1166,1957,0.404,0.596,2.25228215509148e-17,9.14161580595953e-17
"ANKRD11","Liver",1013,964,1977,0.512,0.488,0.28034465738299,0.358218173322709
"ARY1","Liver",1104,1519,2623,0.421,0.579,5.4865682042548e-16,1.99249055838727e-15
"ARY2","Liver",336,354,690,0.487,0.513,0.517545642921831,0.644986203738621
"ARYL","Liver",133,101,234,0.568,0.432,0.042479994391776,0.063719991587664
"ATMIN","Liver",810,990,1800,0.45,0.55,2.41753439800575e-05,5.2128085456999e-05
"ATP2C2","Liver",11,3,14,0.786,0.214,0.057373046875,0.0824737548828126
"BANP","Liver",30,20,50,0.6,0.4,0.202638751064541,0.263812713650063
"BCO1","Liver",21567,10002,31569,0.683,0.317,4.94065645841247e-324,1.13635098543487e-322
"CA5A","Liver",6516,7388,13904,0.469,0.531,1.47895452093016e-13,4.63853917928096e-13
"CDH13","Liver",9,13,22,0.409,0.591,0.523467063903809,0.644986203738621
"CDK10","Liver",929,481,1410,0.659,0.341,3.26850612200393e-33,2.81908653022839e-32
"CDT1","Liver",12,35,47,0.255,0.745,0.00108853820647426,0.00202997665531686
"CENPN","Liver",48,22,70,0.686,0.314,0.00254756489825396,0.00441381770186176
"CHMP1A","Liver",2859,1801,4660,0.614,0.386,1.55852940206368e-54,1.79230881237324e-53
"CHTF8","Liver",172,245,417,0.412,0.588,0.000409324833903421,0.000784539264981557
"CIDEC","Liver",167,162,329,0.508,0.492,0.825502210982931,0.863025038754882
"CMIP","Liver",401,589,990,0.405,0.595,2.51242993450478e-09,6.66760251849346e-09
"COG8","Liver",423,357,780,0.542,0.458,0.0198869455707531,0.0319116103344643
"COTL1","Liver",1275,1135,2410,0.529,0.471,0.00462403844439418,0.00778191835763899
"CPNE7","Liver",4,2,6,0.667,0.333,0.6875,0.767945478039403
"CRISPLD2","Liver",7,32,39,0.179,0.821,7.0254784077406e-05,0.000146896366707304
"CYB5B","Liver",2115,1522,3637,0.582,0.418,7.72262033861015e-23,4.84418912149182e-22
"DPEP1","Liver",715,6839,7554,0.095,0.905,4.94065645841247e-324,1.13635098543487e-322
"DUSP15","Liver",3,2,5,0.6,0.4,1,1
"EMC8","Liver",20,23,43,0.465,0.535,0.760791642561346,0.80760958979589
"FANCA","Liver",12,81,93,0.129,0.871,9.82875021147483e-14,3.22944649805602e-13
"GAN","Liver",130,73,203,0.64,0.36,7.67247097309546e-05,0.000155706028571643
"GAS8","Liver",100,51,151,0.662,0.338,8.2128528702281e-05,0.000161910528013068
"GINS2","Liver",50,86,136,0.368,0.632,0.00255873489963001,0.00441381770186176
"HSBP1","Liver",2981,2933,5914,0.504,0.496,0.541095114412752,0.655009875341752
"HSD17B2","Liver",22,35,57,0.386,0.614,0.111161119103994,0.156533004452563
"KIAA0513","Liver",0,35,35,0,1,5.82076609134676e-11,1.67347025126219e-10
"KLHDC4","Liver",64,175,239,0.268,0.732,4.19840569762114e-13,1.25952170928634e-12
"KLHL36","Liver",1,10,11,0.091,0.909,0.01171875,0.0192522321428571
"LOC106888094","Liver",1804,781,2585,0.698,0.302,2.60737841150747e-92,4.49772775985039e-91
"LOC106888173","Liver",140,105,245,0.571,0.429,0.0296343017032974,0.0464719731256254
"LOC106888185","Liver",756,465,1221,0.619,0.381,7.52216282214091e-17,2.88349574848735e-16
"LOC106888312","Liver",51,289,340,0.15,0.85,1.71138097243146e-41,1.6869326728253e-40
"LOC106888384","Liver",4932,5248,10180,0.484,0.516,0.00179474037887282,0.00325887068795328
"MLYCD","Liver",723,548,1271,0.569,0.431,1.01871163412524e-06,2.34303675848806e-06
"MPHOSPH6","Liver",1178,1249,2427,0.485,0.515,0.155331726545283,0.206113252531241
"MTHFSD","Liver",30,28,58,0.517,0.483,0.895683213889592,0.922420026244505
"MVD","Liver",129,2280,2409,0.054,0.946,0,0
"NIP7","Liver",2837,2990,5827,0.487,0.513,0.0464465030400292,0.0681874193566387
"PIEZO1","Liver",11,14,25,0.44,0.56,0.690037965774536,0.767945478039403
"PKD1L2","Liver",8,11,19,0.421,0.579,0.647605895996094,0.744746780395508
