"gene","Tissue","alt_allele_count","ref_allele_count","total_count","inv_allele_ratio","ref_allele_ratio","pvalue","padjust"
"ACSF3","Caudal nidopallium",552,745,1297,0.426,0.574,9.25652012566754e-08,2.81552487155721e-07
"ANKRD11","Caudal nidopallium",8001,7660,15661,0.511,0.489,0.00658837270843204,0.0121350951005378
"ARY1","Caudal nidopallium",101,174,275,0.367,0.633,1.26628147949475e-05,3.1875361380385e-05
"ARY2","Caudal nidopallium",105,187,292,0.36,0.64,1.84179971939526e-06,4.9796807228094e-06
"ARYL","Caudal nidopallium",7,12,19,0.368,0.632,0.359283447265625,0.460134941234923
"ATMIN","Caudal nidopallium",2630,2227,4857,0.541,0.459,7.8604268521011e-09,2.608232546379e-08
"ATP2C2","Caudal nidopallium",10,7,17,0.588,0.412,0.629058837890625,0.752808117475666
"BANP","Caudal nidopallium",26,23,49,0.531,0.469,0.775449654681569,0.832468011643449
"BCO1","Caudal nidopallium",59,130,189,0.312,0.688,2.5952242446762e-07,7.28659114851394e-07
"CA5A","Caudal nidopallium",2523,3388,5911,0.427,0.573,2.11853457102881e-29,1.54653023685103e-28
"CDH13","Caudal nidopallium",91,69,160,0.569,0.431,0.09656935339178,0.140991255951999
"CDH15","Caudal nidopallium",4,13,17,0.235,0.765,0.049041748046875,0.0761712256898271
"CDK10","Caudal nidopallium",3033,1480,4513,0.672,0.328,1.74007663419745e-120,1.27025594296414e-118
"CDT1","Caudal nidopallium",12,42,54,0.222,0.778,5.20944720079354e-05,0.000118840514268103
"CENPN","Caudal nidopallium",23,35,58,0.397,0.603,0.148005800760207,0.207777374144136
"CHMP1A","Caudal nidopallium",4398,3426,7824,0.562,0.438,4.1949252406799e-28,2.64792261200826e-27
"CHTF8","Caudal nidopallium",171,140,311,0.55,0.45,0.0887537683745199,0.132225001864081
"CMIP","Caudal nidopallium",1646,1405,3051,0.539,0.461,1.37930373036454e-05,3.35630574388706e-05
"COG8","Caudal nidopallium",803,790,1593,0.504,0.496,0.763685906503257,0.832075689175191
"COTL1","Caudal nidopallium",4221,3692,7913,0.533,0.467,2.8900319800791e-09,1.05486167272887e-08
"CPNE7","Caudal nidopallium",2439,2898,5337,0.457,0.543,3.54092874715195e-10,1.52051646201231e-09
"CRISPLD2","Caudal nidopallium",12,30,42,0.286,0.714,0.00791589733489674,0.0140941586694503
"CYB5B","Caudal nidopallium",1297,1206,2503,0.518,0.482,0.0720099913392429,0.109515195161765
"DPEP1","Caudal nidopallium",11,2,13,0.846,0.154,0.0224609375,0.0372647372159091
"EMC8","Caudal nidopallium",37,44,81,0.457,0.543,0.505236440766936,0.614704336266439
"FANCA","Caudal nidopallium",17,20,37,0.459,0.541,0.742829358729068,0.821614290715484
"GAN","Caudal nidopallium",366,219,585,0.626,0.374,1.29886971326561e-09,4.9903941614942e-09
"GAS8","Caudal nidopallium",253,243,496,0.51,0.49,0.68617233141612,0.782665315521512
"GINS2","Caudal nidopallium",187,113,300,0.623,0.377,2.28841699762888e-05,5.38885292990026e-05
"GSE1","Caudal nidopallium",3,3,6,0.5,0.5,1,1
"HAS3","Caudal nidopallium",28,21,49,0.571,0.429,0.391602910547491,0.492879525344256
"HSBP1","Caudal nidopallium",9820,12100,21920,0.448,0.552,1.47126173337257e-53,1.53431580765997e-52
"HSD17B2","Caudal nidopallium",32,4,36,0.889,0.111,1.94157473742962e-06,5.06196270829866e-06
"JPH3","Caudal nidopallium",132,128,260,0.508,0.492,0.852449305018093,0.888982846661726
"KCNG4","Caudal nidopallium",13,10,23,0.565,0.435,0.677639484405518,0.782665315521512
"KIAA0513","Caudal nidopallium",24,107,131,0.183,0.817,1.0474024386383e-13,5.09735853470639e-13
"KLHDC4","Caudal nidopallium",123,188,311,0.395,0.605,0.000271448078338148,0.000600476052081358
"KLHL36","Caudal nidopallium",35,187,222,0.158,0.842,2.75266369325569e-26,1.54572653544358e-25
"LOC106888094","Caudal nidopallium",143,65,208,0.688,0.312,6.62862659129683e-08,2.10386843984638e-07
"LOC106888173","Caudal nidopallium",512,86,598,0.856,0.144,9.67635533805995e-75,1.76593484919594e-73
"LOC106888185","Caudal nidopallium",93,54,147,0.633,0.367,0.00163131125270777,0.00330793670687965
"LOC106888384","Caudal nidopallium",8,8,16,0.5,0.5,1,1
"MC1R","Caudal nidopallium",10,5,15,0.667,0.333,0.3017578125,0.393362862723214
"MLYCD","Caudal nidopallium",612,739,1351,0.453,0.547,0.00060292155035005,0.00129450803457511
"MPHOSPH6","Caudal nidopallium",1320,1429,2749,0.48,0.52,0.0393931552341962,0.0625152246107896
"MTHFSD","Caudal nidopallium",18,11,29,0.621,0.379,0.26493089646101,0.358147322993588
"MVD","Caudal nidopallium",106,746,852,0.124,0.876,3.12980210422259e-119,1.14237776804124e-117
"NIP7","Caudal nidopallium",2865,2611,5476,0.523,0.477,0.000627419864529713,0.00130861857459054
"PIEZO1","Caudal nidopallium",25,17,42,0.595,0.405,0.27995623852894,0.37157828022932
"PKD1L2","Caudal nidopallium",0,7,7,0,1,0.015625,0.0265261627906977
"PLCG2","Caudal nidopallium",71,55,126,0.563,0.437,0.181224060881424,0.249610498949886
"PPP1R3E","Caudal nidopallium",5,16,21,0.238,0.762,0.0266036987304688,0.0431571112738715
"RPL13","Caudal nidopallium",2836,2460,5296,0.535,0.465,2.53574490904516e-07,7.28659114851394e-07
"SDR42E1","Caudal nidopallium",126,49,175,0.72,0.28,5.24419471299672e-09,1.82298197166077e-08
"SLC22A31","Caudal nidopallium",354,209,563,0.629,0.371,1.04847982984172e-09,4.25216819880253e-09
"SLC7A5","Caudal nidopallium",66,317,383,0.172,0.828,1.89721640676228e-40,1.73120997117058e-39
"SNTB2","Caudal nidopallium",161,115,276,0.583,0.417,0.00664936717837689,0.0121350951005378
"SPATA2L","Caudal nidopallium",6700,4635,11335,0.591,0.409,3.50395538854816e-84,8.5262914454672e-83
"SPG7","Caudal nidopallium",4556,4810,9366,0.486,0.514,0.00893938382324641,0.0155375004546902
"SPIRE2","Caudal nidopallium",5310,5275,10585,0.502,0.498,0.741045777268251,0.821614290715484
"TANGO6","Caudal nidopallium",542,967,1509,0.359,0.641,4.35274949919166e-28,2.64792261200826e-27
"TCF25","Caudal nidopallium",410,685,1095,0.374,0.626,8.51747206553295e-17,4.44125329131361e-16
"TERF2","Caudal nidopallium",1455,1086,2541,0.573,0.427,2.61249756879229e-13,1.19195201576148e-12
"TLDC1","Caudal nidopallium",29,26,55,0.527,0.473,0.787706189670044,0.833370316607438
"TMED6","Caudal nidopallium",2,5,7,0.286,0.714,0.453125,0.560646186440678
"TUBB3","Caudal nidopallium",246,0,246,1,0,1.76868732008332e-74,2.58228348732165e-73
"USP10","Caudal nidopallium",53,91,144,0.368,0.632,0.00194253197008034,0.00383256307610445
"UTP4","Caudal nidopallium",889,763,1652,0.538,0.462,0.00209278595447627,0.0040203519651781
"VPS4A","Caudal nidopallium",7209,7387,14596,0.494,0.506,0.142901078789768,0.204544681404963
"VPS9D1","Caudal nidopallium",2377,1290,3667,0.648,0.352,5.6057425574782e-73,6.82032011159847e-72
"ZC3H18","Caudal nidopallium",26,22,48,0.542,0.458,0.665465812076621,0.782665315521512
"ZCCHC14","Caudal nidopallium",12,145,157,0.076,0.924,3.62680006611447e-30,2.94173783140396e-29
"ZNF276","Caudal nidopallium",683,688,1371,0.498,0.502,0.913977662311509,0.939723511954087
