"gene","Tissue","alt_allele_count","ref_allele_count","total_count","inv_allele_ratio","ref_allele_ratio","pvalue","padjust"
"ACSF3","Pre-optic area",692,945,1637,0.423,0.577,4.36224019075237e-10,1.34502405881531e-09
"ANKRD11","Pre-optic area",7253,6779,14032,0.517,0.483,6.51398904238926e-05,0.000150635996605252
"ARY1","Pre-optic area",116,240,356,0.326,0.674,4.54222297850007e-11,1.4614108713435e-10
"ARY2","Pre-optic area",703,1372,2075,0.339,0.661,1.56566374278514e-49,1.44823896207626e-48
"ARYL","Pre-optic area",8,8,16,0.5,0.5,1,1
"ATMIN","Pre-optic area",3474,3102,6576,0.528,0.472,4.73550037509694e-06,1.16809009252391e-05
"ATP2C2","Pre-optic area",10,2,12,0.833,0.167,0.03857421875,0.0559704350490196
"BANP","Pre-optic area",46,22,68,0.676,0.324,0.00490338251635593,0.00863929300500807
"BCO1","Pre-optic area",127,297,424,0.3,0.7,8.71606600389135e-17,3.79405226051741e-16
"CA5A","Pre-optic area",4905,5623,10528,0.466,0.534,2.73825181853194e-12,1.01315317285682e-11
"CDH13","Pre-optic area",196,197,393,0.499,0.501,1,1
"CDH15","Pre-optic area",8,16,24,0.333,0.667,0.151589632034302,0.207733940195154
"CDK10","Pre-optic area",2937,1442,4379,0.671,0.329,4.0794969079154e-115,1.00627590395246e-113
"CDT1","Pre-optic area",17,43,60,0.283,0.717,0.00106576577914344,0.0020222222476055
"CENPN","Pre-optic area",21,44,65,0.323,0.677,0.00591843325261931,0.01018521071381
"CHMP1A","Pre-optic area",5546,4510,10056,0.552,0.448,5.14524440746418e-25,2.53832057434899e-24
"CHTF8","Pre-optic area",251,331,582,0.431,0.569,0.0010408532006301,0.0020222222476055
"CMIP","Pre-optic area",2085,1838,3923,0.531,0.469,8.53730962973743e-05,0.000191442700788052
"COG8","Pre-optic area",1059,944,2003,0.529,0.471,0.010840768708638,0.017827041876427
"COTL1","Pre-optic area",6414,5567,11981,0.535,0.465,1.05726438113743e-14,4.3465313446761e-14
"CPNE7","Pre-optic area",1825,2852,4677,0.39,0.61,2.8165362325798e-51,2.97748116015579e-50
"CRISPLD2","Pre-optic area",21,45,66,0.318,0.682,0.0042724050316517,0.00771117005712745
"CYB5B","Pre-optic area",1656,1456,3112,0.532,0.468,0.000359209661384814,0.000781809263014007
"DPEP1","Pre-optic area",35,7,42,0.833,0.167,1.50972009578255e-05,3.6038479705777e-05
"DUSP15","Pre-optic area",3,3,6,0.5,0.5,1,1
"EMC8","Pre-optic area",37,37,74,0.5,0.5,1,1
"FANCA","Pre-optic area",40,25,65,0.615,0.385,0.0816815339415403,0.11623910599373
"GAN","Pre-optic area",343,224,567,0.605,0.395,6.5936185020595e-07,1.7425991755443e-06
"GAS8","Pre-optic area",355,359,714,0.497,0.503,0.910617880153798,1
"GINS2","Pre-optic area",160,116,276,0.58,0.42,0.00952016381278164,0.0160111845942237
"GSE1","Pre-optic area",4,5,9,0.444,0.556,1,1
"HAS3","Pre-optic area",33,22,55,0.6,0.4,0.177001364770359,0.238147290781937
"HSBP1","Pre-optic area",13275,16193,29468,0.45,0.55,7.34671761385593e-65,9.06095172375565e-64
"HSD17B2","Pre-optic area",16,2,18,0.889,0.111,0.001312255859375,0.00242767333984375
"JPH3","Pre-optic area",97,90,187,0.519,0.481,0.660948463515193,0.776352163494036
"KCNG4","Pre-optic area",4,14,18,0.222,0.778,0.0308837890625,0.0457080078125
"KIAA0513","Pre-optic area",24,167,191,0.126,0.874,1.47152804983316e-27,7.77807683483242e-27
"KLHDC4","Pre-optic area",177,199,376,0.471,0.529,0.27879376212612,0.361942778900577
"KLHL36","Pre-optic area",35,247,282,0.124,0.876,1.83902332119057e-40,1.36087725768102e-39
"LOC106888094","Pre-optic area",170,80,250,0.68,0.32,1.27601906458457e-08,3.631746568433e-08
