"gene","Tissue","alt_allele_count","ref_allele_count","total_count","inv_allele_ratio","ref_allele_ratio","pvalue","padjust"
"ACSF3","Raphe",703,924,1627,0.432,0.568,4.70117700522701e-08,1.35610875150779e-07
"ANKRD11","Raphe",6619,6029,12648,0.523,0.477,1.62171831003554e-07,4.50477308343205e-07
"ARY1","Raphe",208,398,606,0.343,0.657,9.86111899753364e-15,3.52182821340487e-14
"ARY2","Raphe",340,919,1259,0.27,0.73,7.08021492034791e-62,6.63770148782616e-61
"ARYL","Raphe",10,15,25,0.4,0.6,0.42435622215271,0.539435875617852
"ATMIN","Raphe",2410,2071,4481,0.538,0.462,4.38165182899252e-07,1.13318581784289e-06
"ATP2C2","Raphe",13,5,18,0.722,0.278,0.09625244140625,0.14732516541773
"BANP","Raphe",33,31,64,0.516,0.484,0.900653246252036,0.938180464845871
"BCO1","Raphe",164,435,599,0.274,0.726,2.83039261820888e-29,1.92981314877878e-28
"CA5A","Raphe",7362,7782,15144,0.486,0.514,0.000661603931243599,0.00134108904981811
"CDH13","Raphe",144,146,290,0.497,0.503,0.953186978678464,0.953186978678464
"CDH15","Raphe",29,40,69,0.42,0.58,0.228400225353298,0.311454852754497
"CDK10","Raphe",3164,1331,4495,0.704,0.296,3.26402414885019e-169,2.44801811163765e-167
"CDT1","Raphe",15,37,52,0.288,0.712,0.00318525344777677,0.00582668313617703
"CENPN","Raphe",53,135,188,0.282,0.718,1.93841720791216e-09,6.0575537747255e-09
"CHMP1A","Raphe",5444,4287,9731,0.559,0.441,8.69144874879749e-32,6.51858656159811e-31
"CHTF8","Raphe",272,312,584,0.466,0.534,0.106483809384285,0.159725714076427
"CMIP","Raphe",2081,2104,4185,0.497,0.503,0.733804416302317,0.821422854069757
"COG8","Raphe",948,846,1794,0.528,0.472,0.0170749413304605,0.0284582355507676
"COTL1","Raphe",5932,5041,10973,0.541,0.459,1.88199666885203e-17,7.42893421915276e-17
"CPNE7","Raphe",149,338,487,0.306,0.694,6.16214377122381e-18,2.56755990467659e-17
"CRISPLD2","Raphe",19,34,53,0.358,0.642,0.0534388105377112,0.0852746976665605
"CYB5B","Raphe",1743,1532,3275,0.532,0.468,0.000241865613389552,0.000518283457263326
"DPEP1","Raphe",23,1,24,0.958,0.042,2.98023223876954e-06,7.21023928734565e-06
