"gene","Tissue","alt_allele_count","ref_allele_count","total_count","inv_allele_ratio","ref_allele_ratio","pvalue","padjust"
"ACSF3","Ventral tegmental area and substantia nigra",685,915,1600,0.428,0.572,9.77741435227698e-09,3.05544198508656e-08
"ANKRD11","Ventral tegmental area and substantia nigra",7013,6366,13379,0.524,0.476,2.32333570716816e-08,6.45371029768934e-08
"ARY1","Ventral tegmental area and substantia nigra",168,352,520,0.323,0.677,5.0409362777515e-16,1.89035110415681e-15
"ARY2","Ventral tegmental area and substantia nigra",529,1051,1580,0.335,0.665,5.87800491940694e-40,4.4085036895552e-39
"ARYL","Ventral tegmental area and substantia nigra",12,20,32,0.375,0.625,0.215327149722725,0.293627931440079
"ATMIN","Ventral tegmental area and substantia nigra",2557,2122,4679,0.546,0.454,2.16464776942445e-10,7.05863403073192e-10
"ATP2C2","Ventral tegmental area and substantia nigra",10,5,15,0.667,0.333,0.3017578125,0.377197265625
"BANP","Ventral tegmental area and substantia nigra",48,31,79,0.608,0.392,0.0711634086952911,0.10892358473769
"BCO1","Ventral tegmental area and substantia nigra",171,415,586,0.292,0.708,2.1902174710399e-24,9.66272413694075e-24
"CA5A","Ventral tegmental area and substantia nigra",7729,7717,15446,0.5,0.5,0.929472955728721,0.981837629290902
"CDH13","Ventral tegmental area and substantia nigra",170,169,339,0.501,0.499,1,1
"CDH15","Ventral tegmental area and substantia nigra",9,20,29,0.31,0.69,0.0614283457398414,0.098023955967832
"CDK10","Ventral tegmental area and substantia nigra",3294,1381,4675,0.705,0.295,3.70130288205508e-177,2.77597716154131e-175
"CDT1","Ventral tegmental area and substantia nigra",16,46,62,0.258,0.742,0.000176327112551443,0.000348014037930479
"CENPN","Ventral tegmental area and substantia nigra",41,64,105,0.39,0.61,0.03130178457554,0.0521696409592334
"CHMP1A","Ventral tegmental area and substantia nigra",5541,4154,9695,0.572,0.428,3.77858734602728e-45,3.14882278835607e-44
"CHTF8","Ventral tegmental area and substantia nigra",265,319,584,0.454,0.546,0.0282101848306754,0.0481855406422414
"CMIP","Ventral tegmental area and substantia nigra",2335,2272,4607,0.507,0.493,0.361009789242068,0.443864494969756
"COG8","Ventral tegmental area and substantia nigra",1046,893,1939,0.539,0.461,0.000553372732718891,0.00106417833215171
"COTL1","Ventral tegmental area and substantia nigra",5774,5194,10968,0.526,0.474,3.20524820609521e-08,8.58548626632646e-08
"CPNE7","Ventral tegmental area and substantia nigra",778,976,1754,0.444,0.556,2.4945960101175e-06,5.66953638663069e-06
"CRISPLD2","Ventral tegmental area and substantia nigra",27,78,105,0.257,0.743,6.48971715083355e-07,1.57009285907263e-06
"CYB5B","Ventral tegmental area and substantia nigra",1805,1569,3374,0.535,0.465,5.18220749927173e-05,0.000107962656234828
"DPEP1","Ventral tegmental area and substantia nigra",44,1,45,0.978,0.022,2.61479726759717e-12,8.91408159408125e-12
"DUSP15","Ventral tegmental area and substantia nigra",6,2,8,0.75,0.25,0.2890625,0.367452330508475
"EMC8","Ventral tegmental area and substantia nigra",29,34,63,0.46,0.54,0.614655015765464,0.698471608824391
"FANCA","Ventral tegmental area and substantia nigra",32,45,77,0.416,0.584,0.171060973553913,0.24206741540648
"GAN","Ventral tegmental area and substantia nigra",387,262,649,0.596,0.404,1.05122636518345e-06,2.4638117933987e-06
"GAS8","Ventral tegmental area and substantia nigra",400,433,833,0.48,0.52,0.267533919318083,0.34594903360097
"GINS2","Ventral tegmental area and substantia nigra",205,171,376,0.545,0.455,0.0886502154919666,0.13297532323795
"GSE1","Ventral tegmental area and substantia nigra",4,7,11,0.364,0.636,0.548828125,0.633263221153846
"HAS3","Ventral tegmental area and substantia nigra",30,28,58,0.517,0.483,0.895683213889592,0.959660586310277
