gene,inv_allele_ratio_tna,inv_allele_ratio_adr,inv_allele_ratio_gon,inv_allele_ratio_hyp,inv_allele_ratio_liv,inv_allele_ratio_ls,inv_allele_ratio_nc,inv_allele_ratio_pit,inv_allele_ratio_poa,inv_allele_ratio_rap,inv_allele_ratio_vta,mean_ase
ACSF3,0.587,0.496,0.527,0.545,0.467,0.591,0.599,0.533,0.557,0.539,0.529,0.542727273
ANKRD11,0.496,0.509,0.5,0.51,0.518,0.506,0.505,0.496,0.496,0.519,0.52,0.506818182
APRT,0.64,0.622,0.477,0.622,0.458,0.65,0.676,0.682,0.625,0.597,0.603,0.604727273
ARY1,0.411,0.395,0.419,0.358,0.474,0.371,0.357,0.493,0.343,0.389,0.392,0.400181818
ARY2,0.411,0.611,0.055,0.371,0.482,0.34,0.372,0.529,0.351,0.28,0.323,0.375
ARYL,0.438,0.567,0.448,0.571,0.542,0.267,0.462,0.571,0.357,0.552,0.55,0.484090909
ATMIN,0.531,0.48,0.438,0.566,0.414,0.554,0.545,0.486,0.559,0.557,0.58,0.519090909
ATP2C2,0.625,0.461,0.745,0.573,0.567,0.671,0.672,0.448,0.667,0.569,0.571,0.597181818
BANP,0.548,0.616,0.552,0.61,0.639,0.618,0.553,0.601,0.619,0.608,0.629,0.599363636
BCO1,0.247,0.444,0.43,0.306,0.685,0.306,0.291,0.295,0.346,0.264,0.277,0.353727273
CA5A,0.433,0.45,0.556,0.453,0.487,0.455,0.429,0.534,0.452,0.462,0.465,0.470545455
CBFA2T3,0.709,0.659,0.568,0.647,0.489,0.716,0.706,0.6,0.688,0.663,0.675,0.647272727
CDH13,0.597,0.367,0.498,0.555,0.364,0.539,0.558,0.215,0.426,0.522,0.511,0.468363636
CDH15,0.458,0.606,0.531,0.545,NA,0.435,0.4,0.4,0.524,0.516,0.471,0.4886
CDK10,0.678,0.67,0.606,0.685,0.69,0.667,0.67,0.64,0.684,0.701,0.72,0.673727273
