"GID","ALTERNATIVE_SYMBOL"
"106888578","DAB2IP"
"106893155","BICRAL"
"106898432","LOC106898432"
"106895288","PRKAG3"
"106898440","LOC106898440"
"106898446","LOC106898446"
"106893672","LOC106893672"
"106893678","LOC106893678"
"106893679","LOC106893679"
"106888010","PSEN1"
"106885247","LOC106885247"
"106885257","LOC106885257"
"106885260","LOC106885260"
"106885264","LOC106885264"
"106885267","LOC106885267"
"106885268","LOC106885268"
"106885271","LOC106885271"
"106885275","LOC106885275"
"106885476","AK4"
"106899902","LOC106899902"
"106899904","LOC106899904"
"106899906","LOC106899906"
"106899917","LOC106899917"
"106893688","LOC106893688"
"106893841","PER3"
"106889379","LOC106889379"
"106890435","MAFK"
"106898464","FKBP6"
"106893546","CENPX"
"106899926","LOC106899926"
"106899927","LOC106899927"
"106895216","FKBP7"
"106895227","SF3B1"
"106894011","DFFB"
"106892345","FKBP9"
"106885283","LOC106885283"
"106889521","LOC106889521"
"106889537","LOC106889537"
"106889538","LOC106889538"
"106889547","LOC106889547"
"106889562","LOC106889562"
"106889563","LOC106889563"
"106889566","LOC106889566"
"106889579","LOC106889579"
"106892976","KIF6"
"106887232","LOC106887232"
"106887233","LOC106887233"
"106890253","ATP13A5"
"106893723","LOC106893723"
"106884764","ZC3H7A"
"106889600","LOC106889600"
"106895633","LOC106895633"
"106900729","LOC106900729"
"106887238","LOC106887238"
"106887245","LOC106887245"
"106891758","LOC106891758"
"106897432","LOC106897432"
"106889615","LOC106889615"
"106889631","LOC106889631"
"106891776","LOC106891776"
"106891778","LOC106891778"
"106891781","LOC106891781"
"106891789","LOC106891789"
"106899007","SIRT4"
"106894501","PEX12"
"106887990","HEATR5A"
"106893747","LOC106893747"
"106890604","SFPQ"
"106884562","GRK4"
"106898499","LOC106898499"
"106898501","LOC106898501"
"106889680","LOC106889680"
"106889683","LOC106889683"
"106889688","LOC106889688"
"106889691","LOC106889691"
"106889695","LOC106889695"
"106889705","LOC106889705"
"106889715","LOC106889715"
"106889723","LOC106889723"
"106884953","GFER"
"106885306","LOC106885306"
"106885308","LOC106885308"
"106896565","MTAP"
"106888632","CARD9"
"106900743","LOC106900743"
"106896926","ING4"
"106887931","DTD2"
"106899962","LOC106899962"
"106899963","LOC106899963"
"106887370","LOC106887370"
"106887371","LOC106887371"
"106887372","LOC106887372"
"106887374","LOC106887374"
"106887376","LOC106887376"
"106887377","LOC106887377"
"106887378","LOC106887378"
"106887379","LOC106887379"
"106887392","LOC106887392"
"106887400","LOC106887400"
"106887402","LOC106887402"
"106887403","LOC106887403"
"106893760","LOC106893760"
"106885312","LOC106885312"
"106885722","IFNGR2"
"106885314","LOC106885314"
"106898520","LOC106898520"
"106891519","CCNG1"
"106891853","LOC106891853"
"106891861","LOC106891861"
"106891863","LOC106891863"
"106891864","LOC106891864"
"106891866","LOC106891866"
"106899914","ATP2A2"
"106889738","LOC106889738"
"106889746","LOC106889746"
"106889763","LOC106889763"
"106893772","LOC106893772"
"106895610","MTCP1"
"106898543","LOC106898543"
"106885334","LOC106885334"
"106885339","LOC106885339"
"106885342","LOC106885342"
"106885343","LOC106885343"
"106885371","LOC106885371"
"106885376","LOC106885376"
"106885377","LOC106885377"
"106885390","LOC106885390"
"106885420","LOC106885420"
"106885421","LOC106885421"
"106885452","LOC106885452"
"106885454","LOC106885454"
"106885457","LOC106885457"
"106885465","LOC106885465"
"106885468","LOC106885468"
"106885477","LOC106885477"
"106885479","LOC106885479"
"106893819","LOC106893819"
"106893824","LOC106893824"
"106901389","DYRK2"
"106902096","LOC106902096"
"106902099","LOC106902099"
"106902101","LOC106902101"
"106886027","BAG1"
"106891963","LOC106891963"
"106891964","LOC106891964"
"106895906","LOC106895906"
"106890927","CNIH1"
"106889832","LOC106889832"
"106889833","LOC106889833"
"106889834","LOC106889834"
"106889835","LOC106889835"
"106885694","SON"
"106889862","LOC106889862"
"106889877","LOC106889877"
"106889885","LOC106889885"
"106900834","LOC106900834"
"106895519","AR"
"106885497","LOC106885497"
"106885504","LOC106885504"
"106885505","LOC106885505"
"106885508","LOC106885508"
"106885511","LOC106885511"
"106885515","LOC106885515"
"106885536","LOC106885536"
"106885541","LOC106885541"
"106885560","LOC106885560"
"106885561","LOC106885561"
"106890442","LOC106890442"
"106901656","AFTPH"
"106885572","LOC106885572"
"106902679","IFT20"
"106887565","CCNT2"
"106893911","LOC106893911"
"106893913","LOC106893913"
"106893915","LOC106893915"
"106893916","LOC106893916"
"106889897","LOC106889897"
"106889900","LOC106889900"
"106888794","CHDH"
"106897631","LOC106897631"
"106894340","SRI"
"106900837","BOK"
"106897402","ASB10"
"106901517","IFT27"
"106889922","LOC106889922"
"106889923","LOC106889923"
"106889925","LOC106889925"
"106889926","LOC106889926"
"106889928","LOC106889928"
"106889934","LOC106889934"
"106889948","LOC106889948"
"106893641","FBXO36"
"106896038","LOC106896038"
"106896040","LOC106896040"
"106896045","LOC106896045"
"106890773","ADAMTS9"
"106889499","LRRC28"
"106888751","ASB14"
"106898793","AP1S2"
"106892106","TCF3"
"106895604","GRIA3"
"106886856","LOC106886856"
"106898398","KANSL1L"
"106901028","LOC106901028"
"106884784","METTL22"
"106894476","LOC106894476"
"106894477","LOC106894477"
"106889452","DAPK2"
"106889967","LOC106889967"
"106889970","LOC106889970"
"106889971","LOC106889971"
"106895329","KLF7"
"106902193","ZFAT"
"106892050","LOC106892050"
"106887654","IFT52"
"106897488","RAD23B"
"106889990","LOC106889990"
"106901199","RBFOX2"
"106901263","SLC38A1"
"106893928","RGS9"
"106890367","ASB7"
"106902429","PSPC1"
"106893938","LOC106893938"
"106902628","OTOS"
"106896100","LOC106896100"
"106885700","KDM6A"
"106892126","LOC106892126"
"106892127","LOC106892127"
"106892129","LOC106892129"
"106892130","LOC106892130"
"106892131","LOC106892131"
"106901343","TST"
"106900053","MAN2C1"
"106891546","RAD50"
"106893850","OTUD3"
"106902606","MED4"
"106893964","LOC106893964"
"106893976","LOC106893976"
"106901658","SOS1"
"106894530","CRK"
"106892222","LOC106892222"
"106890596","LOC106890596"
"106890605","LOC106890605"
"106890610","LOC106890610"
"106887111","MANBA"
"106888885","RO60"
"106886146","SKIL"
"106902280","OTUD6B"
"106890305","IFT80"
"106886805","ALKBH2"
"106891777","PFKFB2"
"106891848","RCAN3"
"106900374","LOC106900374"
"106900376","LOC106900376"
"106900378","LOC106900378"
"106894052","LOC106894052"
"106902141","AGO2"
"106892813","TTBK2"
"106897595","VSTM5"
"106896785","BMAL2"
"106895645","TBC1D8B"
"106898885","GYG2"
"106902483","LOC106902483"
"106902486","LOC106902486"
"106902492","LOC106902492"
"106902494","LOC106902494"
"106902527","LOC106902527"
"106902528","LOC106902528"
"106898648","NAP1L4"
"106902549","LOC106902549"
"106890711","LOC106890711"
"106890712","LOC106890712"
"106896596","LOC106896596"
"106892322","LOC106892322"
"106892395","TTC12"
"106886725","TTC14"
"106887399","TRIO"
"106887556","LOC106887556"
"106900440","LOC106900440"
"106902942","PTCD3"
"106886233","CFAP221"
"106890411","GPER1"
"106886010","ROCK1"
"106892236","DNAJC24"
"106890030","LOC106890030"
"106890035","LOC106890035"
"106890036","LOC106890036"
"106894091","LOC106894091"
"106894098","LOC106894098"
"106894104","LOC106894104"
"106894109","LOC106894109"
"106894110","LOC106894110"
"106894114","LOC106894114"
"106894119","LOC106894119"
"106894123","LOC106894123"
"106887910","AP4S1"
"106898949","EXOSC7"
"106887956","EIF2AK4"
"106901165","LOC106901165"
"106901166","LOC106901166"
"106901171","LOC106901171"
"106901172","LOC106901172"
"106901177","LOC106901177"
"106901178","LOC106901178"
"106901183","LOC106901183"
"106901188","LOC106901188"
"106901198","LOC106901198"
"106901204","LOC106901204"
"106901209","LOC106901209"
"106901214","LOC106901214"
"106895018","ASIC4"
"106892393","LOC106892393"
"106892400","LOC106892400"
"106893399","SRSF2"
"106890042","LOC106890042"
"106888775","CACNA2D3"
"106900104","LOC106900104"
"106900105","LOC106900105"
"106900106","LOC106900106"
"106890061","LOC106890061"
"106890067","LOC106890067"
"106898763","LOC106898763"
"106890121","NRBP2"
"106891188","KEL"
"106887598","LOC106887598"
"106893313","TTC7A"
"106890069","LOC106890069"
"106894140","LOC106894140"
"106894813","LOC106894813"
"106901258","GRAMD4"
"106887115","SLC25A16"
"106890080","LOC106890080"
"106888321","CTU2"
"106900110","LOC106900110"
"106895153","CFLAR"
"106890101","LOC106890101"
"106891022","SH2D1B"
"106886377","EXTL2"
"106897733","LOC106897733"
"106892601","FGF2"
"106890108","LOC106890108"
"106890110","LOC106890110"
"106890117","LOC106890117"
"106896240","LOC106896240"
"106896264","LOC106896264"
"106890975","LOC106890975"
"106890977","LOC106890977"
"106891225","SPTLC1"
"106894549","LIG3"
"106894427","TLCD2"
"106902728","NKAIN2"
