"GID","ENSEMBL","ENSEMBLTRANS","ENSEMBLPROT"
106894185,"ENSCPUG00000009444","ENSCPUT00000015943.1","ENSCPUP00000013348.1"
106889467,"ENSCPUG00000000236","",""
106889467,"ENSCPUG00000000236","ENSCPUT00000000334.1","ENSCPUP00000000284.1"
106894274,"","",""
106902204,"ENSCPUG00000000674","",""
106902204,"ENSCPUG00000000674","ENSCPUT00000001063.1","ENSCPUP00000000866.1"
106886060,"ENSCPUG00000006817","ENSCPUT00000011469.1","ENSCPUP00000009599.1"
106888197,"ENSCPUG00000009710","ENSCPUT00000016351.1","ENSCPUP00000013699.1"
106888197,"ENSCPUG00000009710","ENSCPUT00000016350.1","ENSCPUP00000013698.1"
106884631,"ENSCPUG00000016869","ENSCPUT00000029354.1","ENSCPUP00000024900.1"
106884631,"ENSCPUG00000016869","",""
106892066,"ENSCPUG00000008725","",""
106892066,"ENSCPUG00000008725","ENSCPUT00000014671.1","ENSCPUP00000012329.1"
106892066,"ENSCPUG00000008725","ENSCPUT00000014673.1","ENSCPUP00000012331.1"
106890370,"ENSCPUG00000017255","",""
106890370,"ENSCPUG00000017255","ENSCPUT00000030097.1","ENSCPUP00000025509.1"
106890370,"ENSCPUG00000017255","ENSCPUT00000030098.1","ENSCPUP00000025510.1"
106890370,"ENSCPUG00000017255","ENSCPUT00000030095.1","ENSCPUP00000025507.1"
106885634,"ENSCPUG00000015422","ENSCPUT00000026788.1","ENSCPUP00000022708.1"
106897157,"ENSCPUG00000003925","",""
106897157,"ENSCPUG00000003925","ENSCPUT00000006496.1","ENSCPUP00000005347.1"
106890999,"ENSCPUG00000004301","ENSCPUT00000007134.1","ENSCPUP00000005869.1"
106890999,"ENSCPUG00000004301","",""
106887975,"ENSCPUG00000019448","ENSCPUT00000034082.1","ENSCPUP00000028931.1"
106887975,"ENSCPUG00000019448","ENSCPUT00000034083.1","ENSCPUP00000028932.1"
106895357,"ENSCPUG00000004777","ENSCPUT00000007937.1","ENSCPUP00000006575.1"
106897775,"ENSCPUG00000006378","ENSCPUT00000010679.1","ENSCPUP00000008937.1"
106897775,"ENSCPUG00000006378","",""
106897775,"ENSCPUG00000006378","ENSCPUT00000010680.1","ENSCPUP00000008938.1"
106887073,"ENSCPUG00000015001","ENSCPUT00000026087.1","ENSCPUP00000022091.1"
106887073,"ENSCPUG00000015001","ENSCPUT00000026089.1","ENSCPUP00000022092.1"
106887442,"","",""
106894681,"ENSCPUG00000012098","ENSCPUT00000020804.1","ENSCPUP00000017554.1"
106894681,"ENSCPUG00000012098","",""
106901000,"ENSCPUG00000012473","",""
106901000,"ENSCPUG00000012473","ENSCPUT00000022332.1","ENSCPUP00000018822.1"
106901000,"ENSCPUG00000012473","ENSCPUT00000022336.1","ENSCPUP00000018826.1"
106886529,"ENSCPUG00000004323","ENSCPUT00000007166.1","ENSCPUP00000005897.1"
106892177,"","",""
106902314,"ENSCPUG00000013114","ENSCPUT00000022604.1","ENSCPUP00000019035.1"
106897880,"ENSCPUG00000011371","ENSCPUT00000019499.1","ENSCPUP00000016446.1"
106901435,"","",""
106892797,"ENSCPUG00000013499","ENSCPUT00000023344.1","ENSCPUP00000019673.1"
106897119,"ENSCPUG00000004051","ENSCPUT00000006707.1","ENSCPUP00000005523.1"
106897119,"ENSCPUG00000004051","ENSCPUT00000006711.1","ENSCPUP00000005527.1"
106888168,"ENSCPUG00000008500","ENSCPUT00000014299.1","ENSCPUP00000012024.1"
106898925,"ENSCPUG00000013372","ENSCPUT00000023071.1","ENSCPUP00000019422.1"
106891203,"","",""
106886509,"ENSCPUG00000016987","ENSCPUT00000029612.1","ENSCPUP00000025111.1"
106886509,"ENSCPUG00000016987","",""
106886509,"ENSCPUG00000016987","ENSCPUT00000029601.1","ENSCPUP00000025103.1"
106886509,"ENSCPUG00000016987","ENSCPUT00000029603.1","ENSCPUP00000025105.1"
106887980,"ENSCPUG00000001559","",""
106887980,"ENSCPUG00000001559","ENSCPUT00000002526.1","ENSCPUP00000002101.1"
106887980,"ENSCPUG00000001559","ENSCPUT00000002543.1","ENSCPUP00000002115.1"
106887980,"ENSCPUG00000001559","ENSCPUT00000002475.1","ENSCPUP00000002055.1"
106887980,"ENSCPUG00000001559","ENSCPUT00000002504.1","ENSCPUP00000002080.1"
106887980,"ENSCPUG00000001559","ENSCPUT00000002455.1","ENSCPUP00000002037.1"
106887980,"ENSCPUG00000001559","ENSCPUT00000002513.1","ENSCPUP00000002089.1"
106887980,"ENSCPUG00000001559","ENSCPUT00000002573.1","ENSCPUP00000002142.1"
106887980,"ENSCPUG00000001559","ENSCPUT00000002633.1","ENSCPUP00000002190.1"
106899221,"ENSCPUG00000015722","ENSCPUT00000027420.1","ENSCPUP00000023245.1"
106899221,"ENSCPUG00000015722","ENSCPUT00000027418.1",""
106899221,"ENSCPUG00000015722","",""
106897067,"ENSCPUG00000004262","",""
106897067,"ENSCPUG00000004262","ENSCPUT00000007072.1","ENSCPUP00000005825.1"
106886224,"ENSCPUG00000003475","ENSCPUT00000005701.1","ENSCPUP00000004704.1"
106888905,"ENSCPUG00000001516","ENSCPUT00000002377.1","ENSCPUP00000001973.1"
106888905,"ENSCPUG00000001516","",""
106891171,"","",""
106886692,"","",""
106889056,"ENSCPUG00000004894","",""
106889056,"ENSCPUG00000004894","ENSCPUT00000008151.1","ENSCPUP00000006762.1"
106889056,"ENSCPUG00000004894","ENSCPUT00000008156.1","ENSCPUP00000006767.1"
106889056,"ENSCPUG00000004894","ENSCPUT00000008159.1","ENSCPUP00000006770.1"
106898830,"ENSCPUG00000007260","ENSCPUT00000012210.1","ENSCPUP00000010234.1"
106887679,"ENSCPUG00000018113","ENSCPUT00000031680.1","ENSCPUP00000026898.1"
106884921,"ENSCPUG00000016939","ENSCPUT00000029508.1","ENSCPUP00000025031.1"
106884921,"ENSCPUG00000016939","",""
106890318,"ENSCPUG00000017148","ENSCPUT00000029899.1","ENSCPUP00000025346.1"
106895951,"ENSCPUG00000016625","ENSCPUT00000028913.1","ENSCPUP00000024530.1"
106886107,"","",""
106886601,"ENSCPUG00000010227","",""
106886601,"ENSCPUG00000010227","ENSCPUT00000017348.1","ENSCPUP00000014568.1"
106885689,"ENSCPUG00000012459","ENSCPUT00000021468.1","ENSCPUP00000018083.1"
106890222,"ENSCPUG00000017150","ENSCPUT00000029919.1","ENSCPUP00000025364.1"
106886620,"ENSCPUG00000011764","",""
106886620,"ENSCPUG00000011764","ENSCPUT00000020224.1","ENSCPUP00000017061.1"
106890859,"ENSCPUG00000019890","ENSCPUT00000034947.1","ENSCPUP00000029697.1"
106890859,"ENSCPUG00000019890","",""
106895550,"ENSCPUG00000001131","ENSCPUT00000001774.1","ENSCPUP00000001487.1"
106893066,"ENSCPUG00000014454","ENSCPUT00000025043.1","ENSCPUP00000021165.1"
106888895,"ENSCPUG00000009312","ENSCPUT00000015666.1","ENSCPUP00000013103.1"
106892361,"","",""
106898774,"","",""
106889197,"","",""
106896927,"ENSCPUG00000007140","",""
106896927,"ENSCPUG00000007140","ENSCPUT00000012036.1","ENSCPUP00000010078.1"
106884852,"ENSCPUG00000016867","ENSCPUT00000029350.1","ENSCPUP00000024896.1"
106884852,"ENSCPUG00000016867","",""
106884852,"ENSCPUG00000016867","ENSCPUT00000029352.1","ENSCPUP00000024898.1"
106884745,"ENSCPUG00000000290","ENSCPUT00000000402.1","ENSCPUP00000000340.1"
106888206,"","",""
106892685,"ENSCPUG00000012271","ENSCPUT00000021111.1","ENSCPUP00000017823.1"
106892685,"ENSCPUG00000012271","",""
106892685,"ENSCPUG00000012271","ENSCPUT00000021112.1","ENSCPUP00000017824.1"
106892499,"","",""
106891825,"","",""
106897543,"","",""
106885629,"ENSCPUG00000012476","ENSCPUT00000021505.1","ENSCPUP00000018115.1"
106891538,"ENSCPUG00000000783","ENSCPUT00000001232.1","ENSCPUP00000001011.1"
106900786,"ENSCPUG00000007218","ENSCPUT00000012151.1","ENSCPUP00000010179.1"
106894572,"ENSCPUG00000006794","ENSCPUT00000011420.1","ENSCPUP00000009555.1"
106894572,"ENSCPUG00000006794","ENSCPUT00000011416.1","ENSCPUP00000009551.1"
106893306,"ENSCPUG00000015604","ENSCPUT00000027071.1","ENSCPUP00000022967.1"
106893306,"ENSCPUG00000015604","",""
106893306,"ENSCPUG00000015604","ENSCPUT00000027069.1","ENSCPUP00000022965.1"
106895146,"ENSCPUG00000008215","ENSCPUT00000013797.1","ENSCPUP00000011577.1"
106899480,"ENSCPUG00000017879","",""
106899480,"ENSCPUG00000017879","ENSCPUT00000031302.1","ENSCPUP00000026579.1"
106899243,"ENSCPUG00000015917","ENSCPUT00000027659.1","ENSCPUP00000023457.1"
106899243,"ENSCPUG00000015917","",""
106891493,"ENSCPUG00000003613","",""
106891493,"ENSCPUG00000003613","ENSCPUT00000005963.1","ENSCPUP00000004913.1"
106897051,"","",""
106886785,"ENSCPUG00000014049","ENSCPUT00000024343.1","ENSCPUP00000020547.1"
106898538,"ENSCPUG00000016677","ENSCPUT00000029025.1","ENSCPUP00000024632.1"
106892073,"ENSCPUG00000009324","ENSCPUT00000015688.1","ENSCPUP00000013123.1"
106892073,"ENSCPUG00000009324","ENSCPUT00000015690.1","ENSCPUP00000013125.1"
106902866,"","",""
106890967,"ENSCPUG00000002957","ENSCPUT00000004726.1","ENSCPUP00000003869.1"
106890027,"ENSCPUG00000011696","",""
106890027,"ENSCPUG00000011696","ENSCPUT00000020092.1","ENSCPUP00000016954.1"
106887200,"ENSCPUG00000015241","ENSCPUT00000026487.1","ENSCPUP00000022451.1"
106894773,"ENSCPUG00000017717","ENSCPUT00000030997.1","ENSCPUP00000026308.1"
106894773,"ENSCPUG00000017717","",""
106899217,"","",""
106886036,"ENSCPUG00000005701","ENSCPUT00000009511.1","ENSCPUP00000007888.1"
106890356,"ENSCPUG00000017261","",""
106890356,"ENSCPUG00000017261","ENSCPUT00000030107.1","ENSCPUP00000025517.1"
106890223,"ENSCPUG00000016766","ENSCPUT00000029185.1","ENSCPUP00000024779.1"
106885157,"ENSCPUG00000019280","ENSCPUT00000033752.1","ENSCPUP00000028675.1"
106889824,"ENSCPUG00000000462","ENSCPUT00000000656.1","ENSCPUP00000000535.1"
106890519,"ENSCPUG00000018619","ENSCPUT00000032542.1","ENSCPUP00000027657.1"
106887732,"ENSCPUG00000013288","ENSCPUT00000022932.1","ENSCPUP00000019307.1"
106887732,"ENSCPUG00000013288","ENSCPUT00000022936.1","ENSCPUP00000019311.1"
106887732,"ENSCPUG00000013288","ENSCPUT00000022921.1","ENSCPUP00000019298.1"
106899021,"ENSCPUG00000014252","ENSCPUT00000024679.1","ENSCPUP00000020828.1"
106896887,"ENSCPUG00000005791","ENSCPUT00000009663.1","ENSCPUP00000008017.1"
106894839,"ENSCPUG00000017806","",""
106894839,"ENSCPUG00000017806","ENSCPUT00000031154.1","ENSCPUP00000026450.1"
106894839,"ENSCPUG00000017806","ENSCPUT00000031153.1","ENSCPUP00000026449.1"
106891571,"","",""
106894499,"ENSCPUG00000019774","ENSCPUT00000034741.1","ENSCPUP00000029516.1"
106894499,"ENSCPUG00000019774","ENSCPUT00000034742.1","ENSCPUP00000029517.1"
106898761,"ENSCPUG00000007480","ENSCPUT00000012573.1","ENSCPUP00000010538.1"
106900659,"ENSCPUG00000013097","ENSCPUT00000022580.1","ENSCPUP00000019012.1"
106884625,"ENSCPUG00000017393","ENSCPUT00000030402.1","ENSCPUP00000025781.1"
106884625,"ENSCPUG00000017393","",""
106899283,"ENSCPUG00000012691","ENSCPUT00000021909.1","ENSCPUP00000018448.1"
106885952,"ENSCPUG00000008805","ENSCPUT00000014793.1","ENSCPUP00000012432.1"
106886572,"","",""
106902716,"ENSCPUG00000017782","ENSCPUT00000031099.1","ENSCPUP00000026398.1"
106886966,"ENSCPUG00000008731","ENSCPUT00000014680.1","ENSCPUP00000012336.1"
106886966,"ENSCPUG00000008731","",""
106889253,"","",""
106898358,"ENSCPUG00000008400","ENSCPUT00000014103.1","ENSCPUP00000011846.1"
106885517,"","",""
106888395,"ENSCPUG00000008630","ENSCPUT00000014524.1","ENSCPUP00000012196.1"
106888395,"ENSCPUG00000008630","",""
106895612,"","",""
106888116,"ENSCPUG00000008664","ENSCPUT00000014564.1","ENSCPUP00000012231.1"
106899045,"ENSCPUG00000004455","",""
106899045,"ENSCPUG00000004455","ENSCPUT00000007398.1","ENSCPUP00000006098.1"
106895016,"","",""
106886468,"ENSCPUG00000011850","ENSCPUT00000020386.1","ENSCPUP00000017190.1"
106896617,"ENSCPUG00000003482","ENSCPUT00000005708.1","ENSCPUP00000004710.1"
106891066,"ENSCPUG00000004783","ENSCPUT00000007950.1","ENSCPUP00000006587.1"
106888084,"ENSCPUG00000008499","ENSCPUT00000014298.1","ENSCPUP00000012023.1"
106888276,"ENSCPUG00000008498","ENSCPUT00000014297.1","ENSCPUP00000012022.1"
106885513,"ENSCPUG00000010390","ENSCPUT00000017664.1","ENSCPUP00000014863.1"
106885514,"ENSCPUG00000010391","ENSCPUT00000017666.1","ENSCPUP00000014865.1"
106885460,"ENSCPUG00000010392","ENSCPUT00000017667.1","ENSCPUP00000014866.1"
106893292,"ENSCPUG00000002054","ENSCPUT00000003291.1","ENSCPUP00000002726.1"
106899102,"ENSCPUG00000010814","ENSCPUT00000018459.1","ENSCPUP00000015571.1"
106901896,"ENSCPUG00000014861","ENSCPUT00000025822.1","ENSCPUP00000021861.1"
106893591,"ENSCPUG00000005470","",""
106893591,"ENSCPUG00000005470","ENSCPUT00000009145.1","ENSCPUP00000007577.1"
106885947,"ENSCPUG00000006468","ENSCPUT00000010834.1","ENSCPUP00000009074.1"
106886087,"ENSCPUG00000006469","ENSCPUT00000010835.1","ENSCPUP00000009075.1"
106888153,"ENSCPUG00000013253","ENSCPUT00000022828.1","ENSCPUP00000019220.1"
106895135,"ENSCPUG00000004163","ENSCPUT00000006911.1","ENSCPUP00000005688.1"
106895476,"ENSCPUG00000001143","ENSCPUT00000001796.1","ENSCPUP00000001505.1"
106898723,"ENSCPUG00000005787","",""
106898723,"ENSCPUG00000005787","ENSCPUT00000009653.1","ENSCPUP00000008007.1"
106890819,"","",""
106902036,"","",""
106890927,"","",""
106893097,"ENSCPUG00000017905","ENSCPUT00000031348.1","ENSCPUP00000026616.1"
106893068,"ENSCPUG00000017916","ENSCPUT00000031367.1","ENSCPUP00000026630.1"
106891828,"ENSCPUG00000016300","ENSCPUT00000028335.1","ENSCPUP00000024036.1"
106898754,"ENSCPUG00000013311","ENSCPUT00000022963.1","ENSCPUP00000019334.1"
106893142,"ENSCPUG00000014448","ENSCPUT00000025034.1","ENSCPUP00000021157.1"
106902625,"ENSCPUG00000011802","ENSCPUT00000020301.1","ENSCPUP00000017111.1"
106897759,"ENSCPUG00000006499","ENSCPUT00000010881.1","ENSCPUP00000009110.1"
106886231,"","",""
106897908,"ENSCPUG00000009466","ENSCPUT00000015935.1","ENSCPUP00000013341.1"
106897908,"ENSCPUG00000009466","",""
106898659,"ENSCPUG00000000519","ENSCPUT00000000835.1","ENSCPUP00000000674.1"
106898659,"ENSCPUG00000000519","",""
106899862,"","",""
106891793,"ENSCPUG00000010613","",""
106891793,"ENSCPUG00000010613","ENSCPUT00000018059.1","ENSCPUP00000015228.1"
106885487,"ENSCPUG00000010214","",""
106885487,"ENSCPUG00000010214","ENSCPUT00000017321.1","ENSCPUP00000014543.1"
106897230,"","",""
106901425,"ENSCPUG00000004519","ENSCPUT00000007497.1","ENSCPUP00000006186.1"
106901447,"ENSCPUG00000001493","ENSCPUT00000002322.1","ENSCPUP00000001920.1"
106901447,"ENSCPUG00000001493","",""
106901447,"ENSCPUG00000001493","ENSCPUT00000002344.1","ENSCPUP00000001941.1"
106901447,"ENSCPUG00000001493","ENSCPUT00000002331.1","ENSCPUP00000001928.1"
106891489,"ENSCPUG00000003564","",""
106891489,"ENSCPUG00000003564","ENSCPUT00000005863.1","ENSCPUP00000004819.1"
106897272,"ENSCPUG00000004792","ENSCPUT00000007966.1","ENSCPUP00000006603.1"
106890054,"ENSCPUG00000011871","ENSCPUT00000020415.1","ENSCPUP00000017214.1"
106891614,"ENSCPUG00000001209","",""
106891614,"ENSCPUG00000001209","ENSCPUT00000001890.1","ENSCPUP00000001564.1"
106895346,"","",""
106898069,"ENSCPUG00000014621","ENSCPUT00000025349.1","ENSCPUP00000021444.1"
106898069,"ENSCPUG00000014621","ENSCPUT00000025348.1","ENSCPUP00000021443.1"
106898069,"ENSCPUG00000014621","ENSCPUT00000025350.1","ENSCPUP00000021445.1"
106895371,"ENSCPUG00000000985","ENSCPUT00000001540.1","ENSCPUP00000001283.1"
106897316,"","",""
106900365,"ENSCPUG00000003644","ENSCPUT00000006010.1","ENSCPUP00000004948.1"
106901730,"ENSCPUG00000009907","",""
106901730,"ENSCPUG00000009907","ENSCPUT00000016726.1","ENSCPUP00000014025.1"
106891821,"ENSCPUG00000016253","",""
106891821,"ENSCPUG00000016253","ENSCPUT00000028263.1","ENSCPUP00000023974.1"
106901662,"","",""
106893073,"ENSCPUG00000003055","",""
106893073,"ENSCPUG00000003055","ENSCPUT00000004955.1","ENSCPUP00000004083.1"
106898113,"ENSCPUG00000014425","ENSCPUT00000024983.1","ENSCPUP00000021114.1"
106887226,"ENSCPUG00000015253","ENSCPUT00000026511.1","ENSCPUP00000022473.1"
106894048,"ENSCPUG00000005581","ENSCPUT00000009326.1","ENSCPUP00000007743.1"
106894048,"ENSCPUG00000005581","ENSCPUT00000009323.1","ENSCPUP00000007740.1"
106894048,"ENSCPUG00000005581","",""
106894118,"ENSCPUG00000006273","ENSCPUT00000010508.1","ENSCPUP00000008787.1"
106894118,"ENSCPUG00000006273","",""
106901404,"ENSCPUG00000008249","ENSCPUT00000013869.1","ENSCPUP00000011643.1"
106895825,"ENSCPUG00000014154","ENSCPUT00000024518.1","ENSCPUP00000020697.1"
106890795,"ENSCPUG00000019344","ENSCPUT00000033899.1","ENSCPUP00000028795.1"
106890741,"","",""
106902544,"ENSCPUG00000001349","ENSCPUT00000002104.1","ENSCPUP00000001750.1"
106902544,"ENSCPUG00000001349","ENSCPUT00000002097.1","ENSCPUP00000001743.1"
106902544,"ENSCPUG00000001349","",""
106890648,"","",""
106898007,"ENSCPUG00000014432","ENSCPUT00000025211.1","ENSCPUP00000021315.1"
106890879,"ENSCPUG00000019936","ENSCPUT00000035020.1","ENSCPUP00000029766.1"
106888069,"ENSCPUG00000008018","",""
106888069,"ENSCPUG00000008018","ENSCPUT00000013472.1","ENSCPUP00000011308.1"
