"GID","GENETYPE"
106902846,"protein-coding"
106886612,"protein-coding"
106902123,"protein-coding"
106890135,"protein-coding"
106889772,"protein-coding"
106894226,"protein-coding"
106897855,"protein-coding"
106890960,"protein-coding"
106895195,"protein-coding"
106893223,"protein-coding"
106885394,"protein-coding"
106891847,"protein-coding"
106893168,"protein-coding"
106890032,"protein-coding"
106902381,"protein-coding"
106901344,"protein-coding"
106894570,"protein-coding"
106892725,"protein-coding"
106884783,"protein-coding"
106897485,"protein-coding"
106893751,"protein-coding"
106887305,"protein-coding"
106892511,"protein-coding"
106897870,"protein-coding"
106886230,"protein-coding"
106893927,"protein-coding"
106897744,"protein-coding"
106894344,"protein-coding"
106893254,"protein-coding"
106895233,"protein-coding"
106885439,"protein-coding"
106895301,"protein-coding"
106895580,"protein-coding"
106902133,"protein-coding"
106893312,"protein-coding"
106897370,"protein-coding"
106894893,"protein-coding"
106895952,"protein-coding"
106886708,"protein-coding"
106900251,"protein-coding"
106898357,"protein-coding"
106901332,"protein-coding"
106886420,"protein-coding"
106888027,"protein-coding"
106892610,"protein-coding"
106897399,"protein-coding"
106886687,"protein-coding"
106885751,"protein-coding"
106899613,"protein-coding"
106886778,"protein-coding"
106893374,"protein-coding"
106893001,"protein-coding"
106890979,"protein-coding"
106894407,"protein-coding"
106900384,"protein-coding"
106884974,"protein-coding"
106889307,"protein-coding"
106894376,"protein-coding"
106897368,"protein-coding"
106897698,"protein-coding"
106889532,"protein-coding"
106892569,"protein-coding"
106889443,"protein-coding"
106886018,"protein-coding"
106885566,"protein-coding"
106888785,"protein-coding"
106900126,"protein-coding"
106900076,"protein-coding"
106895158,"protein-coding"
106897924,"protein-coding"
106891061,"protein-coding"
106885989,"protein-coding"
106888611,"protein-coding"
106888948,"protein-coding"
106897660,"protein-coding"
106902949,"protein-coding"
106891621,"protein-coding"
106894554,"protein-coding"
106902148,"protein-coding"
106886530,"protein-coding"
106892690,"protein-coding"
106889886,"protein-coding"
106888764,"protein-coding"
106891993,"protein-coding"
106901466,"protein-coding"
106889740,"protein-coding"
106899115,"protein-coding"
106898087,"protein-coding"
106886808,"protein-coding"
106901383,"protein-coding"
106896742,"protein-coding"
106887826,"protein-coding"
106899510,"protein-coding"
106898406,"protein-coding"
106899341,"protein-coding"
106901950,"protein-coding"
106889866,"protein-coding"
106889338,"protein-coding"
106890258,"protein-coding"
106887748,"protein-coding"
106902498,"protein-coding"
106893165,"protein-coding"
106893299,"protein-coding"
106900080,"protein-coding"
106888810,"protein-coding"
106894336,"protein-coding"
106892838,"protein-coding"
106896451,"protein-coding"
106898778,"protein-coding"
106899732,"protein-coding"
106894121,"protein-coding"
106890962,"protein-coding"
106899958,"protein-coding"
106889639,"protein-coding"
106900032,"protein-coding"
106896741,"protein-coding"
106898081,"protein-coding"
106887578,"protein-coding"
106898136,"protein-coding"
106901203,"protein-coding"
106902393,"protein-coding"
106886178,"protein-coding"
106898918,"protein-coding"
106885973,"protein-coding"
106893854,"protein-coding"
106889020,"protein-coding"
106898809,"protein-coding"
106893905,"protein-coding"
106890735,"protein-coding"
106884540,"protein-coding"
106892057,"protein-coding"
106892815,"protein-coding"
106885446,"protein-coding"
106899499,"protein-coding"
106890971,"protein-coding"
106900005,"protein-coding"
106896823,"protein-coding"
106889465,"protein-coding"
106899741,"protein-coding"
106894338,"protein-coding"
106888364,"protein-coding"
106890046,"protein-coding"
106899020,"protein-coding"
106895601,"protein-coding"
106897398,"protein-coding"
106900345,"protein-coding"
106887641,"protein-coding"
106900923,"protein-coding"
106893228,"protein-coding"
106896130,"protein-coding"
106884707,"protein-coding"
106887951,"protein-coding"
106893469,"protein-coding"
106889955,"protein-coding"
106886162,"protein-coding"
106898126,"protein-coding"
106887981,"protein-coding"
106893116,"protein-coding"
106890943,"protein-coding"
106897822,"protein-coding"
106901706,"protein-coding"
106887574,"protein-coding"
106889756,"protein-coding"
106887596,"protein-coding"
106901473,"protein-coding"
106888793,"protein-coding"
106902762,"protein-coding"
106891153,"protein-coding"
106902742,"protein-coding"
106887566,"protein-coding"
106889668,"protein-coding"
106891166,"protein-coding"
106898304,"protein-coding"
106887896,"protein-coding"
