Sample_ID,Filename,Species,Dev_stage,Sex,Age,Phenotype,Collected_by,Collection_date,Biomaterial_provider,Geographic_location,Ecotype,Body_mass,Testes_mass,Bird_ID,Gonadosomatic_index,Tissue,Tissue_complete,Sample_Type,Concentration,Volume,Flow_cell,Seq_provider,Type,Lib_prep,Lib_kit,Seq_prep,Seq_kit,Lib_size,RIN
s1015_F_ADR_02,s1015_F_ADR_02_R1.gz,Calidris pugnax,Adult,Male,3,Faeder,Jasmine L. Loveland,6/17/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,111.2,1.94,1015,1.74,Adr,Adrenal glands,Total RNA,60.1,40,HN35CDSX2,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),69236598,8.9
s1015_F_ADR_02,s1015_F_ADR_02_R2.gz,Calidris pugnax,Adult,Male,3,Faeder,Jasmine L. Loveland,6/17/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,111.2,1.94,1015,1.74,Adr,Adrenal glands,Total RNA,60.1,40,HN35CDSX2,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),69236598,8.9
s1015_F_GON_01,s1015_F_GON_01_R1.gz,Calidris pugnax,Adult,Male,3,Faeder,Jasmine L. Loveland,6/17/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,111.2,1.94,1015,1.74,Gon,Male gonads (testes),Total RNA,62,20,HN57VDSX2,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),69431898,8
s1015_F_GON_01,s1015_F_GON_01_R2.gz,Calidris pugnax,Adult,Male,3,Faeder,Jasmine L. Loveland,6/17/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,111.2,1.94,1015,1.74,Gon,Male gonads (testes),Total RNA,62,20,HN57VDSX2,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),69431898,8
s1015_F_LIV_01,s1015_F_LIV_01_R1.gz,Calidris pugnax,Adult,Male,3,Faeder,Jasmine L. Loveland,6/17/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,111.2,1.94,1015,1.74,Liv,Liver,Total RNA,60,20,HN57VDSX2,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),70138323,7.5
s1015_F_LIV_01,s1015_F_LIV_01_R2.gz,Calidris pugnax,Adult,Male,3,Faeder,Jasmine L. Loveland,6/17/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,111.2,1.94,1015,1.74,Liv,Liver,Total RNA,60,20,HN57VDSX2,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),70138323,7.5
s1015_F_PIT_01,s1015_F_PIT_01_R1.gz,Calidris pugnax,Adult,Male,3,Faeder,Jasmine L. Loveland,6/17/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,111.2,1.94,1015,1.74,Pit,Pituitary gland,Total RNA,54,20,H2FYWDSX3,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),55100082,NA
s1015_F_PIT_01,s1015_F_PIT_01_R2.gz,Calidris pugnax,Adult,Male,3,Faeder,Jasmine L. Loveland,6/17/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,111.2,1.94,1015,1.74,Pit,Pituitary gland,Total RNA,54,20,H2FYWDSX3,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),55100082,NA
s1306_I_GON_01,s1306_I_GON_01_R1.gz,Calidris pugnax,Adult,Male,4,Independent,Jasmine L. Loveland,6/6/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.09,2.11,1306,1.26,Gon,Male gonads (testes),Total RNA,65,20,HN57VDSX2,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),58443959,NA
s1306_I_GON_01,s1306_I_GON_01_R2.gz,Calidris pugnax,Adult,Male,4,Independent,Jasmine L. Loveland,6/6/2018,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,168.09,2.11,1306,1.26,Gon,Male gonads (testes),Total RNA,65,20,HN57VDSX2,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),58443959,NA
s1311_I_ADR_01,s1311_I_ADR_01_R1.gz,Calidris pugnax,Adult,Male,3,Independent,Jasmine L. Loveland,6/17/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,175.4,3.75,1311,2.14,Adr,Adrenal glands,Total RNA,44.5,20,HN57VDSX2,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),64506684,9.1
s1311_I_ADR_01,s1311_I_ADR_01_R2.gz,Calidris pugnax,Adult,Male,3,Independent,Jasmine L. Loveland,6/17/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,175.4,3.75,1311,2.14,Adr,Adrenal glands,Total RNA,44.5,20,HN57VDSX2,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),64506684,9.1
s1311_I_GON_01,s1311_I_GON_01_R1.gz,Calidris pugnax,Adult,Male,3,Independent,Jasmine L. Loveland,6/17/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,175.4,3.75,1311,2.14,Gon,Male gonads (testes),Total RNA,54.5,20,HN57VDSX2,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),67256394,7.7
s1311_I_GON_01,s1311_I_GON_01_R2.gz,Calidris pugnax,Adult,Male,3,Independent,Jasmine L. Loveland,6/17/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,175.4,3.75,1311,2.14,Gon,Male gonads (testes),Total RNA,54.5,20,HN57VDSX2,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),67256394,7.7
s1311_I_PIT_01,s1311_I_PIT_01_R1.gz,Calidris pugnax,Adult,Male,3,Independent,Jasmine L. Loveland,6/17/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,175.4,3.75,1311,2.14,Pit,Pituitary gland,Total RNA,63.5,20,H2FYWDSX3,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),58903665,NA
s1311_I_PIT_01,s1311_I_PIT_01_R2.gz,Calidris pugnax,Adult,Male,3,Independent,Jasmine L. Loveland,6/17/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,175.4,3.75,1311,2.14,Pit,Pituitary gland,Total RNA,63.5,20,H2FYWDSX3,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),58903665,NA
s1312_I_ADR_01,s1312_I_ADR_01_R2.gz,Calidris pugnax,Adult,Male,3,Independent,Jasmine L. Loveland,6/11/2017,Max Planck Institute for Biological Intelligence (MPI-BI),Germany: Seewiesen,Captive population,169.1,2.9,1312,1.71,Adr,Adrenal glands,Total RNA,52,20,HN57VDSX2,DRESDEN-concept Genome Center (DcGC),Illumina Multiplexing,Illumina RNA - mRNA Library Prep (RNA-Seq),NEBNext Ultra II RNA,mRNA enrichment by poly-dT pull down,NEBNext Poly(A),65569438,9.2
