Sample,HSD17B2,Morph,Tissue
s1321_S_ADR_02,0.82,Satellite,ADR
s1321_S_GON_01,0.52,Satellite,GON
s1321_S_LIV_01,0.24,Satellite,LIV
s1324_S_HYP_02,0.98,Satellite,HYP
s1324_S_LS_02,1,Satellite,LS
s1324_S_NC_02,1,Satellite,NC
s1324_S_PIT_01,1,Satellite,PIT
s1324_S_POA_02,1,Satellite,POA
s1324_S_RAP_03,1,Satellite,RAP
s1324_S_TNA_03,0.5,Satellite,A+TnA
s1324_S_VTA_03,1,Satellite,VTA+SN
s1633_S_ADR_01,0.88,Satellite,ADR
s1633_S_GON_01,0.62,Satellite,GON
s1633_S_HYP_02,0.92,Satellite,HYP
s1633_S_LS_02,1,Satellite,LS
s1633_S_PIT_01,1,Satellite,PIT
s1633_S_POA_03,1,Satellite,POA
s1633_S_RAP_03,1,Satellite,RAP
s1633_S_TNA_03,1,Satellite,A+TnA
s1633_S_VTA_03,1,Satellite,VTA+SN
s1640_S_ADR_02,0.95,Satellite,ADR
s1640_S_GON_01,0.45,Satellite,GON
s1640_S_LIV_01,0.71,Satellite,LIV
s1640_S_PIT_01,1,Satellite,PIT
s1645_S_ADR_02,1,Satellite,ADR
s1645_S_GON_01,0.48,Satellite,GON
s1645_S_LIV_01,0.26,Satellite,LIV
s1645_S_PIT_01,0.95,Satellite,PIT
s1670_S_LIV_01,0.3,Satellite,LIV
s1680_S_ADR_01,0.94,Satellite,ADR
s1680_S_GON_01,0.25,Satellite,GON
s1680_S_HYP_02,0.97,Satellite,HYP
s1680_S_LIV_01,0.33,Satellite,LIV
s1680_S_LS_02,0.75,Satellite,LS
s1680_S_NC_02,0.81,Satellite,NC
s1680_S_PIT_01,1,Satellite,PIT
s1680_S_POA_03,0.86,Satellite,POA
s1680_S_RAP_03,0.8,Satellite,RAP
s1680_S_VTA_03,1,Satellite,VTA+SN
s1693_S_ADR_01,1,Satellite,ADR
s1693_S_GON_01,0.71,Satellite,GON
s1693_S_HYP_02,1,Satellite,HYP
s1693_S_LIV_01,0.57,Satellite,LIV
s1693_S_LS_02,1,Satellite,LS
s1693_S_NC_02,1,Satellite,NC
s1693_S_PIT_01,0.75,Satellite,PIT
s1693_S_POA_03,0.88,Satellite,POA
s1693_S_RAP_03,1,Satellite,RAP
s1693_S_TNA_03,1,Satellite,A+TnA
s1693_S_VTA_03,1,Satellite,VTA+SN
s329_S_ADR_02,1,Satellite,ADR
s329_S_GON_01,0.65,Satellite,GON
s329_S_HYP_02,1,Satellite,HYP
s329_S_LS_02,0.83,Satellite,LS
s329_S_NC_02,0.77,Satellite,NC
s329_S_PIT_01,1,Satellite,PIT
s329_S_POA_02,0.67,Satellite,POA
s329_S_RAP_03,1,Satellite,RAP
s329_S_TNA_03,0.55,Satellite,A+TnA
s329_S_VTA_03,1,Satellite,VTA+SN
s374_S_ADR_01,0.94,Satellite,ADR
s1324_SAT_M_BLOOD,1,Satellite,Blood
s1670_SAT_M_BLOOD,0.99 ,Satellite,Blood
s1680_SAT_M_BLOOD,0.97 ,Satellite,Blood
