Entrez_ID,Gene_symbol,Gene_description,Gene_type,Scientific_name,Common_name,Tax_ID,Transcripts,Genomic_coordinates,Orientation,Proteins,Ensembl_Gene_ID
106888091,CENPN,centromere protein N,protein-coding,Calidris pugnax,ruff,198806,"XM_014942117.1,XM_014942118.1",NW_015090842.1: 5801588-5810753,plus,"XP_014797603.1,XP_014797604.1",ENSCPUG00000008631
106888237,ATMIN,ATM interactor,protein-coding,Calidris pugnax,ruff,198806,"XM_014942295.1,XM_014942296.1",NW_015090842.1: 5811746-5827454,plus,"XP_014797781.1,XP_014797782.1",ENSCPUG00000008633
106888114,PPP1R3E,protein phosphatase 1 regulatory subunit 3E,protein-coding,Calidris pugnax,ruff,198806,XM_014942141.1,NW_015090842.1: 5837307-5838114,plus,XP_014797627.1,
106888115,PKD1L2,polycystin 1 like 2,protein-coding,Calidris pugnax,ruff,198806,XM_014942142.1,NW_015090842.1: 5867458-5908467,minus,XP_014797628.1,ENSCPUG00000008641
106888277,BCO1,beta-carotene oxygenase 1,protein-coding,Calidris pugnax,ruff,198806,XM_014942394.1,NW_015090842.1: 5915601-5935099,plus,XP_014797880.1,ENSCPUG00000008657
106888183,GAN,gigaxonin,protein-coding,Calidris pugnax,ruff,198806,XM_014942215.1,NW_015090842.1: 5939151-5966536,plus,XP_014797701.1,ENSCPUG00000008662
106888116,CMIP,c-Maf inducing protein,protein-coding,Calidris pugnax,ruff,198806,XM_014942143.1,NW_015090842.1: 6074796-6139888,plus,XP_014797629.1,ENSCPUG00000008664
106888390,PLCG2,phospholipase C gamma 2,protein-coding,Calidris pugnax,ruff,198806,XM_014942591.1,NW_015090842.1: 6179574-6231428,plus,XP_014798077.1,ENSCPUG00000008674
106888189,SDR42E1,"short chain dehydrogenase/reductase family 42E, member 1",protein-coding,Calidris pugnax,ruff,198806,XM_014942222.1,NW_015090842.1: 6235286-6238867,minus,XP_014797708.1,ENSCPUG00000008682
106888192,HSD17B2,hydroxysteroid 17-beta dehydrogenase 2,protein-coding,Calidris pugnax,ruff,198806,XM_014942225.1,NW_015090842.1: 6257506-6268838,plus,XP_014797711.1,ENSCPUG00000008683
106888089,ARY2,"arylamine N-acetyltransferase, pineal gland isozyme NAT-3",protein-coding,Calidris pugnax,ruff,198806,"XM_014942114.1,XM_014942115.1,XM_014942116.1",NW_015090842.1: 6296699-6307755,plus,"XP_014797600.1,XP_014797601.1,XP_014797602.1",ENSCPUG00000008721
106888090,LOC106888090,uncharacterized LOC106888090,ncRNA,Calidris pugnax,ruff,198806,XR_001412032.1,NW_015090842.1: 6300503-6302869,minus,,
106888318,ARY1,"arylamine N-acetyltransferase, liver isozyme-like",protein-coding,Calidris pugnax,ruff,198806,XM_014942460.1,NW_015090842.1: 6310061-6313844,plus,XP_014797946.1,
106888319,ARYL,"arylamine N-acetyltransferase, pineal gland isozyme NAT-10",protein-coding,Calidris pugnax,ruff,198806,XM_014942461.1,NW_015090842.1: 6313854-6319370,plus,XP_014797947.1,ENSCPUG00000008723
106888320,MPHOSPH6,M-phase phosphoprotein 6,protein-coding,Calidris pugnax,ruff,198806,XM_014942462.1,NW_015090842.1: 6324011-6332459,minus,XP_014797948.1,ENSCPUG00000008724
106888289,CDH13,cadherin 13,protein-coding,Calidris pugnax,ruff,198806,XM_014942408.1,NW_015090842.1: 6503675-6969463,plus,XP_014797894.1,ENSCPUG00000008772
106888349,MLYCD,malonyl-CoA decarboxylase,protein-coding,Calidris pugnax,ruff,198806,XM_014942514.1,NW_015090842.1: 7149942-7168122,minus,XP_014798000.1,ENSCPUG00000008780
106888351,HSBP1,heat shock factor binding protein 1,protein-coding,Calidris pugnax,ruff,198806,"XM_014942515.1,XM_014942516.1",NW_015090842.1: 7245024-7248595,minus,"XP_014798001.1,XP_014798002.1",ENSCPUG00000008781
106888200,KCNG4,potassium voltage-gated channel modifier subfamily G member 4,protein-coding,Calidris pugnax,ruff,198806,"XM_014942236.1,XM_014942237.1",NW_015090842.1: 7282450-7301481,minus,"XP_014797722.1,XP_014797723.1",ENSCPUG00000008782
