GID,KEGG,KEGG_DESCRIPTION
106902950,K15176,CTR9; RNA polymerase-associated protein CTR9
106884527,,
106884528,K18261,DYSF; dysferlin
106884530,K08492,STX18; syntaxin 18
106884531,,
106884532,K16449,RGS; regulator of G-protein signaling
106884529,K06632,WEE1; wee1-like protein kinase [EC:2.7.11.1]
106884533,K17338,REEP1_2_3_4; receptor expression-enhancing protein 1/2/3/4
106884535,K15127,TADA2B; transcriptional adapter 2-beta
106884536,K03687,GRPE; molecular chaperone GrpE
106884537,K09114,"MXD, MAD; MAX dimerization protein"
106884534,K00710,GALNT; polypeptide N-acetylgalactosaminyltransferase [EC:2.4.1.41]
106884538,,
106884539,K09680,"PANK1_2_3, CAB1, coaW; type II pantothenate kinase [EC:2.7.1.33]"
106884540,K00232,"E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase [EC:1.3.3.6]"
106884542,K15447,"TRM44, METTL19; tRNASer (uridine44-2'-O)-methyltransferase [EC:2.1.1.211]"
106884544,,
106884541,K24706,"SCUBE2; signal peptide, CUB and EGF-like domain-containing protein 2"
106884546,K10600,"UBOX5, UIP5; U-box domain-containing protein 5"
106884547,K11426,SMYD; [histone H3]-lysine4/36 N-trimethyltransferase SMYD [EC:2.1.1.354 2.1.1.357]
106884548,K08750,"FABP1, L-FABP; fatty acid-binding protein 1, liver"
106884550,K19985,"EXOC6, SEC15; exocyst complex component 6"
106884549,,
106884551,K09499,CCT7; T-complex protein 1 subunit eta
106884552,K25720,PRADC1; protease-associated domain-containing protein 1
106884553,K13862,"SLC4A11, BTR1; solute carrier family 4 (sodium borate transporter), member 11"
106884555,,
106884554,K17199,"RASEF, RAB45; Ras and EF-hand domain-containing protein"
106884556,K23333,RMND5; E3 ubiquitin-protein transferase RMND5 [EC:2.3.2.27]
106884557,K07984,SH3BP2; SH3-domain binding protein 2
106884558,,
106884561,K22651,RNF4; E3 ubiquitin-protein ligase RNF4 [EC:2.3.2.27]
106884562,K08291,GRK4_5_6; G protein-coupled receptor kinase [EC:2.7.11.16]
106884560,K03841,"FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]"
106884563,K01807,rpiA; ribose 5-phosphate isomerase A [EC:5.3.1.6]
106884564,,
106884565,K16741,ALMS1; alstrom syndrome protein 1
106884545,K12392,AP1B1; AP-1 complex subunit beta-1
106884566,K15179,"WHSC2, NELFA; negative elongation factor A"
106884567,K24783,JAKMIP1; janus kinase and microtubule-interacting protein 1
106884568,K08860,EIF2AK3; eukaryotic translation initiation factor 2-alpha kinase 3 [EC:2.7.11.1]
106884570,K04150,HRH2; histamine receptor H2
106884571,K01899,LSC1; succinyl-CoA synthetase alpha subunit [EC:6.2.1.4 6.2.1.5]
106884572,K24313,SH3TC; SH3 domain and tetratricopeptide repeat-containing protein
106884569,,
106884573,K08785,HTRA3; HtrA serine peptidase 3 [EC:3.4.21.-]
106884574,K03370,"ST3GAL5; lactosylceramide alpha-2,3-sialyltransferase (sialyltransferase 9) [EC:2.4.3.9]"
106884575,K23344,DDRGK1; DDRGK domain-containing protein 1
106884576,K14020,WFS1; wolfamin
106884577,K18616,AFAP1; actin filament associated protein 1
106884578,K14283,"TACC3, maskin; transforming acidic coiled-coil-containing protein 3"
106884579,K04354,PPP2R2; serine/threonine-protein phosphatase 2A regulatory subunit B
106884581,,
106884582,,
