"gene","id","snp","ref_count","total_count","alt_count"
"CENPN","s1670_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801632",0,1,1
"CENPN","s1670_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801655",0,2,2
"CENPN","s1670_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801670",0,2,2
"CENPN","s1670_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801674",0,2,2
"CENPN","s1670_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801692",0,2,2
"CENPN","s1670_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5802008",1,8,7
"CENPN","s1670_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5802012",1,8,7
"CENPN","s1670_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5802087",1,7,6
"CENPN","s1670_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5810113",1,1,0
"CENPN","s1670_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5810147",1,1,0
"CENPN","s1670_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5810148",1,1,0
"ATMIN","s1670_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5818789",17,32,15
"ATMIN","s1670_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5819958",22,50,28
"ATMIN","s1670_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820004",29,55,26
"ATMIN","s1670_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820217",26,45,19
"ATMIN","s1670_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820250",30,45,15
"ATMIN","s1670_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820298",32,46,14
"ATMIN","s1670_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820417",27,38,11
"ATMIN","s1670_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820421",23,35,12
"ATMIN","s1670_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820448",23,31,8
"ATMIN","s1670_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820457",19,30,11
"ATMIN","s1670_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820510",27,45,18
"ATMIN","s1670_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820673",29,47,18
"ATMIN","s1670_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820754",16,36,20
"ATMIN","s1670_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820820",23,45,22
"ATMIN","s1670_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820865",29,53,24
"ATMIN","s1670_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820889",21,44,23
"ATMIN","s1670_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820891",21,44,23
"ATMIN","s1670_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820997",35,51,16
"ATMIN","s1670_SAT_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5821063",33,48,15
