Entrez_ID,Gene_Symbol,Gene_Description,Synonyms,Gene_type,Scientific_name,Common_name,Tax_ID,Transcripts,Genomic_coordinates,Orientation,Proteins,Ensembl_Gene_ID
106902846,A1CF,APOBEC1 complementation factor,,protein-coding,Calidris pugnax,ruff,198806,"XM_014966661.1,XM_014966662.1,XM_014966663.1,XM_014966664.1",NW_015090792.1: 1100607-1138107,plus,"XP_014822147.1,XP_014822148.1,XP_014822149.1,XP_014822150.1",ENSCPUG00000002050
106886612,A4GNT,"alpha-1,4-N-acetylglucosaminyltransferase",,protein-coding,Calidris pugnax,ruff,198806,XM_014939696.1,NW_015090816.1: 514541-517665,minus,XP_014795182.1,
106902123,AACS,acetoacetyl-CoA synthetase,,protein-coding,Calidris pugnax,ruff,198806,XM_014965300.1,NW_015090783.1: 3070685-3112089,plus,XP_014820786.1,ENSCPUG00000007870
106890135,AADAC,arylacetamide deacetylase,,protein-coding,Calidris pugnax,ruff,198806,XM_014945750.1,NW_015090872.1: 3384324-3395509,minus,XP_014801236.1,ENSCPUG00000016537
106889772,AADAT,aminoadipate aminotransferase,,protein-coding,Calidris pugnax,ruff,198806,XM_014945180.1,NW_015090774.1: 485871-502131,plus,XP_014800666.1,ENSCPUG00000004880
106894226,AAGAB,alpha and gamma adaptin binding protein,,protein-coding,Calidris pugnax,ruff,198806,"XM_014952769.1,XM_014952770.1,XM_014952772.1",NW_015090969.1: 502616-528858,minus,"XP_014808255.1,XP_014808256.1,XP_014808258.1",ENSCPUG00000006590
106897855,AAK1,AP2 associated kinase 1,,protein-coding,Calidris pugnax,ruff,198806,"XM_014958790.1,XR_001413834.1,XR_001413835.1",NW_015091141.1: 2447436-2542093,plus,XP_014814276.1,ENSCPUG00000011903
106890960,AAMDC,adipogenesis associated Mth938 domain containing,,protein-coding,Calidris pugnax,ruff,198806,XM_014947105.1,NW_015090884.1: 357972-367291,minus,XP_014802591.1,ENSCPUG00000002945
106895195,AAMP,angio associated migratory cell protein,,protein-coding,Calidris pugnax,ruff,198806,XM_014954419.1,NW_015090990.1: 2885131-2890046,minus,XP_014809905.1,ENSCPUG00000000649
106893223,AANAT,aralkylamine N-acetyltransferase,,protein-coding,Calidris pugnax,ruff,198806,XM_014951027.1,NW_015090778.1: 5958438-5960955,plus,XP_014806513.1,ENSCPUG00000004005
106885394,AAR2,AAR2 splicing factor,,protein-coding,Calidris pugnax,ruff,198806,XM_014937557.1,NW_015090802.1: 237178-256177,plus,XP_014793043.1,ENSCPUG00000009207
106891847,AARS1,alanyl-tRNA synthetase 1,AARS,protein-coding,Calidris pugnax,ruff,198806,XM_014948651.1,NW_015090776.1: 4935888-4955915,plus,XP_014804137.1,ENSCPUG00000010571
106893168,AARS2,"alanyl-tRNA synthetase 2, mitochondrial",,protein-coding,Calidris pugnax,ruff,198806,XM_014950903.1,NW_015090922.1: 16299240-16316783,plus,XP_014806389.1,ENSCPUG00000002088
106890032,AASDH,aminoadipate-semialdehyde dehydrogenase,,protein-coding,Calidris pugnax,ruff,198806,"XM_014945579.1,XM_014945580.1",NW_015090868.1: 2152970-2173388,minus,"XP_014801065.1,XP_014801066.1",ENSCPUG00000011728
106902381,AASDHPPT,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,,protein-coding,Calidris pugnax,ruff,198806,XM_014965791.1,NW_015094510.1: 29484558-29514504,minus,XP_014821277.1,ENSCPUG00000000708
106901344,AASS,aminoadipate-semialdehyde synthase,,protein-coding,Calidris pugnax,ruff,198806,"XM_014963984.1,XM_014963986.1,XM_014963987.1",NW_015094506.1: 34704663-34732915,minus,"XP_014819470.1,XP_014819472.1,XP_014819473.1",ENSCPUG00000009482
106894570,AATF,apoptosis antagonizing transcription factor,,protein-coding,Calidris pugnax,ruff,198806,XM_014953345.1,NW_015090764.1: 1341250-1399423,plus,XP_014808831.1,ENSCPUG00000011724
106892725,AATK,apoptosis associated tyrosine kinase,,protein-coding,Calidris pugnax,ruff,198806,"XM_014950144.1,XM_014950151.1,XM_014950159.1",NW_015090778.1: 177204-187985,plus,"XP_014805630.1,XP_014805637.1,XP_014805645.1",ENSCPUG00000010724
106884783,ABAT,4-aminobutyrate aminotransferase,,protein-coding,Calidris pugnax,ruff,198806,"XM_014936364.1,XM_014936365.1,XM_014936366.1,XM_014936367.1",NW_015090794.1: 9604816-9659443,minus,"XP_014791850.1,XP_014791851.1,XP_014791852.1,XP_014791853.1",ENSCPUG00000016889
106897485,ABCA1,ATP binding cassette subfamily A member 1,,protein-coding,Calidris pugnax,ruff,198806,"XM_014958135.1,XM_014958136.1",NW_015091111.1: 1291679-1391227,plus,"XP_014813621.1,XP_014813622.1",ENSCPUG00000009307
106893751,ABCA12,ATP binding cassette subfamily A member 12,,protein-coding,Calidris pugnax,ruff,198806,XM_014951949.1,NW_015090948.1: 572941-662948,plus,XP_014807435.1,
106887305,ABCA13,ATP binding cassette subfamily A member 13,,protein-coding,Calidris pugnax,ruff,198806,XM_014940763.1,NW_015090830.1: 736416-918916,minus,XP_014796249.1,
106892511,ABCA2,ATP binding cassette subfamily A member 2,,protein-coding,Calidris pugnax,ruff,198806,"XM_014949738.1,XM_014949739.1,XM_014949740.1,XM_014949741.1,XM_014949742.1",NW_015090919.1: 307283-333342,minus,"XP_014805224.1,XP_014805225.1,XP_014805226.1,XP_014805227.1,XP_014805228.1",ENSCPUG00000007589
106897870,ABCA3,ATP binding cassette subfamily A member 3,,protein-coding,Calidris pugnax,ruff,198806,XM_014958818.1,NW_015091141.1: 627245-666637,minus,XP_014814304.1,
106886230,ABCA4,ATP binding cassette subfamily A member 4,,protein-coding,Calidris pugnax,ruff,198806,XM_014938962.1,NW_015090812.1: 17409001-17483376,minus,XP_014794448.1,
106893927,ABCA5,ATP binding cassette subfamily A member 5,,protein-coding,Calidris pugnax,ruff,198806,XM_014952267.1,NW_015090957.1: 1310739-1343000,plus,XP_014807753.1,ENSCPUG00000018967
106897744,ABCA7,ATP binding cassette subfamily A member 7,,protein-coding,Calidris pugnax,ruff,198806,XM_014958565.1,NW_015091137.1: 326987-343808,plus,XP_014814051.1,ENSCPUG00000006500
106894344,ABCB1,ATP binding cassette subfamily B member 1,,protein-coding,Calidris pugnax,ruff,198806,"XM_014952957.1,XM_014952958.1,XM_014952959.1,XM_014952960.1,XM_014952962.1",NW_015090976.1: 495497-551004,minus,"XP_014808443.1,XP_014808444.1,XP_014808445.1,XP_014808446.1,XP_014808448.1",ENSCPUG00000019751
106893254,ABCB10,ATP binding cassette subfamily B member 10,,protein-coding,Calidris pugnax,ruff,198806,"XM_014951085.1,XM_014951086.1",NW_015090922.1: 27035427-27055083,minus,"XP_014806571.1,XP_014806572.1",ENSCPUG00000011923
106895233,ABCB11,ATP binding cassette subfamily B member 11,,protein-coding,Calidris pugnax,ruff,198806,XM_014954484.1,NW_015090990.1: 7260909-7310883,minus,XP_014809970.1,ENSCPUG00000003923
106885439,ABCB5,ATP binding cassette subfamily B member 5,,protein-coding,Calidris pugnax,ruff,198806,"XM_014937642.1,XM_014937643.1",NW_015090803.1: 12960384-12993379,minus,"XP_014793128.1,XP_014793129.1",ENSCPUG00000010891
106895301,ABCB6,ATP binding cassette subfamily B member 6 (Langereis blood group),,protein-coding,Calidris pugnax,ruff,198806,XM_014954654.1,NW_015090990.1: 3365155-3371516,minus,XP_014810140.1,ENSCPUG00000000998
106895580,ABCB7,ATP binding cassette subfamily B member 7,,protein-coding,Calidris pugnax,ruff,198806,XM_014955024.1,NW_015090995.1: 1028237-1065313,minus,XP_014810510.1,ENSCPUG00000017565
106902133,ABCB9,ATP binding cassette subfamily B member 9,,protein-coding,Calidris pugnax,ruff,198806,XM_014965303.1,NW_015090783.1: 2030574-2045593,minus,XP_014820789.1,ENSCPUG00000007543
106893312,ABCC10,ATP binding cassette subfamily C member 10,,protein-coding,Calidris pugnax,ruff,198806,"XM_014951207.1,XM_014951208.1,XM_014951209.1,XM_014951210.1,XM_014951211.1",NW_015090922.1: 17234404-17258269,minus,"XP_014806693.1,XP_014806694.1,XP_014806695.1,XP_014806696.1,XP_014806697.1",ENSCPUG00000002444
106897370,ABCC2,ATP binding cassette subfamily C member 2,,protein-coding,Calidris pugnax,ruff,198806,"XM_014957963.1,XM_014957970.1",NW_015090781.1: 1371170-1390230,minus,"XP_014813449.1,XP_014813456.1",ENSCPUG00000009450
106894893,ABCC3,ATP binding cassette subfamily C member 3,,protein-coding,Calidris pugnax,ruff,198806,XM_014953891.1,NW_015090778.1: 4104666-4154524,minus,XP_014809377.1,ENSCPUG00000002026
106895952,ABCC4,ATP binding cassette subfamily C member 4,,protein-coding,Calidris pugnax,ruff,198806,XM_014955633.1,NW_015091009.1: 257147-408534,minus,XP_014811119.1,ENSCPUG00000016624
106886708,ABCC5,ATP binding cassette subfamily C member 5,,protein-coding,Calidris pugnax,ruff,198806,"XM_014939855.1,XM_014939856.1,XM_014939857.1,XM_014939858.1,XM_014939859.1,XM_014939860.1,XM_014939861.1",NW_015090822.1: 39133-91924,minus,"XP_014795341.1,XP_014795342.1,XP_014795343.1,XP_014795344.1,XP_014795345.1,XP_014795346.1,XP_014795347.1",ENSCPUG00000013087
106900251,ABCC8,ATP binding cassette subfamily C member 8,,protein-coding,Calidris pugnax,ruff,198806,XM_014962246.1,NW_015092181.1: 336589-425240,plus,XP_014817732.1,ENSCPUG00000001930
106898357,ABCC9,ATP binding cassette subfamily C member 9,,protein-coding,Calidris pugnax,ruff,198806,"XM_014959554.1,XM_014959555.1,XM_014959556.1,XM_014959557.1,XM_014959558.1,XM_014959559.1,XM_014959560.1,XM_014959562.1,XM_014959563.1,XM_014959564.1,XM_014959565.1,XM_014959566.1,XM_014959567.1,XM_014959568.1",NW_015091194.1: 1697057-1778641,plus,"XP_014815040.1,XP_014815041.1,XP_014815042.1,XP_014815043.1,XP_014815044.1,XP_014815045.1,XP_014815046.1,XP_014815048.1,XP_014815049.1,XP_014815050.1,XP_014815051.1,XP_014815052.1,XP_014815053.1,XP_014815054.1",ENSCPUG00000008403
106901332,ABCD2,ATP binding cassette subfamily D member 2,,protein-coding,Calidris pugnax,ruff,198806,XM_014963971.1,NW_015094506.1: 43089772-43137124,minus,XP_014819457.1,ENSCPUG00000013767
