"GID","TXID","PROTID"
106894185,"XM_014952710.1","XP_014808196.1"
106889467,"XM_014944495.1","XP_014799981.1"
106889467,"XM_014944496.1","XP_014799982.1"
106889467,"XM_014944497.1","XP_014799983.1"
106889467,"XM_014944494.1","XP_014799980.1"
106889467,"XM_014944500.1","XP_014799986.1"
106889467,"XM_014944503.1","XP_014799989.1"
106889467,"XM_014944501.1","XP_014799987.1"
106889467,"XM_014944499.1","XP_014799985.1"
106889467,"XM_014944498.1","XP_014799984.1"
106889467,"XM_014944502.1","XP_014799988.1"
106894274,"XM_014952880.1","XP_014808366.1"
106902204,"XM_014965501.1","XP_014820987.1"
106902204,"XM_014965502.1","XP_014820988.1"
106902204,"XM_014965503.1","XP_014820989.1"
106902204,"XM_014965504.1","XP_014820990.1"
106886060,"XM_014938709.1","XP_014794195.1"
106888197,"XM_014942231.1","XP_014797717.1"
106888197,"XM_014942229.1","XP_014797715.1"
106884631,"XM_014936154.1","XP_014791640.1"
106884631,"XM_014936153.1","XP_014791639.1"
106884631,"XM_014936152.1","XP_014791638.1"
106892066,"XM_014948960.1","XP_014804446.1"
106892066,"XM_014948965.1","XP_014804451.1"
106892066,"XM_014948959.1","XP_014804445.1"
106892066,"XM_014948961.1","XP_014804447.1"
106892066,"XM_014948964.1","XP_014804450.1"
106892066,"XM_014948962.1","XP_014804448.1"
106892066,"XM_014948966.1","XP_014804452.1"
106892066,"XM_014948963.1","XP_014804449.1"
106890370,"XM_014946147.1","XP_014801633.1"
106890370,"XM_014946145.1","XP_014801631.1"
106890370,"XM_014946144.1","XP_014801630.1"
106890370,"XM_014946146.1","XP_014801632.1"
106885634,"XM_014937988.1","XP_014793474.1"
106897157,"XM_014957592.1","XP_014813078.1"
106897157,"XM_014957594.1","XP_014813080.1"
106897157,"XM_014957593.1","XP_014813079.1"
106890999,"XM_014947149.1","XP_014802635.1"
106890999,"XM_014947150.1","XP_014802636.1"
106887975,"XM_014941842.1","XP_014797328.1"
106887975,"XM_014941843.1","XP_014797329.1"
106895357,"XM_014954753.1","XP_014810239.1"
106897775,"XM_014958619.1","XP_014814105.1"
106897775,"XM_014958618.1","XP_014814104.1"
106897775,"XM_014958617.1","XP_014814103.1"
106897775,"XM_014958615.1","XP_014814101.1"
106897775,"XM_014958616.1","XP_014814102.1"
106897775,"XM_014958614.1","XP_014814100.1"
106887073,"XM_014940427.1","XP_014795913.1"
106887073,"XM_014940428.1","XP_014795914.1"
106887442,"XM_014940971.1","XP_014796457.1"
106894681,"XM_014953503.1","XP_014808989.1"
106894681,"XM_014953502.1","XP_014808988.1"
106901000,"XM_014963393.1","XP_014818879.1"
106901000,"XM_014963327.1","XP_014818813.1"
106901000,"XM_014963342.1","XP_014818828.1"
106901000,"XM_014963350.1","XP_014818836.1"
106901000,"XM_014963372.1","XP_014818858.1"
106901000,"XM_014963380.1","XP_014818866.1"
106901000,"XM_014963335.1","XP_014818821.1"
106901000,"XM_014963356.1","XP_014818842.1"
106901000,"XM_014963364.1","XP_014818850.1"
106901000,"XM_014963387.1","XP_014818873.1"
106886529,"XM_014939552.1","XP_014795038.1"
106892177,"XM_014949294.1","XP_014804780.1"
106892177,"XM_014949218.1","XP_014804704.1"
106902314,"XM_014965711.1","XP_014821197.1"
106897880,"XM_014958839.1","XP_014814325.1"
106901435,"XM_014964189.1","XP_014819675.1"
106892797,"XM_014950304.1","XP_014805790.1"
106897119,"XM_014957522.1","XP_014813008.1"
106897119,"XM_014957523.1","XP_014813009.1"
