"gene","id","snp","ref_count","total_count","alt_count"
"CENPN","s1639_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801612",0,1,1
"CENPN","s1639_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801618",0,1,1
"CENPN","s1639_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801623",0,1,1
"CENPN","s1639_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801631",0,1,1
"CENPN","s1639_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801632",0,4,4
"CENPN","s1639_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801655",0,4,4
"CENPN","s1639_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801662",0,4,4
"CENPN","s1639_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801670",0,3,3
"CENPN","s1639_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801674",0,3,3
"CENPN","s1639_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801692",0,3,3
"CENPN","s1639_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5801697",0,3,3
"CENPN","s1639_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5802008",1,4,3
"CENPN","s1639_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5802012",1,5,4
"CENPN","s1639_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5802087",1,9,8
"CENPN","s1639_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5810113",1,1,0
"ATMIN","s1639_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5818789",29,47,18
"ATMIN","s1639_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5819958",25,53,28
"ATMIN","s1639_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820004",35,61,26
"ATMIN","s1639_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820217",24,49,25
"ATMIN","s1639_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820250",29,55,26
"ATMIN","s1639_FAE_M_BLOOD_ASEReadCounter.table","NW_015090842.1:5820298",28,47,19
