"GID","SYMBOL","GENENAME"
106894185,"CIB1","calcium and integrin binding 1"
106889467,"CIB2","calcium and integrin binding family member 2"
106894274,"CIB3","calcium and integrin binding family member 3"
106902204,"CIBAR1","CBY1 interacting BAR domain containing 1"
106886060,"CIDEA","cell death inducing DFFA like effector a"
106888197,"CIDEC","cell death inducing DFFA like effector c"
106884631,"CIITA","class II major histocompatibility complex transactivator"
106892066,"CILK1","ciliogenesis associated kinase 1"
106890370,"CILP","cartilage intermediate layer protein"
106885634,"CILP2","cartilage intermediate layer protein 2"
106897157,"CINP","cyclin dependent kinase 2 interacting protein"
106890999,"CIP2A","cellular inhibitor of PP2A"
106887975,"CIPC","CLOCK interacting pacemaker"
106895357,"CIR1","corepressor interacting with RBPJ, CIR1"
106897775,"CIRBP","cold inducible RNA binding protein"
106887073,"CISD1","CDGSH iron sulfur domain 1"
106887442,"CISD2","CDGSH iron sulfur domain 2"
106894681,"CISH","cytokine inducible SH2 containing protein"
106901000,"CIT","citron rho-interacting serine/threonine kinase"
106886529,"CITED2","Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2"
106892177,"CIZ1","CDKN1A interacting zinc finger protein 1"
106902314,"CKAP2","cytoskeleton associated protein 2"
106897880,"CKAP2L","cytoskeleton associated protein 2 like"
106901435,"CKAP4","cytoskeleton associated protein 4"
106892797,"CKAP5","cytoskeleton associated protein 5"
106897119,"CKB","creatine kinase B"
106888168,"CKLF","chemokine like factor"
106898925,"CKMT2","creatine kinase, mitochondrial 2"
106891203,"CKS2","CDC28 protein kinase regulatory subunit 2"
106886509,"CLASP1","cytoplasmic linker associated protein 1"
106887980,"CLASP2","cytoplasmic linker associated protein 2"
106899221,"CLASRP","CLK4 associating serine/arginine rich protein"
106897067,"CLBA1","clathrin binding box of aftiphilin containing 1"
106886224,"CLCA4","chloride channel accessory 4"
106888905,"CLCC1","chloride channel CLIC like 1"
106891171,"CLCN1","chloride voltage-gated channel 1"
106886692,"CLCN2","chloride voltage-gated channel 2"
106889056,"CLCN3","chloride voltage-gated channel 3"
106898830,"CLCN4","chloride voltage-gated channel 4"
106887679,"CLCN6","chloride voltage-gated channel 6"
106884921,"CLCN7","chloride voltage-gated channel 7"
106890318,"CLDN1","claudin 1"
106895951,"CLDN10","claudin 10"
106886107,"CLDN11","claudin 11"
106886601,"CLDN12","claudin 12"
106885689,"CLDN14","claudin 14"
106890222,"CLDN16","claudin 16"
106886620,"CLDN18","claudin 18"
106890859,"CLDN19","claudin 19"
106895550,"CLDN2","claudin 2"
106893066,"CLDN20","claudin 20"
106888895,"CLDN23","claudin 23"
106892361,"CLDN25","claudin 25"
106898774,"CLDN34","claudin 34"
106889197,"CLDN5","claudin 5"
106896927,"CLDND1","claudin domain containing 1"
106884852,"CLEC16A","C-type lectin domain containing 16A"
106884745,"CLEC19A","C-type lectin domain containing 19A"
106888206,"CLEC3A","C-type lectin domain family 3 member A"
106892685,"CLGN","calmegin"
106892499,"CLIC3","chloride intracellular channel 3"
106891825,"CLIC4","chloride intracellular channel 4"
106897543,"CLIC5","chloride intracellular channel 5"
106885629,"CLIC6","chloride intracellular channel 6"
106891538,"CLINT1","clathrin interactor 1"
106900786,"CLIP1","CAP-Gly domain containing linker protein 1"
106894572,"CLIP2","CAP-Gly domain containing linker protein 2"
106893306,"CLIP4","CAP-Gly domain containing linker protein family member 4"
106895146,"CLK1","CDC like kinase 1"
106899480,"CLK2","CDC like kinase 2"
106899243,"CLK3","CDC like kinase 3"
106891493,"CLK4","CDC like kinase 4"
106897051,"CLMN","calmin"
106886785,"CLMP","CXADR like membrane protein"
106898538,"CLN5","CLN5 intracellular trafficking protein"
106892073,"CLN8","CLN8 transmembrane ER and ERGIC protein"
106902866,"CLNK","cytokine dependent hematopoietic cell linker"
106890967,"CLNS1A","chloride nucleotide-sensitive channel 1A"
106890027,"CLOCK","clock circadian regulator"
106887200,"CLP1","cleavage factor polyribonucleotide kinase subunit 1"
106894773,"CLPS","colipase"
106899217,"CLPTM1","CLPTM1 regulator of GABA type A receptor forward trafficking"
106886036,"CLPTM1L","CLPTM1 like"
106890356,"CLPX","caseinolytic mitochondrial matrix peptidase chaperone subunit X"
106890223,"CLRN1","clarin 1"
106885157,"CLRN2","clarin 2"
106889824,"CLRN3","clarin 3"
106890519,"CLSPN","claspin"
106887732,"CLSTN1","calsyntenin 1"
106899021,"CLSTN2","calsyntenin 2"
106896887,"CLSTN3","calsyntenin 3"
106894839,"CLTA","clathrin light chain A"
106891571,"CLTB","clathrin light chain B"
106894499,"CLTC","clathrin heavy chain"
106898761,"CLTRN","collectrin, amino acid transport regulator"
106900659,"CLU","clusterin"
106884625,"CLUAP1","clusterin associated protein 1"
106899283,"CLUH","clustered mitochondria homolog"
106885952,"CLUL1","clusterin like 1"
106886572,"CLVS1","clavesin 1"
106902716,"CLVS2","clavesin 2"
106886966,"CLXN","calaxin"
106889253,"CLYBL","citramalyl-CoA lyase"
106898358,"CMAS","cytidine monophosphate N-acetylneuraminic acid synthetase"
106885517,"CMC1","C-X9-C motif containing 1"
106888395,"CMC2","C-X9-C motif containing 2"
106895612,"CMC4","C-X9-C motif containing 4"
106888116,"CMIP","c-Maf inducing protein"
106899045,"CMKLR1","chemerin chemokine-like receptor 1"
106895016,"CMKLR2","chemerin chemokine-like receptor 2"
106886468,"CMPK1","cytidine/uridine monophosphate kinase 1"
106896617,"CMPK2","cytidine/uridine monophosphate kinase 2"
106891066,"CMSS1","cms1 ribosomal small subunit homolog"
106888084,"CMTM3","CKLF like MARVEL transmembrane domain containing 3"
106888276,"CMTM4","CKLF like MARVEL transmembrane domain containing 4"
106885513,"CMTM6","CKLF like MARVEL transmembrane domain containing 6"
106885514,"CMTM7","CKLF like MARVEL transmembrane domain containing 7"
106885460,"CMTM8","CKLF like MARVEL transmembrane domain containing 8"
106893292,"CMTR1","cap methyltransferase 1"
106899102,"CMTR2","cap methyltransferase 2"
106901896,"CMYA5","cardiomyopathy associated 5"
106893591,"CNBP","CCHC-type zinc finger nucleic acid binding protein"
106885947,"CNDP1","carnosine dipeptidase 1"
106886087,"CNDP2","carnosine dipeptidase 2"
106888153,"CNEP1R1","CTD nuclear envelope phosphatase 1 regulatory subunit 1"
106895135,"CNGA1","cyclic nucleotide gated channel subunit alpha 1"
106895476,"CNGA2","cyclic nucleotide gated channel subunit alpha 2"
106898723,"CNGA3","cyclic nucleotide gated channel subunit alpha 3"
106890819,"CNGB1","cyclic nucleotide gated channel subunit beta 1"
106902036,"CNGB3","cyclic nucleotide gated channel subunit beta 3"
106890927,"CNIH1","cornichon family AMPA receptor auxiliary protein 1"
106893097,"CNIH3","cornichon family AMPA receptor auxiliary protein 3"
106893068,"CNIH4","cornichon family AMPA receptor auxiliary protein 4"
106891828,"CNKSR1","connector enhancer of kinase suppressor of Ras 1"
106898754,"CNKSR2","connector enhancer of kinase suppressor of Ras 2"
106893142,"CNKSR3","CNKSR family member 3"
106902625,"CNMD","chondromodulin"
106897759,"CNN2","calponin 2"
106886231,"CNN3","calponin 3"
106897908,"CNNM1","cyclin and CBS domain divalent metal cation transport mediator 1"
106898659,"CNNM2","cyclin and CBS domain divalent metal cation transport mediator 2"
106899862,"CNNM4","cyclin and CBS domain divalent metal cation transport mediator 4"
106891793,"CNOT1","CCR4-NOT transcription complex subunit 1"
106885487,"CNOT10","CCR4-NOT transcription complex subunit 10"
106897230,"CNOT11","CCR4-NOT transcription complex subunit 11"
106901425,"CNOT2","CCR4-NOT transcription complex subunit 2"
106901447,"CNOT4","CCR4-NOT transcription complex subunit 4"
106891489,"CNOT6","CCR4-NOT transcription complex subunit 6"
106897272,"CNOT6L","CCR4-NOT transcription complex subunit 6 like"
106890054,"CNOT7","CCR4-NOT transcription complex subunit 7"
106891614,"CNOT8","CCR4-NOT transcription complex subunit 8"
106895346,"CNOT9","CCR4-NOT transcription complex subunit 9"
106898069,"CNP","2',3'-cyclic nucleotide 3' phosphodiesterase"
106895371,"CNPPD1","cyclin Pas1/PHO80 domain containing 1"
106897316,"CNPY2","canopy FGF signaling regulator 2"
106900365,"CNPY3","canopy FGF signaling regulator 3"
106901730,"CNR1","cannabinoid receptor 1"
106891821,"CNR2","cannabinoid receptor 2"
106901662,"CNRIP1","cannabinoid receptor interacting protein 1"
106893073,"CNST","consortin, connexin sorting protein"
106898113,"CNTD1","cyclin N-terminal domain containing 1"
106887226,"CNTF","ciliary neurotrophic factor"
106894048,"CNTFR","ciliary neurotrophic factor receptor"
106894118,"CNTLN","centlein"
106901404,"CNTN1","contactin 1"
106895825,"CNTN2","contactin 2"
106890795,"CNTN3","contactin 3"
106890741,"CNTN4","contactin 4"
106902544,"CNTN5","contactin 5"
106890648,"CNTN6","contactin 6"
106898007,"CNTNAP1","contactin associated protein 1"
106890879,"CNTNAP2","contactin associated protein 2"
106888069,"CNTNAP4","contactin associated protein family member 4"
106895284,"CNTNAP5","contactin associated protein family member 5"
106888664,"CNTRL","centriolin"
106898013,"COASY","Coenzyme A synthase"
106886065,"COBL","cordon-bleu WH2 repeat protein"
106895338,"COBLL1","cordon-bleu WH2 repeat protein like 1"
106887855,"COCH","cochlin"
106896524,"COG1","component of oligomeric golgi complex 1"
106893323,"COG2","component of oligomeric golgi complex 2"
106902335,"COG3","component of oligomeric golgi complex 3"
106899099,"COG4","component of oligomeric golgi complex 4"
106901037,"COG5","component of oligomeric golgi complex 5"
106902503,"COG6","component of oligomeric golgi complex 6"
106884920,"COG7","component of oligomeric golgi complex 7"
106888161,"COG8","component of oligomeric golgi complex 8"
106894989,"COIL","coilin"
106901707,"COL10A1","collagen type X alpha 1 chain"
106886409,"COL11A1","collagen type XI alpha 1 chain"
106892272,"COL12A1","collagen type XII alpha 1 chain"
106887107,"COL13A1","collagen type XIII alpha 1 chain"
106902175,"COL14A1","collagen type XIV alpha 1 chain"
106890540,"COL16A1","collagen type XVI alpha 1 chain"
106897484,"COL17A1","collagen type XVII alpha 1 chain"
106892210,"COL18A1","collagen type XVIII alpha 1 chain"
106885065,"COL19A1","collagen type XIX alpha 1 chain"
106897988,"COL1A1","collagen type I alpha 1 chain"
106886961,"COL1A2","collagen type I alpha 2 chain"
106895910,"COL20A1","collagen type XX alpha 1 chain"
106891817,"COL21A1","collagen type XXI alpha 1 chain"
106902087,"COL22A1","collagen type XXII alpha 1 chain"
106891384,"COL23A1","collagen type XXIII alpha 1 chain"
106886496,"COL24A1","collagen type XXIV alpha 1 chain"
106892081,"COL25A1","collagen type XXV alpha 1 chain"
106894350,"COL26A1","collagen type XXVI alpha 1 chain"
106892353,"COL27A1","collagen type XXVII alpha 1 chain"
106886933,"COL28A1","collagen type XXVIII alpha 1 chain"
106895230,"COL3A1","collagen type III alpha 1 chain"
106889249,"COL4A1","collagen type IV alpha 1 chain"
106889268,"COL4A2","collagen type IV alpha 2 chain"
106893620,"COL4A3","collagen type IV alpha 3 chain"
106899012,"COL4A4","collagen type IV alpha 4 chain"
106895577,"COL4A5","collagen type IV alpha 5 chain"
106895576,"COL4A6","collagen type IV alpha 6 chain"
106888590,"COL5A1","collagen type V alpha 1 chain"
106895271,"COL5A2","collagen type V alpha 2 chain"
106892208,"COL6A1","collagen type VI alpha 1 chain"
106892205,"COL6A2","collagen type VI alpha 2 chain"
106893603,"COL6A3","collagen type VI alpha 3 chain"
106885568,"COL6A6","collagen type VI alpha 6 chain"
106888795,"COL7A1","collagen type VII alpha 1 chain"
106891035,"COL8A1","collagen type VIII alpha 1 chain"
106890622,"COL8A2","collagen type VIII alpha 2 chain"
106885091,"COL9A1","collagen type IX alpha 1 chain"
106890590,"COL9A2","collagen type IX alpha 2 chain"
106896774,"COL9A3","collagen type IX alpha 3 chain"
106902258,"COLEC10","collectin subfamily member 10"
106896679,"COLEC11","collectin subfamily member 11"
106885933,"COLEC12","collectin subfamily member 12"
106886914,"COLGALT1","collagen beta(1-O)galactosyltransferase 1"
106891649,"COLGALT2","collagen beta(1-O)galactosyltransferase 2"
106885411,"COLQ","collagen like tail subunit of asymmetric acetylcholinesterase"
106901574,"COMMD1","copper metabolism domain containing 1"
106897300,"COMMD10","COMM domain containing 10"
106890307,"COMMD2","COMM domain containing 2"
106890675,"COMMD3","COMM domain containing 3"
106900051,"COMMD4","COMM domain containing 4"
106902571,"COMMD6","COMM domain containing 6"
106895215,"COMMD7","COMM domain containing 7"
106895123,"COMMD8","COMM domain containing 8"
106885986,"COMP","cartilage oligomeric matrix protein"
106889202,"COMT","catechol-O-methyltransferase"
106896336,"COMTD1","catechol-O-methyltransferase domain containing 1"
106888955,"COP1","COP1 E3 ubiquitin ligase"
106896985,"COPA","COPI coat complex subunit alpha"
106895426,"COPB1","COPI coat complex subunit beta 1"
106899026,"COPB2","COPI coat complex subunit beta 2"
106885788,"COPE","COPI coat complex subunit epsilon"
106888784,"COPG1","COPI coat complex subunit gamma 1"
106889927,"COPG2","COPI coat complex subunit gamma 2"
106893092,"COPRS","coordinator of PRMT5 and differentiation stimulator"
106889473,"COPS2","COP9 signalosome subunit 2"
106884862,"COPS3","COP9 signalosome subunit 3"
106892701,"COPS4","COP9 signalosome subunit 4"
106886578,"COPS5","COP9 signalosome subunit 5"
106896909,"COPS7A","COP9 signalosome subunit 7A"
106890291,"COPS7B","COP9 signalosome subunit 7B"
106893604,"COPS8","COP9 signalosome subunit 8"
106902645,"COPS9","COP9 signalosome subunit 9"
106897928,"COPZ2","COPI coat complex subunit zeta 2"
106895189,"COQ10B","coenzyme Q10B"
106892675,"COQ2","coenzyme Q2, polyprenyltransferase"
106901792,"COQ3","coenzyme Q3, methyltransferase"
106889510,"COQ4","coenzyme Q4"
106900417,"COQ5","coenzyme Q5, methyltransferase"
106887871,"COQ6","coenzyme Q6, monooxygenase"
106884713,"COQ7","coenzyme Q7, hydroxylase"
106893302,"COQ8A","coenzyme Q8A"
106891421,"COQ9","coenzyme Q9"
106895152,"CORIN","corin, serine peptidase"
106891920,"CORO1B","coronin 1B"
106901418,"CORO1C","coronin 1C"
106898121,"CORO2A","coronin 2A"
106894232,"CORO2B","coronin 2B"
106894412,"CORO6","coronin 6"
106887697,"CORT","cortistatin"
106888264,"COTL1","coactosin like F-actin binding protein 1"
54124880,"COX1","cytochrome c oxidase subunit I"
54124883,"COX2","cytochrome c oxidase subunit II"
54124890,"COX3","cytochrome c oxidase subunit III"
106890180,"CP","ceruloplasmin"
106886551,"CPA6","carboxypeptidase A6"
106894280,"CPAMD8","C3 and PZP like alpha-2-macroglobulin domain containing 8"
106902398,"CPB2","carboxypeptidase B2"
106894498,"CPD","carboxypeptidase D"
106889277,"CPE","carboxypeptidase E"
106899724,"CPEB1","cytoplasmic polyadenylation element binding protein 1"
106885120,"CPEB2","cytoplasmic polyadenylation element binding protein 2"
106902305,"CPEB3","cytoplasmic polyadenylation element binding protein 3"
106891443,"CPEB4","cytoplasmic polyadenylation element binding protein 4"
106901312,"CPED1","cadherin like and PC-esterase domain containing 1"
106891209,"CPLANE1","ciliogenesis and planar polarity effector complex subunit 1"
106894850,"CPLX1","complexin 1"
106891276,"CPLX2","complexin 2"
106899238,"CPLX3","complexin 3"
106899758,"CPLX4","complexin 4"
106901201,"CPM","carboxypeptidase M"
106897417,"CPN1","carboxypeptidase N subunit 1"
106899377,"CPNE1","copine 1"
106891109,"CPNE2","copine 2"
106902157,"CPNE3","copine 3"
106885592,"CPNE4","copine 4"
106888160,"CPNE7","copine 7"
106900913,"CPNE8","copine 8"
106890751,"CPNE9","copine family member 9"
106895120,"CPO","carboxypeptidase O"
106890993,"CPOX","coproporphyrinogen oxidase"
106884849,"CPPED1","calcineurin like phosphoesterase domain containing 1"
106902000,"CPQ","carboxypeptidase Q"
106898396,"CPS1","carbamoyl-phosphate synthase 1"
106900631,"CPSF1","cleavage and polyadenylation specific factor 1"
106897164,"CPSF2","cleavage and polyadenylation specific factor 2"
106896693,"CPSF3","cleavage and polyadenylation specific factor 3"
106884868,"CPSF4","cleavage and polyadenylation specific factor 4"
106896508,"CPSF4L","cleavage and polyadenylation specific factor 4 like"
106901213,"CPSF6","cleavage and polyadenylation specific factor 6"
106892017,"CPSF7","cleavage and polyadenylation specific factor 7"
106897163,"CPT1A","carnitine palmitoyltransferase 1A"
106899997,"CPT1B","carnitine palmitoyltransferase 1B"
106886202,"CPT2","carnitine palmitoyltransferase 2"
106887747,"CPTP","ceramide-1-phosphate transfer protein"
106888541,"CPXM1","carboxypeptidase X, M14 family member 1"
106889785,"CPXM2","carboxypeptidase X, M14 family member 2"
106884619,"CPZ","carboxypeptidase Z"
106889602,"CRABP1","cellular retinoic acid binding protein 1"
106890031,"CRACD","capping protein inhibiting regulator of actin dynamics"
106898727,"CRACDL","CRACD like"
106886872,"CRACR2A","calcium release activated channel regulator 2A"
106897174,"CRACR2B","calcium release activated channel regulator 2B"
106900901,"CRADD","CASP2 and RIPK1 domain containing adaptor with death domain"
106897868,"CRAMP1","cramped chromatin regulator homolog 1"
106888803,"CRB1","crumbs cell polarity complex component 1"
106888546,"CRB2","crumbs cell polarity complex component 2"
106890742,"CRBN","cereblon"
106894457,"CRCP","CGRP receptor component"
106895239,"CREB1","cAMP responsive element binding protein 1"
106894946,"CREB3","cAMP responsive element binding protein 3"
106892718,"CREB3L1","cAMP responsive element binding protein 3 like 1"
106885229,"CREB3L2","cAMP responsive element binding protein 3 like 2"
106892459,"CREB3L3","cAMP responsive element binding protein 3 like 3"
106885594,"CREB5","cAMP responsive element binding protein 5"
106884866,"CREBBP","CREB binding protein"
106898164,"CREBL2","cAMP responsive element binding protein like 2"
106891406,"CREBRF","CREB3 regulatory factor"
106897558,"CREBZF","CREB/ATF bZIP transcription factor"
106891088,"CREG1","cellular repressor of E1A stimulated genes 1"
106897228,"CREG2","cellular repressor of E1A stimulated genes 2"
106901031,"CRELD2","cysteine rich with EGF like domains 2"
106889703,"CREM","cAMP responsive element modulator"
106886554,"CRH","corticotropin releasing hormone"
106901855,"CRHBP","corticotropin releasing hormone binding protein"
106896453,"CRHR1","corticotropin releasing hormone receptor 1"
106889640,"CRHR2","corticotropin releasing hormone receptor 2"
106893207,"CRIM1","cysteine rich transmembrane BMP regulator 1"
106888902,"CRIP2","cysteine rich protein 2"
106892973,"CRIPT","CXXC repeat containing interactor of PDZ3 domain"
106893737,"CRISPLD1","cysteine rich secretory protein LCCL domain containing 1"
106888346,"CRISPLD2","cysteine rich secretory protein LCCL domain containing 2"
106894530,"CRK","CRK proto-oncogene, adaptor protein"
106901410,"CRKL","CRK like proto-oncogene, adaptor protein"
106885718,"CRLF1","cytokine receptor like factor 1"
106898770,"CRLF2","cytokine receptor like factor 2"
106893902,"CRLF3","cytokine receptor like factor 3"
