"chr"	"start"	"end"	"name"	"gieStain"
"NW_015094506.1"	"0"	"51414391"	"NW_015094506.1"	"gneg"
"NW_015090812.1"	"0"	"20546090"	"NW_015090812.1"	"gneg"
"NW_015094510.1"	"0"	"34411917"	"NW_015094510.1"	"gneg"
"NW_015090830.1"	"0"	"26452829"	"NW_015090830.1"	"gneg"
"NW_015090990.1"	"0"	"22606799"	"NW_015090990.1"	"gneg"
"NW_015090842.1"	"0"	"20362364"	"NW_015090842.1"	"gneg"
"NW_015090995.1"	"0"	"21100594"	"NW_015090995.1"	"gneg"
"NW_015090810.1"	"0"	"23484652"	"NW_015090810.1"	"gneg"
"NW_015094509.1"	"0"	"30765690"	"NW_015094509.1"	"gneg"
"NW_015090922.1"	"0"	"40645462"	"NW_015090922.1"	"gneg"
"NW_015090893.1"	"0"	"20041607"	"NW_015090893.1"	"gneg"
"NW_015094507.1"	"0"	"19207094"	"NW_015094507.1"	"gneg"
"NW_015090839.1"	"0"	"18932696"	"NW_015090839.1"	"gneg"
"NW_015090862.1"	"0"	"17183596"	"NW_015090862.1"	"gneg"
"NW_015090803.1"	"0"	"16942903"	"NW_015090803.1"	"gneg"
"NW_015090920.1"	"0"	"16870807"	"NW_015090920.1"	"gneg"
"NW_015091257.1"	"0"	"16708690"	"NW_015091257.1"	"gneg"
"NW_015090864.1"	"0"	"16422543"	"NW_015090864.1"	"gneg"
"NW_015090805.1"	"0"	"15728076"	"NW_015090805.1"	"gneg"
"NW_015090885.1"	"0"	"15567401 "	"NW_015090885.1"	"gneg"
"NC_046877.1"	"11633"	"11701"	"trnH(gtg)"	"gpos100"
"NC_046877.1"	"11702"	"11767"	"trnS1(gct)"	"gpos100"
"NC_046877.1"	"11767"	"11837"	"trnL1(tag)"	"gpos100"
"NC_046877.1"	"11838"	"13652"	"ND5"	"gpos100"
"NC_046877.1"	"13664"	"14806"	"CYTB"	"gpos100"
"NC_046877.1"	"4006"	"5044"	"ND2"	"gpos100"
"NC_046877.1"	"5045"	"5113"	"trnW(tca)"	"gpos100"
"NC_046877.1"	"5115"	"5183"	"trnA(tgc)"	"gpos100"
"NC_046877.1"	"5186"	"5258"	"trnN(gtt)"	"gpos100"
"NC_046877.1"	"5261"	"5327"	"trnC(gca)"	"gpos100"
"NC_046877.1"	"5327"	"5397"	"trnY(gta)"	"gpos100"
"NC_046877.1"	"5399"	"6949"	"COX1"	"gpos100"
"NC_046877.1"	"6941"	"7014"	"trnS2(tga)"	"gpos100"
"NC_046877.1"	"7017"	"7085"	"trnD(gtc)"	"gpos100"
"NC_046877.1"	"7087"	"7770"	"COX2"	"gpos100"
"NC_046877.1"	"7772"	"7842"	"trnK(ttt)"	"gpos100"
"NC_046877.1"	"7844"	"8011"	"ATP8"	"gpos100"
"NC_046877.1"	"1048"	"1119"	"trnV(tac)"	"gpos100"
"NC_046877.1"	"2716"	"2789"	"trnL2(taa)"	"gpos100"
"NC_046877.1"	"1"	"71"	"trnF(gaa)"	"gpos100"
"NC_046877.1"	"8002"	"8685"	"ATP6"	"gpos100"
"NC_046877.1"	"8685"	"9468"	"COX3"	"gpos100"
"NC_046877.1"	"9469"	"9537"	"trnG(tcc)"	"gpos100"
"NC_046877.1"	"9538"	"9889"	"ND3"	"gpos100"
"NC_046877.1"	"9895"	"9963"	"trnR(tcg)"	"gpos100"
"NC_046877.1"	"9965"	"10261"	"ND4L"	"gpos100"
"NC_046877.1"	"10255"	"11632"	"ND4"	"gpos100"
"NC_046877.1"	"3782"	"3853"	"trnI(gat)"	"gpos100"
"NC_046877.1"	"3867"	"3937"	"trnQ(ttg)"	"gpos100"
"NC_046877.1"	"3937"	"4005"	"trnM(cat)"	"gpos100"
"NC_046877.1"	"1146"	"2715"	"HGE35_mgr01"	"gpos100"
"NC_046877.1"	"2806"	"3783"	"ND1"	"gpos100"
"NC_046877.1"	"71"	"1048"	"HGE35_mgr02"	"gpos100"
"NC_046877.1"	"14809"	"14878"	"trnT(tgt)"	"gpos100"
"NC_046877.1"	"14893"	"14962"	"trnP(tgg)"	"gpos100"
"NC_046877.1"	"14977"	"15498"	"ND6"	"gpos100"
"NC_046877.1"	"15502"	"15573"	"trnE(ttc)"	"gpos100"
"NW_015090783.1"	"3036661"	"3036733"	"TRNAF-GAA"	"gpos100"
"NW_015090880.1"	"12859223"	"12859305"	"TRNAL-UAA"	"gpos100"
"NW_015090995.1"	"12881018"	"12881133"	"TRNAL-CAA"	"gpos100"
"NW_015090925.1"	"1517648"	"1517729"	"TRNAL-AAG"	"gpos100"
"NW_015090925.1"	"1551447"	"1551528"	"TRNAL-UAG"	"gpos100"
"NW_015090922.1"	"9668507"	"9668600"	"TRNAI-UAU"	"gpos100"
"NW_015090811.1"	"1772702"	"1772774"	"TRNAV-AAC"	"gpos100"
"NW_015090990.1"	"3132950"	"3133022"	"TRNAV-GAC"	"gpos100"
"NW_015091257.1"	"14213075"	"14213147"	"TRNAV-UAC"	"gpos100"
"NW_015090970.1"	"53369"	"53441"	"TRNAV-CAC"	"gpos100"
"NW_015090885.1"	"14745838"	"14745919"	"TRNAS-AGA"	"gpos100"
"NW_015090828.1"	"7747106"	"7747187"	"TRNAS-UGA"	"gpos100"
"NW_015090908.1"	"606643"	"606724"	"TRNAS-CGA"	"gpos100"
"NW_015091277.1"	"987033"	"987104"	"TRNAP-UGG"	"gpos100"
"NW_015090885.1"	"6891468"	"6891539"	"TRNAP-CGG"	"gpos100"
"NW_015090842.1"	"232057"	"232130"	"TRNAT-AGU"	"gpos100"
"NW_015090883.1"	"2635999"	"2636071"	"TRNAT-UGU"	"gpos100"
"NW_015090778.1"	"2165809"	"2165880"	"TRNAT-CGU"	"gpos100"
"NW_015090787.1"	"901890"	"901961"	"TRNAA-CGC"	"gpos100"
"NW_015090778.1"	"7474534"	"7474605"	"TRNAQ-UUG"	"gpos100"
"NW_015090778.1"	"7475270"	"7475341"	"TRNAQ-CUG"	"gpos100"
"NW_015090776.1"	"4746210"	"4746282"	"TRNAK-UUU"	"gpos100"
"NW_015090832.1"	"3535883"	"3535954"	"TRNAE-UUC"	"gpos100"
"NW_015090896.1"	"988830"	"988901"	"TRNAW-CCA"	"gpos100"
"NW_015090957.1"	"2472981"	"2473053"	"TRNAR-CCG"	"gpos100"
"NW_015090778.1"	"4765858"	"4765930"	"TRNAR-UCG"	"gpos100"
"NW_015090763.1"	"236476"	"236567"	"TRNAR-UCU"	"gpos100"
"NW_015090778.1"	"4765311"	"4765383"	"TRNAR-CCU"	"gpos100"
"NW_015090829.1"	"696079"	"696160"	"TRNAS-GCU"	"gpos100"
"NW_015090864.1"	"12594984"	"12595055"	"TRNAG-UCC"	"gpos100"
"NW_015090797.1"	"3936003"	"3936073"	"TRNAG-CCC"	"gpos100"
"NW_015090759.1"	"6704"	"8832"	"SLC35D3"	"gpos100"
"NW_015090793.1"	"6544399"	"6559302"	"CUNH4orf48"	"gpos100"
"NW_015090793.1"	"14956146"	"15056453"	"DYSF"	"gpos100"
"NW_015090765.1"	"392170"	"404156"	"WEE1"	"gpos100"
"NW_015090793.1"	"1408975"	"1475922"	"STX18"	"gpos100"
"NW_015090793.1"	"1383942"	"1407484"	"NSG1"	"gpos100"
"NW_015090793.1"	"5241401"	"5331386"	"RGS12"	"gpos100"
"NW_015090793.1"	"9189144"	"9254368"	"REEP1"	"gpos100"
"NW_015090765.1"	"1445325"	"1723594"	"GALNT18"	"gpos100"
"NW_015090793.1"	"2988054"	"2994578"	"TADA2B"	"gpos100"
"NW_015090793.1"	"2995705"	"3001344"	"GRPEL1"	"gpos100"
"NW_015090793.1"	"6224627"	"6265269"	"MXD4"	"gpos100"
"NW_015090793.1"	"12570621"	"12595785"	"LZTS3"	"gpos100"
"NW_015090793.1"	"12369885"	"12378578"	"PANK2"	"gpos100"
"NW_015090793.1"	"4103521"	"4139773"	"ACOX3"	"gpos100"
"NW_015090765.1"	"100954"	"148420"	"SCUBE2"	"gpos100"
"NW_015090793.1"	"4139383"	"4154465"	"TRMT44"	"gpos100"
"NW_015090793.1"	"4155576"	"4157641"	"LOC106884543"	"gpos100"
"NW_015090793.1"	"12560300"	"12567278"	"FASTKD5"	"gpos100"
"NW_015090762.1"	"190269"	"194244"	"LOC106884545"	"gpos100"
"NW_015090793.1"	"12548726"	"12567280"	"UBOX5"	"gpos100"
"NW_015090793.1"	"9457506"	"9483124"	"SMYD1"	"gpos100"
"NW_015090793.1"	"9485129"	"9488815"	"FABP1"	"gpos100"
"NW_015090766.1"	"3237309"	"3309147"	"LRRC2"	"gpos100"
"NW_015090793.1"	"14067106"	"14378242"	"EXOC6B"	"gpos100"
"NW_015090793.1"	"13770836"	"13783946"	"CCT7"	"gpos100"
"NW_015090793.1"	"13784344"	"13787942"	"PRADC1"	"gpos100"
"NW_015090793.1"	"12805436"	"12906476"	"SLC4A11"	"gpos100"
"NW_015090766.1"	"303400"	"340648"	"RASEF"	"gpos100"
"NW_015090793.1"	"2084798"	"2140035"	"CRMP1"	"gpos100"
"NW_015090793.1"	"9350220"	"9378813"	"RMND5A"	"gpos100"
"NW_015090793.1"	"5650201"	"5689332"	"SH3BP2"	"gpos100"
"NW_015090793.1"	"5741502"	"5749479"	"TNIP2"	"gpos100"
"NW_015090793.1"	"5744503"	"5761883"	"LOC106884559"	"gpos100"
"NW_015090766.1"	"2112374"	"2121475"	"LOC106884560"	"gpos100"
"NW_015090793.1"	"5903015"	"5918296"	"RNF4"	"gpos100"
"NW_015090793.1"	"5483968"	"5524921"	"GRK4"	"gpos100"
"NW_015090793.1"	"9738350"	"9755060"	"RPIA"	"gpos100"
"NW_015090793.1"	"5791019"	"5839464"	"FAM193A"	"gpos100"
"NW_015090793.1"	"13636526"	"13710524"	"ALMS1"	"gpos100"
"NW_015090793.1"	"6607114"	"6633358"	"NELFA"	"gpos100"
"NW_015090793.1"	"2233737"	"2332587"	"JAKMIP1"	"gpos100"
"NW_015090793.1"	"9685401"	"9724240"	"EIF2AK3"	"gpos100"
"NW_015090766.1"	"636342"	"658932"	"GKAP1"	"gpos100"
"NW_015090793.1"	"9673785"	"9686225"	"LOC106884570"	"gpos100"
"NW_015090793.1"	"9799368"	"9806596"	"LOC106884571"	"gpos100"
"NW_015090793.1"	"3955055"	"3989387"	"SH3TC1"	"gpos100"
"NW_015090793.1"	"4022327"	"4046817"	"HTRA3"	"gpos100"
"NW_015090793.1"	"9044226"	"9072383"	"ST3GAL5"	"gpos100"
"NW_015090793.1"	"12661177"	"12699325"	"DDRGK1"	"gpos100"
"NW_015090793.1"	"2435491"	"2474308"	"WFS1"	"gpos100"
"NW_015090793.1"	"3653938"	"3772736"	"AFAP1"	"gpos100"
"NW_015090793.1"	"7386595"	"7407152"	"TACC3"	"gpos100"
"NW_015090793.1"	"2488605"	"2721743"	"PPP2R2C"	"gpos100"
"NW_015090766.1"	"2391101"	"2456227"	"FANCC"	"gpos100"
"NW_015090793.1"	"15342096"	"15355599"	"HSPA12B"	"gpos100"
"NW_015090793.1"	"15367336"	"15380866"	"LOC106884582"	"gpos100"
"NW_015090793.1"	"12400369"	"12527275"	"PTPRA"	"gpos100"
"NW_015090793.1"	"7409804"	"7419627"	"TMEM129"	"gpos100"
"NW_015090793.1"	"1949115"	"2023849"	"EVC2"	"gpos100"
"NW_015090793.1"	"15127879"	"15146133"	"PAIP2B"	"gpos100"
"NW_015090793.1"	"7975627"	"8035732"	"UVSSA"	"gpos100"
"NW_015090793.1"	"44966"	"122178"	"RAB28"	"gpos100"
"NW_015090793.1"	"7487399"	"7558387"	"FAM53A"	"gpos100"
"NW_015090793.1"	"1342122"	"1376163"	"ZBTB49"	"gpos100"
"NW_015090793.1"	"6273422"	"6383631"	"POLN"	"gpos100"
"NW_015090766.1"	"700270"	"708981"	"LOC106884592"	"gpos100"
"NW_015090793.1"	"8684904"	"8858448"	"FGFRL1"	"gpos100"
"NW_015090793.1"	"943440"	"956152"	"ZNF518B"	"gpos100"
"NW_015090793.1"	"727047"	"738738"	"HS3ST1"	"gpos100"
"NW_015090793.1"	"738090"	"745276"	"LOC106884596"	"gpos100"
"NW_015090793.1"	"13749469"	"13768365"	"FBXO41"	"gpos100"
"NW_015090793.1"	"12207484"	"12260981"	"SMOX"	"gpos100"
"NW_015090793.1"	"9105075"	"9143754"	"POLR1A"	"gpos100"
"NW_015090766.1"	"1729252"	"1730718"	"GAS1"	"gpos100"
"NW_015090793.1"	"13348954"	"13423558"	"GFRA4"	"gpos100"
"NW_015090793.1"	"8404822"	"8417260"	"LOC106884602"	"gpos100"
"NW_015090793.1"	"8451471"	"8507285"	"SPON2"	"gpos100"
"NW_015090793.1"	"8443527"	"8449958"	"LOC106884604"	"gpos100"
"NW_015090793.1"	"2725062"	"2756459"	"MAN2B2"	"gpos100"
"NW_015090793.1"	"5525494"	"5548520"	"NOP14"	"gpos100"
"NW_015090766.1"	"1978340"	"2040718"	"DAPK1"	"gpos100"
"NW_015090793.1"	"5092582"	"5102494"	"LRPAP1"	"gpos100"
"NW_015090793.1"	"4792278"	"4796871"	"ADRA2C"	"gpos100"
"NW_015090793.1"	"12392148"	"12399757"	"MAVS"	"gpos100"
"NW_015090793.1"	"15392369"	"15399440"	"CDC25B"	"gpos100"
"NW_015090793.1"	"15401587"	"15403631"	"LOC106884612"	"gpos100"
"NW_015090793.1"	"2027252"	"2078502"	"EVC"	"gpos100"
"NW_015090793.1"	"2143531"	"2215084"	"LOC106884614"	"gpos100"
"NW_015090762.1"	"330976"	"346023"	"CABP7"	"gpos100"
"NW_015090766.1"	"3023761"	"3040504"	"PRXL2C"	"gpos100"
"NW_015090793.1"	"1320212"	"1342080"	"LYAR"	"gpos100"
"NW_015090793.1"	"15418423"	"15440206"	"LOC106884618"	"gpos100"
"NW_015090793.1"	"4363040"	"4397477"	"CPZ"	"gpos100"
"NW_015090794.1"	"12406516"	"12413401"	"ECI1"	"gpos100"
"NW_015090794.1"	"12413397"	"12416641"	"LOC106884621"	"gpos100"
"NW_015090766.1"	"2859822"	"2883752"	"HSD17B3"	"gpos100"
"NW_015090794.1"	"125550"	"135452"	"FSCN1"	"gpos100"
"NW_015090794.1"	"4177876"	"4189984"	"SCNN1G"	"gpos100"
"NW_015090794.1"	"13081725"	"13163394"	"CLUAP1"	"gpos100"
"NW_015090794.1"	"623803"	"633147"	"TMEM11"	"gpos100"
"NW_015090794.1"	"8489220"	"8501119"	"TVP23A"	"gpos100"
"NW_015090794.1"	"6671747"	"6678664"	"CEP20"	"gpos100"
"NW_015090794.1"	"4034543"	"4044799"	"LOC106884629"	"gpos100"
"NW_015090794.1"	"4032609"	"4033711"	"LOC106884630"	"gpos100"
"NW_015090794.1"	"8446872"	"8477153"	"CIITA"	"gpos100"
"NW_015090794.1"	"4146933"	"4166752"	"SCNN1B"	"gpos100"
"NW_015090794.1"	"12999113"	"13010210"	"VASN"	"gpos100"
"NW_015090766.1"	"2085339"	"2106441"	"LOC106884634"	"gpos100"
"NW_015090794.1"	"306935"	"333715"	"LOC106884635"	"gpos100"
"NW_015090794.1"	"374330"	"377593"	"ARPC1B"	"gpos100"
"NW_015090794.1"	"377693"	"379558"	"LOC106884637"	"gpos100"
"NW_015090794.1"	"398095"	"399671"	"BUD31"	"gpos100"
